date,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
2015-07-06 00:00:00,2.6,7.5,11.5,4.4,516569
2015-07-07 00:00:00,0.0,7.4,14.2,7.0,590907
2015-07-08 00:00:00,0.0,4.9,14.8,8.5,629963
2015-07-09 00:00:00,0.0,6.5,13.4,3.5,608373
2015-07-10 00:00:00,0.0,7.6,14.3,5.8,697116
2015-07-11 00:00:00,0.6,10.9,13.1,3.7,474872
2015-07-12 00:00:00,4.2,3.4,12.3,2.9,280439
2015-07-13 00:00:00,29.6,6.1,12.7,4.2,480004
2015-07-14 00:00:00,4.4,8.1,9.8,4.8,487003
2015-07-15 00:00:00,4.4,5.8,10.5,7.4,553158
2015-07-16 00:00:00,0.2,6.6,12.3,8.1,576055
2015-07-17 00:00:00,2.6,7.3,12.3,6.5,644910
2015-07-18 00:00:00,0.8,6.1,11.5,9.5,620441
2015-07-19 00:00:00,0.0,0.6,12.1,9.7,477802
2015-07-20 00:00:00,0.0,1.8,14.7,9.7,572470
2015-07-21 00:00:00,0.0,4.2,17.0,8.6,590831
2015-07-22 00:00:00,1.8,11.4,16.6,6.0,588069
2015-07-23 00:00:00,2.6,5.1,16.1,9.5,645141
2015-07-24 00:00:00,2.6,7.6,15.0,4.4,780257
2015-07-25 00:00:00,2.6,9.4,13.3,7.7,604165
2015-07-26 00:00:00,3.6,8.1,11.6,8.5,510636
2015-07-27 00:00:00,1.0,6.2,13.9,9.6,542400
2015-07-28 00:00:00,0.0,7.9,14.4,10.2,577472
2015-07-29 00:00:00,0.0,8.4,14.0,9.0,582154
2015-07-30 00:00:00,0.0,8.6,12.3,4.5,548916
2015-07-31 00:00:00,0.0,4.1,14.0,10.8,725399
2015-08-01 00:00:00,0.8,6.5,11.4,4.2,531705
2015-08-02 00:00:00,0.2,7.8,14.9,8.3,429088
2015-08-03 00:00:00,6.8,7.3,10.8,9.4,526778
2015-08-04 00:00:00,0.0,3.5,11.3,7.1,555977
2015-08-05 00:00:00,1.0,6.6,10.8,8.0,571195
2015-08-06 00:00:00,2.2,7.1,12.8,7.0,574158
2015-08-07 00:00:00,1.2,9.0,13.1,9.0,687929
2015-08-08 00:00:00,0.0,8.8,12.6,6.6,540401
2015-08-09 00:00:00,0.0,7.7,13.3,6.9,479401
2015-08-10 00:00:00,0.6,8.3,16.0,10.7,536809
2015-08-11 00:00:00,0.0,7.8,14.8,11.7,553589
2015-08-12 00:00:00,0.0,9.3,14.8,9.2,558721
2015-08-13 00:00:00,0.0,8.4,13.0,7.0,576497
2015-08-14 00:00:00,0.0,10.4,15.3,7.3,627460
2015-08-15 00:00:00,0.0,10.0,14.9,10.9,579764
2015-08-16 00:00:00,0.0,4.7,17.0,9.5,450525
2015-08-17 00:00:00,2.6,6.8,12.2,9.9,481734
2015-08-18 00:00:00,1.0,6.1,11.1,9.8,497840
2015-08-19 00:00:00,0.0,5.5,12.7,10.2,555653
2015-08-20 00:00:00,0.0,6.1,17.1,12.7,581304
2015-08-21 00:00:00,0.0,10.9,18.7,4.1,640856
2015-08-22 00:00:00,0.0,11.8,18.8,11.8,555865
2015-08-23 00:00:00,0.0,7.9,16.3,13.1,428762
2015-08-24 00:00:00,0.0,8.5,14.5,9.6,513507
2015-08-25 00:00:00,0.0,9.5,14.3,8.1,526970
2015-08-26 00:00:00,0.0,9.2,14.6,7.8,551127
2015-08-27 00:00:00,1.4,9.8,11.7,2.7,545685
2015-08-28 00:00:00,17.6,8.1,13.2,12.2,720700
2015-08-29 00:00:00,3.2,6.3,11.7,9.1,500014
2015-08-30 00:00:00,2.4,7.9,12.5,14.3,457752
2015-08-31 00:00:00,0.0,8.1,13.0,11.5,529808
2015-09-01 00:00:00,0.0,5.1,16.2,15.7,577875
2015-09-02 00:00:00,0.0,8.0,18.8,10.5,557953
2015-09-03 00:00:00,5.2,10.6,14.0,8.0,573593
2015-09-04 00:00:00,0.0,8.7,13.7,13.0,650902
2015-09-05 00:00:00,0.0,10.2,14.0,14.8,545985
2015-09-06 00:00:00,0.0,5.8,16.6,11.8,398715
2015-09-07 00:00:00,3.4,8.9,13.6,9.2,509763
2015-09-08 00:00:00,2.0,8.8,12.8,11.1,541648
2015-09-09 00:00:00,0.0,10.0,15.3,11.4,572380
2015-09-10 00:00:00,0.0,10.0,15.7,17.3,633522
2015-09-11 00:00:00,0.0,5.1,20.1,17.7,699897
2015-09-12 00:00:00,0.0,12.2,21.7,10.2,559732
2015-09-13 00:00:00,0.0,13.2,25.5,17.1,538052
2015-09-14 00:00:00,0.0,15.4,26.7,17.8,578139
2015-09-15 00:00:00,16.6,10.8,15.9,15.0,549311
2015-09-16 00:00:00,0.0,8.9,14.8,17.6,592421
2015-09-17 00:00:00,1.6,9.0,14.3,12.4,571835
2015-09-18 00:00:00,1.6,10.5,14.7,8.1,690363
2015-09-19 00:00:00,0.0,6.5,21.3,17.0,578018
2015-09-20 00:00:00,0.0,8.5,22.9,17.3,494670
2015-09-21 00:00:00,0.0,14.0,18.1,6.7,543834
2015-09-22 00:00:00,4.4,7.6,12.7,17.4,581181
2015-09-23 00:00:00,0.0,8.5,12.6,20.3,608995
2015-09-24 00:00:00,0.0,5.1,14.3,18.2,654599
2015-09-25 00:00:00,0.0,5.8,19.1,20.2,745368
2015-09-26 00:00:00,0.0,6.6,17.9,20.1,610241
2015-09-27 00:00:00,0.0,9.8,20.2,19.6,528627
2015-09-28 00:00:00,0.0,8.3,21.4,13.6,633387
2015-09-29 00:00:00,0.0,9.0,16.9,13.5,653089
2015-09-30 00:00:00,0.0,11.5,15.9,16.8,651814
2015-10-01 00:00:00,0.0,6.0,21.6,21.7,777692
2015-10-02 00:00:00,0.0,9.9,28.6,21.7,652706
2015-10-03 00:00:00,0.0,16.3,31.3,22.2,542282
2015-10-04 00:00:00,0.0,13.9,24.9,22.2,451117
2015-10-05 00:00:00,0.0,12.7,34.4,22.0,561247
2015-10-06 00:00:00,0.0,15.5,35.8,18.9,534950
2015-10-07 00:00:00,0.0,11.8,16.2,23.6,587563
2015-10-08 00:00:00,0.0,7.6,18.6,23.3,629696
2015-10-09 00:00:00,0.0,10.9,29.9,22.0,701303
2015-10-10 00:00:00,0.0,17.5,29.2,11.9,530790
2015-10-11 00:00:00,0.8,16.9,19.2,19.6,440025
2015-10-12 00:00:00,0.8,11.3,16.1,13.4,515737
2015-10-13 00:00:00,0.2,7.9,17.6,24.3,578092
2015-10-14 00:00:00,0.0,11.2,28.6,24.4,607247
2015-10-15 00:00:00,0.0,14.4,34.0,22.2,609690
2015-10-16 00:00:00,0.2,17.0,23.8,8.4,663558
2015-10-17 00:00:00,0.0,11.5,20.5,20.4,575503
2015-10-18 00:00:00,0.0,12.6,17.7,24.2,503192
2015-10-19 00:00:00,0.0,8.3,26.7,25.8,578945
2015-10-20 00:00:00,0.0,12.9,31.8,14.4,568350
2015-10-21 00:00:00,8.8,17.6,18.3,7.3,538916
2015-10-22 00:00:00,8.8,11.4,16.7,8.5,572714
2015-10-23 00:00:00,0.0,11.8,16.4,21.0,682460
2015-10-24 00:00:00,0.0,9.2,19.5,25.1,543271
2015-10-25 00:00:00,0.0,10.2,31.3,20.1,467092
2015-10-26 00:00:00,0.6,14.0,15.9,14.5,508264
2015-10-27 00:00:00,0.4,10.4,23.3,28.1,583522
2015-10-28 00:00:00,0.0,10.1,26.8,27.6,583618
2015-10-29 00:00:00,0.0,13.7,26.1,26.8,610892
2015-10-30 00:00:00,0.0,12.6,27.4,22.6,698115
2015-10-31 00:00:00,0.0,15.7,25.9,13.5,480908
2015-11-01 00:00:00,4.8,16.4,26.0,10.0,446762
2015-11-02 00:00:00,0.0,14.5,16.0,8.2,597289
2015-11-03 00:00:00,0.6,8.0,17.9,25.4,395150
2015-11-04 00:00:00,0.0,10.9,27.2,19.6,573447
2015-11-05 00:00:00,11.4,16.2,24.7,16.4,533293
2015-11-06 00:00:00,18.6,16.6,18.7,3.7,611397
2015-11-07 00:00:00,2.4,11.9,16.8,25.2,545573
2015-11-08 00:00:00,0.0,8.5,24.8,25.1,465766
2015-11-09 00:00:00,0.0,13.6,33.1,26.4,550326
2015-11-10 00:00:00,0.0,15.2,16.4,5.3,592849
