stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id
"10353","Lockton Ave/Mahoneys Rd","-37.69179804","144.98224164","","","0","Level 0"
"10354","Industrial Ave/Mahoneys Rd","-37.69154717","144.97969678","","","0","Level 0"
"10355","Phillip St/Mahoneys Rd","-37.69114563","144.97572710","","","0","Level 0"
"10356","Sydney Rd/Mahoneys Rd","-37.68952242","144.95894209","","","0","Level 0"
"10357","Cheviot Rd/Mahoneys Rd","-37.68993354","144.96291132","","","0","Level 0"
"10358","Darren Ct/Bernard St","-37.95294320","145.05947201","","","0","Level 0"
"10359","Concord Cct/Oakwood Rd","-37.75089254","144.76855873","","","0","Level 0"
"1036","High St/Mitchell St","-37.77208666","144.99871396","","","0","Level 0"
"10360","Woodland Dr/Oakwood Rd","-37.74604304","144.76991872","","","0","Level 0"
"10361","Evergreen Ave/Oakwood Rd","-37.74420980","144.77018938","","","0","Level 0"
"10362","Leckie Dr/Evergreen Ave","-37.74376007","144.76833040","","","0","Level 0"
