Geo Point,Geo Shape,seg_id,str_type,dtupdate,status_id,seg_descr,poly_area,gisid,street_id,seg_part
"-37.814884108904465, 144.95473200701144","{""coordinates"": [[[[144.954834802171, -37.814834972945], [144.954849560142, -37.814867049753], [144.954664335915, -37.814920632568], [144.954670171908, -37.814933328758], [144.954642937992, -37.814941207772], [144.954622438013, -37.814896407542], [144.954834802171, -37.814834972945]]]], ""type"": ""MultiPolygon""}",23248,Council Minor,20210923,3,PT8011 between King Street and Uniacke Court,79,4009,2105,1
"-37.8106502086176, 144.94967400116727","{""coordinates"": [[[[144.949746667635, -37.810633019156], [144.949602940431, -37.810678214783], [144.949601979618, -37.810667493001], [144.94974145335, -37.810622937947], [144.949746667635, -37.810633019156]]]], ""type"": ""MultiPolygon""}",30469,Private,20210923,4,Pl5319,16,2415,3117,1
"-37.802334288093746, 144.96214350236917","{""coordinates"": [[[[144.961997262144, -37.802181840042], [144.962336618756, -37.80221898884], [144.962290073787, -37.802486687416], [144.961950084114, -37.802449469839], [144.961997262144, -37.802181840042]]]], ""type"": ""MultiPolygon""}",20466,Council Major,20210923,2,Intersection of Bouverie Street and Pelham Street,906,1638,456,1
"-37.80216434832437, 144.96067112669957","{""coordinates"": [[[[144.960858031702, -37.802059115855], [144.960811864891, -37.802323736512], [144.960478956677, -37.80225222678], [144.960521626387, -37.802019441961], [144.960734121343, -37.80204450237], [144.960858031702, -37.802059115855]]]], ""type"": ""MultiPolygon""}",20459,Council Major,20210923,2,Intersection of Leicester Street and Pelham Street,838,1645,0,1
"-37.79849195546109, 144.96983498271396","{""coordinates"": [[[[144.96973014343, -37.798443891244], [144.969759183002, -37.798261774292], [144.969798951013, -37.798266287185], [144.969797929477, -37.79827319243], [144.96977196679, -37.798448666678], [144.969790922328, -37.798549438861], [144.970131543995, -37.798585232381], [144.970125010901, -37.79861329513], [144.969710442876, -37.798567433056], [144.969727553196, -37.798461342075], [144.96973014343, -37.798443891244]]]], ""type"": ""MultiPolygon""}",20706,Council Minor,20210923,3,Citadel Place from Rathdowne Street,243,1678,117814,1
"-37.80874080256896, 144.9513389135792","{""coordinates"": [[[[144.951225071518, -37.808545624629], [144.951443343551, -37.808854516692], [144.951486259009, -37.808915249094], [144.951489207734, -37.808920673197], [144.95146043942, -37.808932068229], [144.951466526255, -37.808941735586], [144.951456366063, -37.808945759206], [144.951409376464, -37.808871129187], [144.951187884824, -37.808563658972], [144.951225071518, -37.808545624629]]]], ""type"": ""MultiPolygon""}",21419,Council Minor,20210923,3,Cl1181 from Rosslyn Street,176,1128,255,1
"-37.80769665623744, 144.9686401186009","{""coordinates"": [[[[144.968966949046, -37.807449174331], [144.968879782828, -37.807972394982], [144.968548612702, -37.808070329365], [144.968351831433, -37.807639895276], [144.968340019128, -37.807614059285], [144.968229107795, -37.807371452869], [144.968499954684, -37.807399983573], [144.968498983063, -37.807399916331], [144.968498008878, -37.807399907644], [144.968497038012, -37.807399965265], [144.968496077613, -37.807400088771], [144.968495134751, -37.807400277251], [144.968494216367, -37.80740052932], [144.968493329222, -37.80740084312], [144.968492479847, -37.807401216342], [144.968491674495, -37.807401646238], [144.968490919095, -37.807402129643], [144.968490219208, -37.807402662999], [144.968489579986, -37.80740324238], [144.968489006136, -37.807403863519], [144.968488501881, -37.807404521845], [144.968488070933, -37.80740521251], [144.968487716467, -37.807405930431], [144.96848744109, -37.807406670322], [144.96848724683, -37.807407426736], [144.968487135118, -37.807408194105], [144.968487106775, -37.807408966779], [144.968487162011, -37.807409739071], [144.968487300418, -37.807410505294], [144.968487520978, -37.807411259808], [144.968487793128, -37.807412005444], [144.968615122875, -37.807688598897], [144.968615333988, -37.807688963569], [144.96861557087, -37.807689317429], [144.968615846131, -37.807689653503], [144.968616157608, -37.807689969151], [144.968616502854, -37.807690261895], [144.968616879158, -37.807690529433], [144.968617283564, -37.807690769665], [144.968617712894, -37.807690980704], [144.968618163776, -37.807691160891], [144.968618632669, -37.807691308812], [144.968619115888, -37.807691423304], [144.968619609638, -37.807691503468], [144.96862011004, -37.807691548674], [144.968620613164, -37.807691558566], [144.968621115057, -37.807691533069], [144.968621611777, -37.807691472381], [144.968622099421, -37.807691376979], [144.968622574159, -37.807691247613], [144.968623032261, -37.807691085299], [144.96862347013, -37.807690891312], [144.968623884325, -37.807690667175], [144.968624271592, -37.807690414651], [144.96862462889, -37.807690135722], [144.968624953412, -37.807689832579], [144.968625242608, -37.807689507604], [144.968625494207, -37.807689163349], [144.968625706233, -37.80768880252], [144.968625877019, -37.807688427949], [144.968626005224, -37.807688042581], [144.968626084849, -37.807687648913], [144.968669902569, -37.807426979515], [144.968669992567, -37.807426201144], [144.968669987023, -37.807425418602], [144.968669895967, -37.807424638845], [144.968669720084, -37.807423867754], [144.968669460701, -37.807423111143], [144.968669119774, -37.807422374717], [144.968668699873, -37.80742166403], [144.968668204165, -37.807420984439], [144.968667636387, -37.807420341069], [144.968667000821, -37.807419738772], [144.968666302259, -37.807419182089], [144.968665545969, -37.807418675218], [144.968664737654, -37.807418221981], [144.968663883407, -37.807417825795], [144.968662989672, -37.807417489649], [144.968662063187, -37.807417216075], [144.968661110937, -37.807417007139], [144.968660141392, -37.807416856723], [144.968966949046, -37.807449174331]]]], ""type"": ""MultiPolygon""}",21600,Council Major,20210923,2,Exhibition Street between La Trobe Street and Victoria Street,2933,1207,615,1
"-37.82290865470674, 144.94787686334288","{""coordinates"": [[[[144.947852465954, -37.822785775961], [144.947875754778, -37.822829419145], [144.947902578791, -37.822871695554], [144.947934247676, -37.822911827987], [144.947970483816, -37.822949464634], [144.948009171859, -37.822985720702], [144.947989893678, -37.823008501344], [144.947971405204, -37.823031690217], [144.947953720167, -37.823055270101], [144.947937295979, -37.823043991718], [144.947921654273, -37.823032033899], [144.947906839659, -37.823019430747], [144.947886192295, -37.822997330104], [144.947867305323, -37.822974260013], [144.947850250872, -37.822950308578], [144.947834946174, -37.822929467395], [144.947818689317, -37.822909084906], [144.947801502121, -37.82288918847], [144.947784145061, -37.822867531863], [144.947769517235, -37.822844642224], [144.947757756511, -37.822820735295], [144.947753187735, -37.822807564292], [144.94774903095, -37.822794307699], [144.9477452887, -37.822780973622], [144.94781778563, -37.822789812526], [144.947815566287, -37.822781344274], [144.947852465954, -37.822785775961]]]], ""type"": ""MultiPolygon""}",23316,Lease/Reserve,20210923,6,Jim Stynes Bridge between Harbour Esplanade and North Wharf,273,4073,120115,3
"-37.803543777694266, 144.95405505695337","{""coordinates"": [[[[144.954248047515, -37.803430126247], [144.954203334592, -37.80369915976], [144.953860029805, -37.803661319589], [144.953913235643, -37.80338321025], [144.954248047515, -37.803430126247]]]], ""type"": ""MultiPolygon""}",20962,Council Major,20210923,2,Intersection of Queensberry Street and Howard Street,927,2655,0,1
"-37.82321435017544, 144.93960158364462","{""coordinates"": [[[[144.939344203816, -37.823125474795], [144.939879273572, -37.823246922526], [144.93985896363, -37.823303225594], [144.939323893509, -37.823181777761], [144.939344203816, -37.823125474795]]]], ""type"": ""MultiPolygon""}",23292,Council Minor,20210923,3,Mills Place from Canal Mews,319,3950,120025,1
"-37.81271544806038, 144.95171115158465","{""coordinates"": [[[[144.951432405156, -37.812763565221], [144.951977123398, -37.812612865196], [144.951998640189, -37.812661814545], [144.951455375998, -37.812818171401], [144.951432405156, -37.812763565221]]]], ""type"": ""MultiPolygon""}",21509,Council Minor,20210923,3,West End Lane from Spencer Street,309,1161,1174,1
"-37.79764006859244, 144.91990073863496","{""coordinates"": [[[[144.91965191447, -37.797705314844], [144.919840359811, -37.79759690648], [144.919927688143, -37.797546668572], [144.920120729109, -37.797435616676], [144.920214029805, -37.797537736138], [144.91968074734, -37.797844520849], [144.919587448168, -37.797742401], [144.919631690855, -37.797716948574], [144.91965191447, -37.797705314844]]]], ""type"": ""MultiPolygon""}",22572,Council Major,20210923,2,Wakefield Street between Fairbairn Drive and Goldsbrough Walk,812,2148,3166,1
"-37.79029081577442, 144.93576597082094","{""coordinates"": [[[[144.935673570366, -37.790184515447], [144.935893415089, -37.790218260711], [144.935859773614, -37.790397557374], [144.935636745921, -37.790361915149], [144.935673570366, -37.790184515447]]]], ""type"": ""MultiPolygon""}",23058,Council Major,20210923,2,Intersection of Parsons Street and Stubbs Street,398,470,119628,1
