stop_id,stop_name,stop_lat,stop_lon
"20030","Broadmeadows Railway Station (Broadmeadows)","-37.6830492642131","144.919613216031"
"20031","Jacana Railway Station (Glenroy)","-37.6951307851368","144.915850518758"
"20032","Glenroy Railway Station (Glenroy)","-37.7045363302368","144.917220403897"
"20033","Oak Park Railway Station (Oak Park)","-37.717949728725","144.921518773078"
"20034","Pascoe Vale Railway Station (Pascoe Vale)","-37.7307559550131","144.928195624317"
"20035","Strathmore Railway Station (Strathmore)","-37.7435913223557","144.927315711579"
"20036","Glenbervie Railway Station (Essendon)","-37.7472098464261","144.920938683118"
"20037","Essendon Railway Station (Essendon)","-37.7560116950915","144.916197501013"
"20038","Moonee Ponds Railway Station (Moonee Ponds)","-37.7657066626926","144.919160695912"
"20039","Ascot Vale Railway Station (Ascot Vale)","-37.7753060851473","144.921820740203"
"20040","Newmarket Railway Station (Flemington)","-37.7873276709024","144.928978466737"
"20041","Kensington Railway Station (Kensington)","-37.7937802194996","144.930524437444"
"20042","Box Hill Railway Station (Box Hill)","-37.8192216542552","145.121428934402"
"22180","Southern Cross Railway Station (Melbourne City)","-37.8179364275358","144.951411219786"
"40220","Roxburgh Park Railway Station (Roxburgh Park)","-37.6382312060642","144.935403682146"
"40221","Craigieburn Railway Station (Craigieburn)","-37.6018169039495","144.943320312889"
"44817","Coolaroo Railway Station (Coolaroo)","-37.6610025309748","144.92605556678"
"45793","Lynbrook Railway Station (Lynbrook)","-38.057341176439","145.249275114245"
"45794","Cardinia Road Railway Station (Pakenham)","-38.0712904706666","145.437791007046"
"45795","South Morang Railway Station (South Morang)","-37.6491587964718","145.067032423831"
"46468","Williams Landing Railway Station (Williams Landing)","-37.8698653272992","144.747444719947"
"49343","Union Railway Station (Mont Albert)","-37.8231179245399","145.100278054663"
"49458","East Pakenham Railway Station (Pakenham)","-38.0842846427134","145.506313864682"
"52095","Southland Railway Station (Cheltenham)","-37.9587557102067","145.049120854534"
"52159","Middle Gorge Railway Station (South Morang)","-37.6440613010316","145.092143976183"
"52160","Hawkstowe Railway Station (South Morang)","-37.6229945495232","145.097396181538"
"52161","Mernda Railway Station (Mernda)","-37.6025479723429","145.100884990291"
