Asset Type,Name,Xorg,Xsource,Address Point,Artist,Alternate Name,Art Date,Mel way Ref,Respective Author,Structure,Co-ordinates,Easting,Northing
Art,Birrarung Wilam,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",,2006,2F_ H6,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation","-37.8185872210924, 144.971784281509",321480.96584,5812374.9221
Fountain,Spray Lake,City of Melbourne,MCC - Ortho Image March 2005 - Final,46 Nicholson Street,unknown,,1965,2B_J11,City Of Melbourne,Steel and bluestone fountain,"-37.8058096647951, 144.972528813493",321515.732,5813794.219
Monument,William Ievers Senior Memorial Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"155 Lygon Street, CARLTON",Charles Douglas Richardson,,1915,2B_F9,City Of Melbourne,"Granite, marble and bluestone drinking fountain","-37.8028341939653, 144.966385536842",320967.678,5814112.64
Fountain,Bali Memorial,City of Melbourne,MCC - Ground Ortho Image March 2008,"Lincoln Square, Swanston Street, CARLTON",Unknown,,2003,2B_E9,City of Melbourne,"Granite, concrete and stainless steel","-37.8024840905196, 144.963242826387",320690.12861,5814145.46216
Art,"Another View, Site 1",City of Melbourne,MCC - Ortho Image March 2005 - Final,"152 Spring Street, EAST MELBOURNE",Ray Thomas,,1994,2F_J2,City Of Melbourne,Red granite and brass paving inlay,"-37.8112942929369, 144.973168986334",321585.298,5813186.835
Art,Apollo Belvedere,City of Melbourne,MCC - Ortho Image March 2005 - Final,"90 St Kilda Road, SOUTHBANK",unknown,,unknown,2F_H7,City Of Melbourne,Marble and granite bust,"-37.8210593434182, 144.969757432433",321308.511,5812096.724
Art,Anchor,Qasco,MCC - Ground Ortho Image March 2007,"760 Bourke Street, DOCKLANDS",Neil Dawson,,2005,2E_H6,VicUrban,Decorative rope work,"-37.8182323264616, 144.947444643152",319337.552,5812367.5
Monument,Australian Hellenic War Memorial,City of Melbourne,MCC - Ground Ortho Image March 2008,"Kings Domain, Birdwood Ave, MELBOURNE",Evangelos Sakaris; RBA Architects and Conservation Consultants,,2001,2F_J11,City of Melbourne,Granite and basalt memorial,"-37.8272124550956, 144.972973880253",321606.4556,5811420.08663
Art,Wind Contrivance,City of Melbourne,MCC - Ortho Image March 2005 - Final,"64 Therry Street, MELBOURNE",Pauline Fraser,,1995,2B_C12,City Of Melbourne,"Bronze, Red Gum and Harcourt granite sculpture","-37.8072519167223, 144.959230533317",320348.417,5813608.687
Art,Vault,City of Melbourne,MCC - Ortho Image March 2005 - Final,"51 Grant Street, SOUTHBANK",Ron Roberston-Swann,Yellow Peril,1980,2F_G10,City Of Melbourne,Steel plate sculpture,"-37.8260714214476, 144.967732756918",321142.394,5811536.677
Art,Hotham Hill Paving Inlay,City of Melbourne,MCC - Ortho Image March 2005 - Final,76 Canning Street,Bernice McPherson,,1995,2A_E5,City Of Melbourne,Ceramic tiles and asphalt,"-37.7949047942895, 144.940383521588",318658.911,5814942.389
Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,"-37.8219335169736, 144.946938744265",319302.046,5811955.813
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.820149525359, 144.959318134551",320387.39523,5812177.65708
Art,Henderson Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"76 Errol Street, NORTH MELBOURNE",Walter MacFarlane,Hotham Ornamental Fountain,1877,2A_J10,City Of Melbourne,Cast-iron drinking fountain,"-37.8033418056724, 144.949739183347",319503.271,5814024.282
Art,Shoal Fly By,AAMHatch,AAM Hatch Photogrammetry - March 2005,"125 Harbour Esplanade, DOCKLANDS",Cat McCleod and Michael Bellemo,,2003,2E_G5,VicUrban,Sculpture,"-37.8176052348949, 144.945539402201",319168.307,5812433.399
Art,Larry LaTrobe,City of Melbourne,MCC - Ortho Image March 2005 - Final,"215 Collins Street, MELBOURNE",Pamela Irving,,1992 and 1996,2F_F4,City Of Melbourne,Bronze sculpture,"-37.8155485668529, 144.966892078324",321042.98,5812702.747
Art,Continuum,Beveridge Williams Surveyors,Field Survey,"17 Waterview Walk, DOCKLANDS",Michael Snape,,2005,2E_H6,VicUrban,Sculpture,"-37.8191896959513, 144.946998425444",319300.607,5812260.4
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"45 Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8151113421446, 144.941618390681",318817.048,5812702.538
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8151345502614, 144.941464635494",318803.569,5812699.664
Art,Within Three Worlds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"684 Park Street, CARLTON NORTH",Loretta Quinn,,1995,29_G10,City Of Melbourne,Bronze sculpture,"-37.7788688464994, 144.961128357193",320446.792,5816761.886
Monument,Bust of Dr Louis Smith,City of Melbourne,MCC - Ortho Image March 2005 - Final,"9 Nicholson Street, CARLTON",Edgar Bertram Mackennal,,1914,2B_J10,City Of Melbourne,Bronze bust with granite pedestal,"-37.8047443111517, 144.972452056885",321506.409,5813912.29
Art,Constellation,City of Melbourne,MCC - Ortho Image March 2005 - Final,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,,1996,2F_D7,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture","-37.8202715915496, 144.960597777255",320500.332,5812166.572
Art,Constellation,City of Melbourne,MCC - Ortho Image March 2005 - Final,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,,1996,2F_D7,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture","-37.8202460956887, 144.960662536874",320505.971,5812169.526
Art,Constellation,City of Melbourne,MCC - Ortho Image March 2005 - Final,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,,1996,2F_D7,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture","-37.8202185496201, 144.96072531937",320511.43,5812172.703
Monument,Motorcycle,City of Melbourne,MCC - Ortho Image March 2005 - Final,"10 Wellington Parade, EAST MELBOURNE",unknown,,1923,2G_G5,City Of Melbourne,Granite and marble memorial,"-37.8170400389729, 144.989581102887",323043.869,5812580.475
Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"78 Swanston Street, MELBOURNE",Maree Clarke and Sonja Hodge,,1992,2F_F5,City Of Melbourne,Metal poles,"-37.815760994936, 144.966773537312",321033.058,5812678.948
Art,Miraggio,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Sidney Myer Music Bowl, Alexandra Avenue, MELBOURNE",Pino Conte,Seated Figure,1964,2F_K9,City Of Melbourne,Bronze statue,"-37.8240134693642, 144.974151500782",321702.405,5811777.315
Art,Grotto Waterfall,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Kings Domain, Alexandra Avenue, MELBOURNE",unknown,,1981,2G_A10,City Of Melbourne,Basalt and cement,"-37.8256393190193, 144.976761073829",321936.01,5811601.88
Art,Boy and Pelican,City of Melbourne,MCC - Ortho Image March 2005 - Final,"84 Clarendon Street, EAST MELBOURNE",William Leslie Bowles,,1936,2G_D3,City Of Melbourne,Pyrmont sandstone sculpture,"-37.8137675376712, 144.982771754404",322436.609,5812930.688
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8187182202074, 144.974179856228",321692.15629,5812364.96201
Monument,George Hawkins Ievers Memorial Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"147 Royal Parade, PARKVILLE",Charles Douglas Richardson,,1916,2B_B3,City Of Melbourne,"Granite, marble and bluestone drinking fountain","-37.7921729538839, 144.958090253028",320211.462,5815279.746
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201736797154, 144.959200268537",320377.0786,5812174.75006
Art,IOU,Beveridge Williams Surveyors,Field Survey,"7 Waterview Walk, DOCKLANDS",Mikala Dwyer,,2005,2E_H7,VicUrban,Stainless steel and toughened glass,"-37.820112083979, 144.947923460104",319384.284,5812159.836
Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"21 Rakaia Way, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,"-37.8146994633064, 144.940838425061",318747.378,5812746.73
Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"16 Doepel Way, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,"-37.8148030334672, 144.940223820648",318693.527,5812734.044
Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"37 Caravel Lane, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,"-37.81452427966, 144.940608832218",318726.738,5812765.723
Art,Diana and the Hounds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Sculptor William Leslie Bowles; founder A.B. Brunton,,1940,2G_B4,City Of Melbourne,Cast bronze statue on granite pedestal,"-37.8143067586398, 144.978499373084",322061.795,5812862.722
Art,Dairy Hall Window,City of Melbourne,MCC - Ortho Image March 2005 - Final,"62 Therry Street, MELBOURNE",Artist Bernice McPherson; architect Craig Perry,,1996,2B_C12,City Of Melbourne,Glass and steel window,"-37.8072067768463, 144.959271667297",320351.929,5813613.775
Art,Domed Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",unknown,,,2F_H7,City Of Melbourne,Marble and granite drinking fountain,"-37.8212404231762, 144.970769495267",321398.034,5812078.566
Art,Weathervanes,City of Melbourne,MCC - Ortho Image March 2005 - Final,"270 Bourke Street, MELBOURNE",Daniel Jenkins,,1993,2F_F3,City Of Melbourne,Hand-beaten copper sculpture with gold-leaf detail,"-37.8134883855915, 144.965515931433",320916.858,5812928.72
Monument,Mary Gilbert Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Alisa O'Connor,,1975,2G_B3,City Of Melbourne,Cement fondue bust,"-37.8140756651063, 144.97856026709",322066.601,5812888.481
Monument,Pastor Sir Doug and Lady Gladys Nicholls,City of Melbourne,MCC - Ground Ortho Image March 2008,"Parliament Gardens, EAST MELBOURNE",Louis Laumen,,2007,"2F,_K1",City Of Melbourne,Bronze memorial statue,"-37.8100230422747, 144.973642124927",321623.89104,5813328.80397
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.820097951228, 144.959505265904",320403.74248,5812183.73994
Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"322 Swanston Street, MELBOURNE",Jennifer McCarthy,,1992,2F_E1,City Of Melbourne,Metal poles,"-37.8099325911658, 144.964088812819",320782.625,5813320.555
Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"308 Swanston Street, MELBOURNE",Jennifer McCarthy,,1992,2F_E1,City Of Melbourne,Metal poles,"-37.810347145096, 144.964280610813",320800.513,5813274.922
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201609405995, 144.95922840946",320379.52483,5812176.2178
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200541369817, 144.959680160075",320419.0314,5812188.93818
Monument,John Pascoe Fawkner,City of Melbourne,MCC - Ortho Image March 2005 - Final,"437 Collins Street, MELBOURNE",Michael Meszaros,,1978,2F_C5,City Of Melbourne,Bronze statue,"-37.8176770967418, 144.959995275694",320441.009,5812453.315
Art,Walk of Stars,Beveridge Williams Surveyors,Field Survey,"435 Docklands Drive, DOCKLANDS",Peter Cortlett and Jamie Cooper,,2006,2E_D4,VicUrban,Bronze statue and plaques,"-37.8152456579572, 144.938853960352",318574.019,5812682.267
Art,Photo art billboard,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"56 Lorimer Street, DOCKLANDS",Various artists,,various,2E_H9,VicUrban,Photographic images,"-37.8249065059188, 144.947426953214",319352.271,5811626.855
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201167536871, 144.959381777078",320392.91792,5812181.41603
Art,Railway Viewing Platform,City of Melbourne,MCC - Ortho Image March 2005 - Final,"90 Railway Place, WEST MELBOURNE",Designer Bernice McPherson; architects Craig Perry and Peter Dann,,1994,2A_F12,City Of Melbourne,Metal platform,"-37.8088169283775, 144.943688304136",318983.89,5813405.02
Monument,R.J. & F.G.J. Hardy Memorial Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,463 Lygon Street,unknown,,1939,29_J12,City Of Melbourne,Stone drinking fountain,"-37.7855912646095, 144.96931423372",321183.961,5816031.622
Monument,Queen Victoria Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Residence, Alexandra Gardens, Alexandra Avenue, MELBOURNE",James White,,1907,2F_J8,City Of Melbourne,White marble and granite sculpture,"-37.8218411817137, 144.972479044613",321549.962,5812015.171
Monument,Adam Lindsay Gordan Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"96 Spring Street, EAST MELBOURNE",Paul Montford,,1931,2F_J2,City Of Melbourne,Bronze statue on sandstone pedestal,"-37.8123635338167, 144.97374504876",321638.585,5813069.286
Fountain,Dinny O'Hearn Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"331 Lygon Street, CARLTON",unknown,,1981,2B_G6,City Of Melbourne,Cast-iron and enamel fountain,"-37.7975991142625, 144.967306467399",321036.125,5814695.319
Art,Westgarth Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"9 Nicholson Street, CARLTON",Alexander McDonald & Co,,c. 1888,2B_J11,City Of Melbourne,Aberdeen pink-granite and bronze drinking fountain,"-37.8050913081625, 144.973417274498",321592.225,5813875.629
Monument,Pioneer Women's Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Kings Domain, Alexandra Avenue, MELBOURNE",Hugh Linaker,,1934,2G_K9,City Of Melbourne,Memorial garden with bronze statue,"-37.8251147378564, 144.976076213311",321874.468,5811658.785
Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"78 Swanston Street, MELBOURNE",Maree Clarke and Sonja Hodge,,1992,2F_F5,City Of Melbourne,Metal poles,"-37.8157410618987, 144.966836246828",321038.531,5812681.28
Art,Angel,Owned by National Gallery of Victoria,MCC - Ortho Image March 2008 - Final,Birrarung Marr,Deborah Halpern,,1988,2F_J6,National Gallery of Victoria,"Ceramic, steel and concrete sculpture","-37.8189542313538, 144.972959186532",321585.273,5812336.4415625
Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,"-37.8220182164578, 144.946871022845",319296.292,5811946.283
Art,Bandstand,City of Melbourne,MCC - Ortho Image March 2005 - Final,"200 Little Collins Street, MELBOURNE",George Dodd,,1864,2F_G3,City Of Melbourne,Concrete bandstand,"-37.8140548689972, 144.96733868317",321078.689,5812869.353
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8186738864394, 144.974167165492",321690.93246,5812369.85732
Art,Coat of Arms,City of Melbourne,MCC - Ortho Image March 2005 - Final,"98 Swanston Street, MELBOURNE",City of Melbourne,,1992,2F_F4,City Of Melbourne,Brass pavement inlay,"-37.8151582937289, 144.966495940551",321007.165,5812745.295
Monument,Edmund Fitzgibbon Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"208 St Kilda Road, SOUTHBANK",James White,,1908,2F_H9,City Of Melbourne,Bronze statue with Harcourt granite pedestal,"-37.8236122113264, 144.970418561306",321372.863,5811814.707
Art,Threaded Field,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"687 La Trobe Street, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,"-37.8153623400158, 144.946876084269",319280.502,5812684.872
Art,Beyond the Ocean of Existence,City of Melbourne,MCC - Ortho Image March 2005 - Final,"44 Swanston Street, MELBOURNE",Loretta Quinn,,1993,2F_F5,City Of Melbourne,Bronze sculpture on granite plinth,"-37.8164236569551, 144.967061542145",321060.012,5812605.967
Art,Coat of Arms,City of Melbourne,MCC - Ortho Image March 2005 - Final,"102 Swanston Street, MELBOURNE",City of Melbourne,,1992,2F_F4,City Of Melbourne,Brass pavement inlay,"-37.815081401373, 144.966458869013",321003.716,5812753.757
Art,The Public Purse,City of Melbourne,MCC - Ortho Image March 2005 - Final,"348 Bourke Street, MELBOURNE",Simon Perry,,1994,2F_E3,City Of Melbourne,Calca red-granite and stainless-steel sculpture,"-37.8140976855607, 144.963400769342",320732.128,5812857.051
Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,"-37.8218628257359, 144.947009412249",319308.094,5811963.794
Monument,Edward George Honey Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Old Observatory Site, Birdwood Avenue, MELBOURNE",unknown,,1965,2F_K12,City Of Melbourne,Stone boulder with bronze and aluminium plaque,"-37.8297554405406, 144.974419726206",321739.835,5811140.663
Monument,John Batman Memorial (2),City of Melbourne,MCC - Ortho Image March 2005 - Final,"443 Collins Street, MELBOURNE",Stanley Hammond,,1978,2F_C5,City Of Melbourne,Bronze statue,"-37.8176597509552, 144.959772957148",320421.396,5812454.813
Art,Silence,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8150960305524, 144.941483193022",318805.108,5812703.975
Art,Silence,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8151070586048, 144.941546516146",318810.71,5812702.874
Art,Zoo Paving,City of Melbourne,MCC - Ortho Image March 2005 - Final,"11 Old Poplar Road, PARKVILLE",Tanya Court and Kate Cullity,,1995,29_F12,City Of Melbourne,Coloured concrete paving,"-37.7825613531513, 144.953293881649",319765.746,5816337.066
Monument,Stapley Memorial Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Birrarung Marr, Batman Avenue, MELBOURNE",unknown,,1936,2F_J6,City Of Melbourne,Granite drinking fountain,"-37.8189109575006, 144.973021274734",321590.634,5812341.362
Art,Three Businessmen Who Brought Their Own Lunch,City of Melbourne,MCC - Ortho Image March 2005 - Final,"173 Swanston Street, MELBOURNE",Alison Weaver and Paul Quinn,,1993,2F_F3,City Of Melbourne,Bronze sculpture,"-37.8136854004532, 144.965574539781",320922.494,5812906.97
Art,Lake Waterfall,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",unknown,,1973,2F_J8,City Of Melbourne,Stone waterfall,"-37.822086065767, 144.971811018826",321491.75,5811986.72
Art,Within Three Worlds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"684 Park Street, CARLTON NORTH",Loretta Quinn,,1995,29_G10,City Of Melbourne,Bronze sculpture,"-37.7788722549869, 144.961103719498",320444.63,5816761.46
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200765201921, 144.959699691425",320420.80492,5812186.49195
Monument,Sir William John Clarke,City of Melbourne,MCC - Ortho Image March 2005 - Final,"18 Spring Street, EAST MELBOURNE",Edgar Bertram Mackennal,,1902,2F_K3,City Of Melbourne,Marble statue,"-37.8136729461963, 144.97434487547",321694.541,5812925.131
Art,City Living,City of Melbourne,MCC - Ortho Image March 2005 - Final,"5 Jeffcott Street, WEST MELBOURNE",Andrew Rogers,,1995,2E_K2,City Of Melbourne,Bronze sculpture,"-37.8114750198729, 144.953165492089",319824.714,5813128.384
Art,Ceremony and Vehicle for Conveying Spirit,City of Melbourne,MCC - Ortho Image March 2005 - Final,"114 Russell Street, MELBOURNE",Maurie Hughes,,1996,2F_G3,City Of Melbourne,"Silicon bronze, galvanized and mild steel sculpture","-37.8136957980367, 144.968513035861",321181.203,5812911.446
Art,Water Children,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",John Edward Robinson,,c. 1970,2F_H8,City Of Melbourne,Bronze sculpture,"-37.8221241223436, 144.970661980986",321390.701,5811980.3
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200614090425, 144.959718171092",320422.39497,5812188.20431
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200953335, 144.959704036718",320421.23301,5812184.41266
Monument,General Charles Gordon Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"74 Spring Street, EAST MELBOURNE",Sculptor Hamo Thornycroft; founder J. Moore,,1887,2F_K3,City Of Melbourne,"Limestone, Harcourt granite and bronze memorial","-37.8127260372375, 144.973942531552",321656.843,5813029.437
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200830248455, 144.959725218101",320423.06768,5812185.81924
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201002457889, 144.959733080966",320423.80155,5812183.92341
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200785738744, 144.959627380846",320414.44473,5812186.12502
Art,Within Three Worlds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"684 Park Street, CARLTON NORTH",Loretta Quinn,,1995,29_G10,City Of Melbourne,Bronze sculpture,"-37.7789311799623, 144.961158146237",320449.566,5816755.026
Fountain,Stanford Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"88 Spring Street, EAST MELBOURNE",William Stanford,,c. 1870,2F_K3,City Of Melbourne,Bluestone fountain,"-37.8124342889143, 144.973955482708",321657.281,5813061.836
Monument,Sir Thomas Blamey Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"262 St Kilda Road, SOUTHBANK",Raymond B. Ewers,,1960,2F_J10,City Of Melbourne,Bronze statue with granite pedestal,"-37.8263011410214, 144.972818912121",321590.621,5811520.916
Art,Resting Place,City of Melbourne,MCC - Ortho Image March 2005 - Final,"335 Swanston Street, MELBOURNE",Bronwyn Snow,,1994,2F_E1,City Of Melbourne,Steel and jarrah seat,"-37.8103720817164, 144.964076502567",320782.604,5813271.763
Art,"A History Apparatus - Vessel, Craft & Beacon",City of Melbourne,MCC - Ortho Image March 2005 - Final,"147 Russell Street, MELBOURNE",Chris Reynolds,,1993,2F_G3,City Of Melbourne,"Steel and fibreglass sculpture on bitumen, concrete and bluestone foundation","-37.8130493620338, 144.968210969062",321153.051,5812982.6
Art,"Another View, Site 17",City of Melbourne,MCC - Ortho Image March 2005 - Final,"154 Collins Street, MELBOURNE",Ray Thomas,,1994-1995,2F_G4,City Of Melbourne,Bluestone paver with brass inlay,"-37.8148051249324, 144.968381003481",321172.257,5812788.096
Art,"Another View, Site 8",City of Melbourne,MCC - Ortho Image March 2005 - Final,"422 Flinders Street, MELBOURNE",Ray Thomas,,1994,2F_D6,City Of Melbourne,Stone and brass paving inlay,"-37.8194133196692, 144.960198717453",320463.125,5812261.044
Art,Aurora,Qasco,MCC - Ground Ortho Image March 2007,"96 Harbour Esplanade, DOCKLANDS",Geoffrey Bartlett,,2005,2E_G6,VicUrban,Stainless steel,"-37.8186937927645, 144.946856332947",319286.89,5812315.154
Art,Aqualung,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"15 Victoria Harbour Promenade, DOCKLANDS",John Mead,,2006,2E_G6,VicUrban,Abstract sculpture,"-37.8188433297473, 144.945067618085",319129.799,5812295.098
Art,Australia Today and Tomorrow,City of Melbourne,MCC - Ortho Image March 2005 - Final,"152 Clarendon Street, EAST MELBOURNE",Karl Duldig,,1970,2G_C2,City Of Melbourne,Bronze sculpture,"-37.8118220481066, 144.982657048965",322421.849,5813146.352
Art,Architectural Fragment,City of Melbourne,MCC - Ortho Image March 2005 - Final,"324 Swanston Street, MELBOURNE",Petrus Spronk,,1992,2F_E1,City Of Melbourne,Bluestone sculpture,"-37.8098275629139, 144.96404608881",320778.61,5813332.128
