date,road_name,location,suburb,speed_limit,direction,time,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,motorcycle,bike,average_speed,85th_percentile_speed,maximum_speed,road_segment
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 00:00:00,344.0,1.0,11.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,35.0,42.0,62.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 18:00:00,146.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,38.0,44.0,59.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 03:00:00,170.0,1.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,38.0,44.0,58.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 19:00:00,134.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,38.0,44.0,56.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 05:00:00,493.0,0.0,30.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,8.0,40.0,46.0,62.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 23:00:00,51.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,47.0,67.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 06:00:00,1298.0,11.0,56.0,14.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,31.0,4.0,38.0,44.0,78.0,20188
2016-07-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 01:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.0,48.0,52.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 08:00:00,1928.0,29.0,37.0,8.0,7.0,3.0,12.0,1.0,3.0,0.0,1.0,0.0,0.0,46.0,38.0,32.0,38.0,60.0,20188
2016-07-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 04:00:00,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,44.0,47.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 11:00:00,1208.0,6.0,60.0,7.0,8.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,5.0,32.0,38.0,59.0,20188
2016-07-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 05:00:00,26.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,47.0,50.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 13:00:00,1254.0,6.0,50.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,34.0,40.0,53.0,20188
2016-07-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 06:00:00,81.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,42.0,48.0,57.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 14:00:00,1214.0,7.0,48.0,6.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,5.0,35.0,40.0,67.0,20188
2016-07-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 09:00:00,296.0,0.0,45.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,42.0,58.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 17:00:00,1660.0,11.0,31.0,3.0,10.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,9.0,35.0,42.0,59.0,20188
2016-07-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 11:00:00,247.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,43.0,57.0,20943
2015-12-14,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 18:00:00,1424.0,10.0,17.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,5.0,36.0,42.0,72.0,20188
