,Date,day,monthly_index,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
180,2015-06-30,2,6,Not a public holiday,0.0,5.0,14.2,7.9,610646
181,2015-07-01,3,7,Not a public holiday,0.0,7.4,15.0,6.9,626970
182,2015-07-02,4,7,Not a public holiday,0.8,10.3,11.9,7.0,603980
183,2015-07-03,5,7,Not a public holiday,4.2,5.9,12.0,5.0,715618
184,2015-07-04,6,7,Not a public holiday,1.6,7.3,10.6,2.8,474642
185,2015-07-05,7,7,Not a public holiday,0.0,8.2,14.9,8.2,478331
186,2015-07-06,1,7,Not a public holiday,2.6,7.5,11.5,4.4,516569
187,2015-07-07,2,7,Not a public holiday,0.0,7.4,14.2,7.0,590907
188,2015-07-08,3,7,Not a public holiday,0.0,4.9,14.8,8.5,629963
189,2015-07-09,4,7,Not a public holiday,0.0,6.5,13.4,3.5,608373
190,2015-07-10,5,7,Not a public holiday,0.0,7.6,14.3,5.8,697116
191,2015-07-11,6,7,Not a public holiday,0.6,10.9,13.1,3.7,474872
192,2015-07-12,7,7,Not a public holiday,4.2,3.4,12.3,2.9,280439
193,2015-07-13,1,7,Not a public holiday,29.6,6.1,12.7,4.2,480004
194,2015-07-14,2,7,Not a public holiday,4.4,8.1,9.8,4.8,487003
195,2015-07-15,3,7,Not a public holiday,4.4,5.8,10.5,7.4,553158
196,2015-07-16,4,7,Not a public holiday,0.2,6.6,12.3,8.1,576055
197,2015-07-17,5,7,Not a public holiday,2.6,7.3,12.3,6.5,644910
198,2015-07-18,6,7,Not a public holiday,0.8,6.1,11.5,9.5,620441
199,2015-07-19,7,7,Not a public holiday,0.0,0.6,12.1,9.7,477802
200,2015-07-20,1,7,Not a public holiday,0.0,1.8,14.7,9.7,572470
201,2015-07-21,2,7,Not a public holiday,0.0,4.2,17.0,8.6,590831
202,2015-07-22,3,7,Not a public holiday,1.8,11.4,16.6,6.0,588069
203,2015-07-23,4,7,Not a public holiday,2.6,5.1,16.1,9.5,645141
204,2015-07-24,5,7,Not a public holiday,2.6,7.6,15.0,4.4,780257
205,2015-07-25,6,7,Not a public holiday,2.6,9.4,13.3,7.7,604165
206,2015-07-26,7,7,Not a public holiday,3.6,8.1,11.6,8.5,510636
207,2015-07-27,1,7,Not a public holiday,1.0,6.2,13.9,9.6,542400
208,2015-07-28,2,7,Not a public holiday,0.0,7.9,14.4,10.2,577472
209,2015-07-29,3,7,Not a public holiday,0.0,8.4,14.0,9.0,582154
210,2015-07-30,4,7,Not a public holiday,0.0,8.6,12.3,4.5,548916
211,2015-07-31,5,7,Not a public holiday,0.0,4.1,14.0,10.8,725399
212,2015-08-01,6,8,Not a public holiday,0.8,6.5,11.4,4.2,531705
213,2015-08-02,7,8,Not a public holiday,0.2,7.8,14.9,8.3,429088
214,2015-08-03,1,8,Not a public holiday,6.8,7.3,10.8,9.4,526778
215,2015-08-04,2,8,Not a public holiday,0.0,3.5,11.3,7.1,555977
216,2015-08-05,3,8,Not a public holiday,1.0,6.6,10.8,8.0,571195
217,2015-08-06,4,8,Not a public holiday,2.2,7.1,12.8,7.0,574158
218,2015-08-07,5,8,Not a public holiday,1.2,9.0,13.1,9.0,687929
