Description,Category,Subcategory,Year,Percentage
transportNight,Suburb,City of Melbourne,2021,83.3
transportNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2021,81.6
transportNight,Suburb,South Wharf / Southbank 3006,2021,83.1
transportDay,AgeRange,25-34 years,2021,56.0
transportDay,Suburb,City of Melbourne,2021,51.6
transportDay,Suburb,Kensington / Flemington 3031,2021,46.3
transportDay,Suburb,Parkville 3052,2021,41.2
neighbourhoodDay,Suburb,City of Melbourne,2020,85.6
neighbourhoodDay,Suburb,Docklands 3008,2020,86.0
neighbourhoodDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,94.8
neighbourhoodDay,AgeRange,18-24 years,2020,81.7
neighbourhoodDay,AgeRange,25-34 years,2020,84.8
neighbourhoodDay,AgeRange,65+ years,2020,98.3
neighbourhoodNight,Suburb,City of Melbourne,2020,64.3
neighbourhoodNight,Suburb,East Melbourne 3002,2020,67.8
neighbourhoodNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,57.6
neighbourhoodNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,66.1
neighbourhoodNight,AgeRange,18-24 years,2020,58.1
neighbourhoodNight,AgeRange,25-34 years,2020,67.0
neighbourhoodNight,AgeRange,35-44 years,2020,65.4
transportNight,Suburb,Docklands 3008,2020,82.9
transportNight,Gender,Male,2020,82.3
transportNight,Gender,Female,2020,80.9
transportNight,AgeRange,18-24 years,2020,78.9
transportNight,AgeRange,45-54 years,2020,79.8
transportDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,59.4
transportDay,Gender,Male,2020,61.1
transportDay,AgeRange,25-34 years,2020,57.0
transportDay,AgeRange,55-64 years,2020,81.7
transportDay,AgeRange,65+ years,2020,46.8
neighbourhoodDay,Suburb,Carlton 3053,2020,78.1
neighbourhoodDay,Suburb,Kensington / Flemington 3031,2020,91.1
neighbourhoodDay,Suburb,Melbourne 3000,2020,80.0
neighbourhoodDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,88.8
neighbourhoodDay,AgeRange,35-44 years,2020,88.9
neighbourhoodDay,AgeRange,45-54 years,2020,85.3
neighbourhoodNight,Suburb,Parkville 3052,2020,59.3
neighbourhoodNight,AgeRange,45-54 years,2020,67.7
transportNight,Suburb,Carlton 3053,2020,78.6
transportNight,Suburb,Parkville 3052,2020,84.3
transportNight,AgeRange,65+ years,2020,80.3
transportDay,Suburb,City of Melbourne,2020,54.2
transportDay,Suburb,Docklands 3008,2020,60.4
transportDay,Suburb,East Melbourne 3002,2020,59.4
transportDay,Suburb,Kensington / Flemington 3031,2020,52.6
transportDay,Suburb,Parkville 3052,2020,57.6
transportDay,AgeRange,18-24 years,2020,45.9
transportDay,AgeRange,45-54 years,2020,62.6
neighbourhoodDay,Suburb,East Melbourne 3002,2020,90.8
neighbourhoodDay,Suburb,Parkville 3052,2020,88.1
neighbourhoodDay,Suburb,South Wharf / Southbank 3006,2020,92.8
neighbourhoodDay,Gender,Male,2020,86.8
neighbourhoodDay,Gender,Female,2020,84.8
neighbourhoodDay,AgeRange,55-64 years,2020,91.0
neighbourhoodNight,Suburb,Carlton 3053,2020,56.1
neighbourhoodNight,Suburb,Docklands 3008,2020,75.4
neighbourhoodNight,Suburb,Kensington / Flemington 3031,2020,61.0
neighbourhoodNight,Suburb,Melbourne 3000,2020,62.6
neighbourhoodNight,Suburb,South Wharf / Southbank 3006,2020,78.7
neighbourhoodNight,Gender,Male,2020,71.6
neighbourhoodNight,Gender,Female,2020,58.0
neighbourhoodNight,AgeRange,55-64 years,2020,84.8
neighbourhoodNight,AgeRange,65+ years,2020,52.6
transportNight,Suburb,City of Melbourne,2020,81.3
transportNight,Suburb,East Melbourne 3002,2020,79.7
transportNight,Suburb,Kensington / Flemington 3031,2020,88.3
transportNight,Suburb,Melbourne 3000,2020,81.4
transportNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,77.3
transportNight,Suburb,South Wharf / Southbank 3006,2020,79.3
transportNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,91.4
transportNight,AgeRange,25-34 years,2020,83.0
transportNight,AgeRange,35-44 years,2020,80.8
transportNight,AgeRange,55-64 years,2020,88.9
transportDay,Suburb,Carlton 3053,2020,48.1
transportDay,Suburb,Melbourne 3000,2020,55.9
transportDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,51.4
transportDay,Suburb,South Wharf / Southbank 3006,2020,52.2
transportDay,Gender,Female,2020,48.1
transportDay,AgeRange,35-44 years,2020,53.8
neighbourhoodDay,Suburb,Carlton 3053,2019,88.0
neighbourhoodDay,Suburb,Melbourne 3000,2019,85.3
neighbourhoodDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,80.2
neighbourhoodDay,Suburb,Parkville 3052,2019,75.8
neighbourhoodDay,Suburb,South Wharf / Southbank 3006,2019,88.5
neighbourhoodDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,92.5
neighbourhoodDay,Gender,Female,2019,83.1
neighbourhoodDay,AgeRange,18-24 years,2019,81.4
neighbourhoodDay,AgeRange,35-44 years,2019,87.5
neighbourhoodNight,Suburb,Docklands 3008,2019,60.9
neighbourhoodNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,54.3
neighbourhoodNight,Suburb,Parkville 3052,2019,36.9
neighbourhoodNight,Gender,Female,2019,46.2
neighbourhoodNight,AgeRange,25-34 years,2019,56.8
neighbourhoodNight,AgeRange,45-54 years,2019,69.9
transportNight,Suburb,City of Melbourne,2019,86.0
transportNight,Suburb,Carlton 3053,2019,83.4
transportNight,Suburb,Docklands 3008,2019,86.0
transportNight,Suburb,East Melbourne 3002,2019,87.8
transportNight,Suburb,Melbourne 3000,2019,87.4
transportNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,77.7
transportNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,94.4
transportNight,Gender,Male,2019,88.1
transportNight,Gender,Female,2019,84.0
transportNight,AgeRange,45-54 years,2019,85.1
transportDay,Suburb,City of Melbourne,2019,55.1
transportDay,Suburb,Docklands 3008,2019,57.7
transportDay,Suburb,Melbourne 3000,2019,51.5
transportDay,Gender,Female,2019,42.2
