Date,day,monthly_index,Covid Restrictions,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
31-07-2015,5,7,No restriction,Not a public holiday,0,4.1,14,10.8,725399
01-08-2015,6,8,No restriction,Not a public holiday,0.8,6.5,11.4,4.2,531705
02-08-2015,7,8,No restriction,Not a public holiday,0.2,7.8,14.9,8.3,429088
03-08-2015,1,8,No restriction,Not a public holiday,6.8,7.3,10.8,9.4,526778
04-08-2015,2,8,No restriction,Not a public holiday,0,3.5,11.3,7.1,555977
05-08-2015,3,8,No restriction,Not a public holiday,1,6.6,10.8,8,571195
06-08-2015,4,8,No restriction,Not a public holiday,2.2,7.1,12.8,7,574158
07-08-2015,5,8,No restriction,Not a public holiday,1.2,9,13.1,9,687929
08-08-2015,6,8,No restriction,Not a public holiday,0,8.8,12.6,6.6,540401
09-08-2015,7,8,No restriction,Not a public holiday,0,7.7,13.3,6.9,479401
10-08-2015,1,8,No restriction,Not a public holiday,0.6,8.3,16,10.7,536809
11-08-2015,2,8,No restriction,Not a public holiday,0,7.8,14.8,11.7,553589
12-08-2015,3,8,No restriction,Not a public holiday,0,9.3,14.8,9.2,558721
13-08-2015,4,8,No restriction,Not a public holiday,0,8.4,13,7,576497
14-08-2015,5,8,No restriction,Not a public holiday,0,10.4,15.3,7.3,627460
15-08-2015,6,8,No restriction,Not a public holiday,0,10,14.9,10.9,579764
16-08-2015,7,8,No restriction,Not a public holiday,0,4.7,17,9.5,450525
17-08-2015,1,8,No restriction,Not a public holiday,2.6,6.8,12.2,9.9,481734
18-08-2015,2,8,No restriction,Not a public holiday,1,6.1,11.1,9.8,497840
19-08-2015,3,8,No restriction,Not a public holiday,0,5.5,12.7,10.2,555653
20-08-2015,4,8,No restriction,Not a public holiday,0,6.1,17.1,12.7,581304
21-08-2015,5,8,No restriction,Not a public holiday,0,10.9,18.7,4.1,640856
22-08-2015,6,8,No restriction,Not a public holiday,0,11.8,18.8,11.8,555865
23-08-2015,7,8,No restriction,Not a public holiday,0,7.9,16.3,13.1,428762
24-08-2015,1,8,No restriction,Not a public holiday,0,8.5,14.5,9.6,513507
25-08-2015,2,8,No restriction,Not a public holiday,0,9.5,14.3,8.1,526970
26-08-2015,3,8,No restriction,Not a public holiday,0,9.2,14.6,7.8,551127
27-08-2015,4,8,No restriction,Not a public holiday,1.4,9.8,11.7,2.7,545685
28-08-2015,5,8,No restriction,Not a public holiday,17.6,8.1,13.2,12.2,720700
29-08-2015,6,8,No restriction,Not a public holiday,3.2,6.3,11.7,9.1,500014
30-08-2015,7,8,No restriction,Not a public holiday,2.4,7.9,12.5,14.3,457752
31-08-2015,1,8,No restriction,Not a public holiday,0,8.1,13,11.5,529808
01-09-2015,2,9,No restriction,Not a public holiday,0,5.1,16.2,15.7,577875
02-09-2015,3,9,No restriction,Not a public holiday,0,8,18.8,10.5,557953
03-09-2015,4,9,No restriction,Not a public holiday,5.2,10.6,14,8,573593
04-09-2015,5,9,No restriction,Not a public holiday,0,8.7,13.7,13,650902
05-09-2015,6,9,No restriction,Not a public holiday,0,10.2,14,14.8,545985
06-09-2015,7,9,No restriction,Not a public holiday,0,5.8,16.6,11.8,398715
07-09-2015,1,9,No restriction,Not a public holiday,3.4,8.9,13.6,9.2,509763
08-09-2015,2,9,No restriction,Not a public holiday,2,8.8,12.8,11.1,541648
09-09-2015,3,9,No restriction,Not a public holiday,0,10,15.3,11.4,572380
10-09-2015,4,9,No restriction,Not a public holiday,0,10,15.7,17.3,633522
11-09-2015,5,9,No restriction,Not a public holiday,0,5.1,20.1,17.7,699897
12-09-2015,6,9,No restriction,Not a public holiday,0,12.2,21.7,10.2,559732
13-09-2015,7,9,No restriction,Not a public holiday,0,13.2,25.5,17.1,538052
14-09-2015,1,9,No restriction,Not a public holiday,0,15.4,26.7,17.8,578139
15-09-2015,2,9,No restriction,Not a public holiday,16.6,10.8,15.9,15,549311
16-09-2015,3,9,No restriction,Not a public holiday,0,8.9,14.8,17.6,592421
17-09-2015,4,9,No restriction,Not a public holiday,1.6,9,14.3,12.4,571835
18-09-2015,5,9,No restriction,Not a public holiday,1.6,10.5,14.7,8.1,690363
19-09-2015,6,9,No restriction,Not a public holiday,0,6.5,21.3,17,578018
20-09-2015,7,9,No restriction,Not a public holiday,0,8.5,22.9,17.3,494670
21-09-2015,1,9,No restriction,Not a public holiday,0,14,18.1,6.7,543834
22-09-2015,2,9,No restriction,Not a public holiday,4.4,7.6,12.7,17.4,581181
23-09-2015,3,9,No restriction,Not a public holiday,0,8.5,12.6,20.3,608995
24-09-2015,4,9,No restriction,Not a public holiday,0,5.1,14.3,18.2,654599
