stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
"12240","Auburn Station","-37.82237411","145.04601471","","Parentvic:rail:AUB","3"
"12241","Glenferrie Station","-37.82159483","145.03654905","","Parentvic:rail:GFE","1"
"12242","Glenferrie Station","-37.82153196","145.03656207","","Parentvic:rail:GFE","2"
"12243","Glenferrie Station","-37.82142406","145.03657629","","Parentvic:rail:GFE","3"
"12244","Hawthorn Station","-37.82207113","145.02300573","","Parentvic:rail:HAW","1"
"12245","Hawthorn Station","-37.82196208","145.02295183","","Parentvic:rail:HAW","2"
"12246","Hawthorn Station","-37.82189883","145.02294216","","Parentvic:rail:HAW","3"
"12247","Burnley Station","-37.82774097","145.00811837","","Parentvic:rail:BLY","1"
"12248","Burnley Station","-37.82768692","145.00811982","","Parentvic:rail:BLY","2"
"12249","Burnley Station","-37.82759915","145.00825852","","Parentvic:rail:BLY","3"
"12250","Burnley Station","-37.82755392","145.00824837","","Parentvic:rail:BLY","4"
"12251","East Richmond Station","-37.82651183","144.99675591","","Parentvic:rail:ERM","1"
"12252","East Richmond Station","-37.82633303","144.99684028","","Parentvic:rail:ERM","2"
"12253","Richmond Station","-37.82406640","144.98916470","","Parentvic:rail:RMD","1"
"12254","Richmond Station","-37.82403938","144.98916544","","Parentvic:rail:RMD","2"
"12255","Richmond Station","-37.82395008","144.98921331","","Parentvic:rail:RMD","3"
"12256","Richmond Station","-37.82392305","144.98921404","","Parentvic:rail:RMD","4"
"12257","Richmond Station","-37.82383356","144.98925055","","Parentvic:rail:RMD","5"
"12258","Richmond Station","-37.82380712","144.98928535","","Parentvic:rail:RMD","6"
"12259","Richmond Station","-37.82371743","144.98931051","","Parentvic:rail:RMD","7"
"12260","Richmond Station","-37.82369060","144.98932260","","Parentvic:rail:RMD","8"
"12261","Richmond Station","-37.82360091","144.98934775","","Parentvic:rail:RMD","9"
"12262","Richmond Station","-37.82358348","144.98938231","","Parentvic:rail:RMD","10"
"12263","Heyington Station","-37.83457107","145.02250162","","Parentvic:rail:HEY","1"
"12264","Heyington Station","-37.83447408","145.02262920","","Parentvic:rail:HEY","2"
"12265","Kooyong Station","-37.83997379","145.03353905","","Parentvic:rail:KYG","1"
"12266","Kooyong Station","-37.83983621","145.03339498","","Parentvic:rail:KYG","2"
"12267","Tooronga Station","-37.84913467","145.04139890","","Parentvic:rail:TGA","1"
"12268","Tooronga Station","-37.84905492","145.04148057","","Parentvic:rail:TGA","2"
"12269","Gardiner Station","-37.85288720","145.05084666","","Parentvic:rail:GAR","1"
"13713","Sandown Park Station","-37.95647719","145.16280381","","Parentvic:rail:SNP","2"
