grid_id,mean_thermal,canopy_cover_pct,priority_cell,hotspot_score,hotspot_score_v2,cluster,cluster_improved,cluster_label
200,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
201,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
202,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
203,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
204,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
205,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
206,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
207,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
208,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
209,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
210,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
211,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
212,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
213,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
214,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
215,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
216,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
217,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
218,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
219,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
220,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
221,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
222,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
223,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
224,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
225,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
226,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
227,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
228,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
229,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
230,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
231,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
