Transfer_Year,Small_Area,Type,Median_Price,Transaction_Count
2015,Carlton,House/Townhouse,1075000,59
2015,Carlton,Residential Apartment,529500,993
2015,East Melbourne,House/Townhouse,2000000,28
2015,East Melbourne,Residential Apartment,750000,166
2015,Kensington,House/Townhouse,783500,155
2015,Melbourne (CBD),House/Townhouse,,3
2015,North Melbourne,Residential Apartment,507000,338
2015,Parkville,House/Townhouse,1280000,23
2015,South Yarra,House/Townhouse,2430000,25
2015,Southbank,Residential Apartment,559000,1465
2015,West Melbourne (Residential),House/Townhouse,910500,24
2015,West Melbourne (Residential),Residential Apartment,510000,147
2016,East Melbourne,House/Townhouse,3512500,33
2016,Kensington,House/Townhouse,851000,147
2016,Melbourne (CBD),House/Townhouse,,2
2016,North Melbourne,House/Townhouse,1100000,80
2016,North Melbourne,Residential Apartment,510200,1076
2016,South Yarra,House/Townhouse,3100000,29
2016,NA,House/Townhouse,1850000,24
