Category,Start_date,End_date,Latitude,Longitude,Location
Filming - Photo shoot,2017-12-05,2017-12-05,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,2017-12-05,2017-12-05,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,2017-12-05,2017-12-05,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,2017-09-20,2017-09-20,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Photo shoot,2014-02-17,2014-02-19,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,2014-02-17,2014-02-19,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,2014-02-17,2014-02-19,-37.8117601,144.9712728,"Crossley Street, Melbourne, Australia"
Filming - Photo shoot,2014-02-17,2014-02-19,-37.809521131914906,144.97168456715806,"Meyers Place (Green Laneway), Melbourne, Australia"
Filming - Photo shoot,2014-02-17,2014-02-19,-37.8099054,144.9705513,"Punch Lane, Melbourne, Australia"
Filming - Photo shoot,2014-02-17,2014-02-19,-37.8129136,144.9723712,"Ridgway Place, Melbourne, Australia"
Filming - Photo shoot,2014-02-17,2014-02-19,-37.6720257,144.5540174,"Windsor Place, Melbourne, Australia"
Filming - Photo shoot,2014-04-17,2014-04-17,-37.819057900000004,144.9743266242395,"Birrarung Marr, Melbourne, Australia"
Filming - Photo shoot,2014-04-29,2014-04-29,-37.80945842151978,144.95981316261063,"Guildford Lane (Green Laneway(, Melbourne, Australia"
Filming - Photo shoot,2014-05-27,2014-05-28,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,2014-12-10,2014-12-10,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2014-12-10,2014-12-10,-37.8155405,144.9705723,"ACDC Lane, Melbourne, Australia"
Filming - Photo shoot,2015-03-30,2015-03-31,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Photo shoot,2015-09-11,2015-09-14,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Photo shoot,2015-10-22,2015-10-23,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2015-12-07,2015-12-07,-37.821972450000004,144.97172138901482,"Queen Victoria Gardens, Melbourne, Australia"
Filming - Photo shoot,2015-12-08,2015-12-08,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Photo shoot,2016-04-21,2016-04-22,-37.9384073,145.0535534,"Franklin Street, Melbourne, Australia"
Filming - Photo shoot,2016-05-25,2016-05-25,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,2016-05-25,2016-05-25,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,2016-05-25,2016-05-25,-37.8187549,144.9681111,"Swanston Street, Melbourne, Australia"
Filming - Photo shoot,2016-07-28,2016-07-28,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,2016-07-28,2016-07-28,-37.7977858,144.9330243,"Elizabeth Street, Melbourne, Australia"
Filming - Photo shoot,2016-07-28,2016-07-28,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,2016-07-28,2016-07-28,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2016-07-28,2016-07-28,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Photo shoot,2016-07-28,2016-07-28,-37.816914,144.9655977,"Degraves Street, Melbourne, Australia"
Filming - Photo shoot,2016-07-28,2016-07-28,-37.8162521,144.969026,"Hosier Lane, Melbourne, Australia"
Filming - Photo shoot,2016-08-12,2016-08-20,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2016-10-07,2016-10-07,-37.819057900000004,144.9743266242395,"Birrarung Marr, Melbourne, Australia"
Filming - Photo shoot,2016-12-09,2016-12-09,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Photo shoot,2017-03-07,2017-03-08,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - Photo shoot,2016-08-22,2016-08-24,-37.8142454,144.9631732,"EP, Melbourne, Australia"
Filming - Photo shoot,2016-08-22,2016-08-24,-38.1386738,145.1417536,"Lawn 2, Melbourne, Australia"
Filming - Photo shoot,2017-06-18,2017-06-18,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,2017-06-18,2017-06-18,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,2017-06-18,2017-06-18,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2017-12-12,2017-12-14,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,2017-09-25,2017-09-25,-37.8161402,144.9705031,"Higson Lane, Melbourne, Australia"
Filming - Photo shoot,2017-09-25,2017-09-25,-37.8164954,144.9702995,"Oliver Lane, Melbourne, Australia"
Filming - Photo shoot,2017-08-01,2017-08-03,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2018-01-04,2018-01-04,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Student,2014-07-15,2014-07-15,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Student,2014-07-21,2014-07-21,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Student,2014-08-16,2014-08-16,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Student,2014-08-17,2014-08-17,-37.8080701,144.9688059,"La Trobe Street, Melbourne, Australia"
Filming - Student,2014-09-04,2014-09-08,-37.8109379,144.9681757,"Corrs Lane, Melbourne, Australia"
Filming - Student,2014-09-07,2014-09-07,-37.8177839,144.9660202,"Campbell Arcade, Melbourne, Australia"
Filming - Student,2014-09-20,2014-09-20,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Student,2014-10-05,2014-10-07,-37.79994933523437,144.9668979307423,"Argyle Square Stage Only, Melbourne, Australia"
Filming - Student,2015-07-31,2015-07-31,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,2015-09-09,2015-09-11,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
