Category,Latitude,Longitude,Location
Filming - Student,-37.8084439,144.971527,"Little Lonsdale Street, Melbourne, Australia"
Filming - Student,-37.8071333,144.9581598,"Queen Street, Melbourne, Australia"
Filming - Student,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Student,-37.821972450000004,144.97172138901482,"Queen Victoria Gardens, Melbourne, Australia"
Filming - Student,-37.8565869,144.9831917,"St Kilda Road, Melbourne, Australia"
Filming - Student,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Student,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Student,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Student,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Student,-37.8177839,144.9660202,"Campbell Arcade, Melbourne, Australia"
Filming - Student,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Student,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Student,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Student,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Student,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Student,-38.3642779,145.1969166,"Flinders Court, Melbourne, Australia"
Filming - Student,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Student,-37.802375999999995,144.96588939072774,"Piazza Italia, Melbourne, Australia"
Filming - Student,-37.8170034,144.9652915,"Lingham Lane, Melbourne, Australia"
Filming - Student,-37.8116587,144.9689601,"Croft Alley, Melbourne, Australia"
Filming - Student,-37.8139832,144.9645678,"Union Lane, Melbourne, Australia"
Filming - Student,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Student,-37.78375115,144.96183124319754,"Princes Park , Melbourne, Australia"
Filming - Student,-37.8177839,144.9660202,"Campbell Arcade, Melbourne, Australia"
Filming - Student,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Student,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Student,-37.8117601,144.9712728,"Crossley Street, Melbourne, Australia"
Filming - TV Series,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - TV Series,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - TV Series,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - TV Series,-37.819057900000004,144.9743266242395,"Birrarung Marr, Melbourne, Australia"
Filming - TV Series,-37.8197111,144.9680629,"Southbank Promenade, Melbourne, Australia"
Filming - TV Series,-37.8212116,144.9619189982564,"Queensbridge Square , Melbourne, Australia"
Filming - TV Series,-37.8196329,144.9651295751562,"Evan Walker Bridge, Melbourne, Australia"
Filming - TV Series,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - TV Series,-37.818185650000004,144.9664771839778,"Flinders Street, Melbourne, Australia"
Filming - TV Series,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - TV Series,-37.7101875,144.7547456,"Bank Place, Melbourne, Australia"
Filming - TV Series,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - TV Series,-37.6967877,145.0584803,"City Square, Melbourne, Australia"
Filming - TV Series,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - TV Series,-37.8081167,144.9688226,"Exhibition Street, Melbourne, Australia"
Filming - TV Series,-37.821949700000005,144.9564064292606,"Batman Park, Melbourne, Australia"
Filming - TV Series,-37.8187549,144.9681111,"Swanston Street, Melbourne, Australia"
Filming - TV Series,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - TV Series,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - TV Series,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - TV Series,-37.818185650000004,144.9664771839778,"Flinders Street, Melbourne, Australia"
Filming - TV Series,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - TV Series,-37.8565869,144.9831917,"St Kilda Road, Melbourne, Australia"
Filming - TV Series,-37.8197111,144.9680629,"Southbank Promenade, Melbourne, Australia"
Filming - TV Series,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - TV Series,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - TV Series,-37.8073992,144.9589263,"Therry Street, Melbourne, Australia"
Filming - TV Series,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - TV Series,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - TV Series,-37.8187549,144.9681111,"Swanston Street, Melbourne, Australia"
Filming - TV Series,-37.8197111,144.9680629,"Southbank Promenade, Melbourne, Australia"
Filming - TV Series,-37.818415,144.9607589,"Market Street, Melbourne, Australia"
Filming - TV Series,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - TV Series,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - TV Series,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - TV Series,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - TV Series,-37.8118765,144.9716191,"McIlwraith Place, Melbourne, Australia"
Filming - TV Series,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - TV Series,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - TV Series,-37.810299,144.9728121,"Little Bourke Street, Melbourne, Australia"
Filming - TV Series,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - TV Series,-37.819057900000004,144.9743266242395,"Birrarung Marr, Melbourne, Australia"
Filming - TV Series,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - TV Series,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - TV Series,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - TV Series,-37.8565869,144.9831917,"St Kilda Road, Melbourne, Australia"
Filming - TV Series,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - TV Series,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - TV Series,-37.819057900000004,144.9743266242395,"Birrarung Marr, Melbourne, Australia"
Filming - TV Series,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - TV Series,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - TV Series,-37.7101875,144.7547456,"Bank Place, Melbourne, Australia"
Filming - TV Series,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - TV Series,-37.8109379,144.9681757,"Corrs Lane, Melbourne, Australia"
Filming - TV Series,-37.818185650000004,144.9664771839778,"Flinders Street, Melbourne, Australia"
Filming - TV Series,-37.8187549,144.9681111,"Swanston Street, Melbourne, Australia"
Filming - TV Series,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - TV Series,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - TV Series,-37.7101875,144.7547456,"Bank Place, Melbourne, Australia"
Filming - TV Series,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - TV Series,-37.8398952,144.9931559,"William Street, Melbourne, Australia"
Filming - TV Series,-37.818185650000004,144.9664771839778,"Flinders Street, Melbourne, Australia"
Filming - TV Series,-37.8151119,144.9733786,"Spark Lane, Melbourne, Australia"
Filming - TV Series,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - TV Series,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - TV Series,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - TV Series,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - TV Series,-37.8137064,144.9442248,"Harbour Esplanade, Melbourne, Australia"
Filming - TV Series,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - TV Series,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - TV Series,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - TV Series,-37.78375115,144.96183124319754,"Princes Park, Melbourne, Australia"
Filming - TV Series,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - TV Series,-37.8249254,144.97160681435184,"Tom's Block, Melbourne, Australia"
Filming - TV Series,-37.821949700000005,144.9564064292606,"Batman Park, Melbourne, Australia"
Filming - TV Series,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - TV Series,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - TV Series,-37.5230028,144.9013145,"Hosier Lane, Melbourne, Australia"
Filming - TV Series,-37.8187549,144.9681111,"Swanston Street, Melbourne, Australia"
Filming - TV Series,-37.8081167,144.9688226,"Exhibition Street, Melbourne, Australia"
Filming - TV Series,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
