Education_Sector,Entity_Type,SCHOOL_NO,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,3684,Clifton Creek Primary School,Primary,O,1020 Deptford Road,,Clifton Creek,VIC,3875,1020 Deptford Rd,,Clifton Creek,VIC,3875,03 5162 7800,211,East Gippsland (S),147.659395,-37.70208
Government,1,3686,Kennington Primary School,Primary,O,60 Crook Street,,Kennington,VIC,3550,PO Box 45,,STRATHDALE,VIC,3550,03 5443 2011,262,Greater Bendigo (C),144.307498,-36.768805
Government,1,3689,Cardinia Primary School,Primary,O,2405 Ballarto Road,,Cardinia,VIC,3978,2405 Ballarto Road,,CARDINIA,VIC,3978,03 5998 8323,145,Cardinia (S),145.423332,-38.145785
Government,1,3696,Grahamvale Primary School,Primary,O,85 Grahamvale Road,,Grahamvale,VIC,3631,85 Grahamvale Road,,GRAHAMVALE,VIC,3631,03 5821 4219,283,Greater Shepparton (C),145.430716,-36.357202
Government,1,3702,Irymple South Primary School,Primary,O,3208 Fifteenth Street,,Irymple,VIC,3498,P O Box 716,,IRYMPLE,VIC,3498,03 5024 5345,478,Mildura (RC),142.190619,-34.252489
Government,1,3703,Glen Huntly Primary School,Primary,O,Grange Road,,Glen Huntly,VIC,3163,P O Box 62,,GLEN HUNTLY,VIC,3163,03 9571 2933,231,Glen Eira (C),145.0462294,-37.89377084
Government,1,3708,Nanneella Estate Primary School,Primary,O,159 Bennett Road,,Nanneella,VIC,3561,159 Bennett Road,,NANNEELLA,VIC,3561,03 5484 5395,137,Campaspe (S),144.778037,-36.312971
Government,1,3709,Wantirna Primary School,Primary,O,120 Mountain Highway,,Wantirna,VIC,3152,120 Mountain Highway,,WANTIRNA,VIC,3152,03 9801 1938,367,Knox (C),145.216509,-37.856256
Government,1,3716,Wonthaggi North Primary School,Primary,O,Cnr White & Wentworth Road,,Wonthaggi,VIC,3995,P O Box 106,,WONTHAGGI,VIC,3995,03 5672 4697,74,Bass Coast (S),145.600234,-38.59882
Government,1,3717,Melton South Primary School,Primary,O,38 - 46 Exford Road,,Melton South,VIC,3338,P O Box 2043,,MELTON SOUTH,VIC,3338,03 9743 2922,465,Melton (C),144.574264,-37.70872
