School_Name,School_Type,LGA_Name,nearest_stop_name,nearest_stop_distance_m
Sassafras Primary School,Primary,Yarra Ranges (S),Sassafras PS/Mt Dandenong Tourist Rd,21.424199203406936
Ferny Creek Primary School,Primary,Yarra Ranges (S),Mt Dandenong Tourist Rd/Old Main Rd,284.9237171692002
Toolangi Primary School,Primary,Murrindindi (S),Kinglake Police Station/Whittlesea-Kinglake Rd,11672.807898483798
Wonga Park Primary School,Primary,Manningham (C),Dudley Rd/Jumping Creek Rd,613.0040004532328
Kinglake West Primary School,Primary,Murrindindi (S),Peregrine Dr/Whittlesea-Kinglake Rd,161.42307470669184
Perseverance Primary School,Primary,Unincorporated Vic,Stony Point Railway Station,9800.145349380202
Monbulk Primary School,Primary,Yarra Ranges (S),Emerald-Monbulk Rd/Main Rd,201.42013022919932
Chum Creek Primary School,Primary,Yarra Ranges (S),Chum Creek Rd/Healesville-Yarra Glen Rd,4931.896180657867
Mount Dandenong Primary School,Primary,Yarra Ranges (S),Helen Rd/Mt Dandenong Tourist Rd,160.33579246744378
Middle Kinglake Primary School,Primary,Murrindindi (S),Extons Rd/Whittlesea-Kinglake Rd,354.23757405048394
Point Lonsdale Primary School,Primary,Queenscliffe (B),Bowen Rd/Point Lonsdale Rd,193.18223875093992
Clarinda Primary School,Primary,Kingston (C),Crawford Rd/Centre Rd,75.27222479110888
Chelsea Heights Primary School,Primary,Kingston (C),Chelsea Heights PS/Thames Prom,62.437703115012184
Wallington Primary School,Primary,Greater Geelong (C),Adventure Park/Bellarine Hwy,950.1578064248829
Tecoma Primary School,Primary,Yarra Ranges (S),Burwood Hwy/Sandells Rd,113.1009034645873
Emerald Primary School,Primary,Cardinia (S),Emerald Village/Main St,170.91907715849436
Carrum Primary School,Primary,Kingston (C),Carrum PS/Walkers Rd,70.20276607610454
Exford Primary School,Primary,Melton (C),Riversdale Bvd/Exford Rd ,1787.295246110574
Mount Waverley Primary School,Primary,Monash (C),Talbot Rd/Waverley Rd,342.69785657647805
Murrumbeena Primary School,Primary,Glen Eira (C),Hobart Rd/Dandenong Rd,147.4054306173369
Warranwood Primary School,Primary,Maroondah (C),Warranwood Primary School/Wellington Park Dr ,44.146512055801416
Olinda Primary School,Primary,Yarra Ranges (S),Parsons Lane/Monash Ave,174.58673654218705
