Date,day,hourly_counts,id,mdate,month,sensor_id,sensor_name,year
2019-11-01,Friday,773,2887755,1,November,52,Elizabeth St-Lonsdale St (South),2019
2019-11-01,Friday,182,2887756,1,November,54,Lincoln-Swanston(West),2019
2019-11-01,Friday,1748,2887757,1,November,55,Elizabeth St-La Trobe St (East),2019
2019-11-01,Friday,569,2887758,1,November,56,Lonsdale St - Elizabeth St (North),2019
2019-11-01,Friday,379,2887759,1,November,57,Bourke St Bridge,2019
2019-11-01,Friday,953,2887760,1,November,58,Bourke St - Spencer St (North),2019
2019-11-01,Friday,179,2887761,1,November,59,Swanston St - RMIT Building 80,2019
2019-11-01,Friday,832,2887762,1,November,61,Swanston St - RMIT Building 14,2019
2019-11-01,Friday,280,2887763,1,November,62,La Trobe St (North),2019
2019-11-01,Friday,2051,2887764,1,November,4,Town Hall (West),2019
2019-11-01,Friday,320,2887765,1,November,17,Collins Place (South),2019
2019-11-01,Friday,182,2887766,1,November,18,Collins Place (North),2019
2019-11-01,Friday,589,2887767,1,November,53,Collins St (North),2019
2019-11-01,Friday,1204,2887768,1,November,2,Bourke Street Mall (South),2019
2019-11-01,Friday,2070,2887769,1,November,1,Bourke Street Mall (North),2019
2019-11-01,Friday,2822,2887770,1,November,3,Melbourne Central,2019
2019-11-01,Friday,1444,2887771,1,November,15,State Library,2019
2019-11-01,Friday,277,2887772,1,November,9,Southern Cross Station,2019
2019-11-01,Friday,142,2887773,1,November,10,Victoria Point,2019
2019-11-01,Friday,476,2887774,1,November,12,New Quay,2019
2019-11-01,Friday,154,2887775,1,November,11,Waterfront City,2019
2019-11-01,Friday,204,2887776,1,November,8,Webb Bridge,2019
2019-11-01,Friday,203,2887777,1,November,7,Birrarung Marr,2019
2019-11-01,Friday,1882,2887778,1,November,5,Princes Bridge,2019
2019-11-01,Friday,2097,2887779,1,November,6,Flinders Street Station Underpass,2019
2019-11-01,Friday,25,2887780,1,November,14,Sandridge Bridge,2019
2019-11-01,Friday,672,2887781,1,November,26,QV Market-Elizabeth St (West),2019
2019-11-01,Friday,1043,2887782,1,November,24,Spencer St-Collins St (North),2019
2019-11-01,Friday,200,2887783,1,November,23,Spencer St-Collins St (South),2019
2019-11-01,Friday,1652,2887784,1,November,25,Melbourne Convention Exhibition Centre,2019
2019-11-01,Friday,997,2887785,1,November,21,Bourke St-Russell St (West),2019
2019-11-01,Friday,974,2887786,1,November,20,Chinatown-Lt Bourke St (South),2019
2019-11-01,Friday,1362,2887787,1,November,19,Chinatown-Swanston St (North),2019
2019-11-01,Friday,2314,2887788,1,November,22,Flinders St-Elizabeth St (East),2019
2019-11-01,Friday,135,2887789,1,November,27,QV Market-Peel St,2019
2019-11-01,Friday,594,2887790,1,November,28,The Arts Centre,2019
2019-11-01,Friday,687,2887791,1,November,31,Lygon St (West),2019
2019-11-01,Friday,1064,2887792,1,November,30,Lonsdale St (South),2019
2019-11-01,Friday,118,2887793,1,November,34,Flinders St-Spark La,2019
2019-11-01,Friday,158,2887794,1,November,39,Alfred Place,2019
2019-11-01,Friday,325,2887795,1,November,37,Lygon St (East),2019
2019-11-01,Friday,245,2887796,1,November,40,Lonsdale St-Spring St (West),2019
2019-11-01,Friday,367,2887797,1,November,36,Queen St (West),2019
2019-09-29,Sunday,418,2844936,29,September,7,Birrarung Marr,2019
2019-11-01,Friday,299,2887798,1,November,29,St Kilda Rd-Alexandra Gardens,2019
2019-11-01,Friday,198,2887799,1,November,42,Grattan St-Swanston St (West),2019
2019-11-01,Friday,27,2887800,1,November,43,Monash Rd-Swanston St (West),2019
2019-11-01,Friday,42,2887801,1,November,44,Tin Alley-Swanston St (West),2019
2019-11-01,Friday,1695,2887802,1,November,35,Southbank,2019
2019-11-01,Friday,1471,2887803,1,November,45,Little Collins St-Swanston St (East),2019
2019-11-01,Friday,132,2887804,1,November,46,Pelham St (S),2019
2019-11-01,Friday,1414,2887805,1,November,47,Melbourne Central-Elizabeth St (East),2019
2019-11-01,Friday,186,2887806,1,November,48,QVM-Queen St (East),2019
2019-11-01,Friday,100,2887807,1,November,49,QVM-Therry St (South),2019
2019-11-01,Friday,605,2887808,1,November,50,Faraday St-Lygon St (West),2019
2019-11-01,Friday,151,2887809,1,November,51,QVM-Franklin St (North),2019
2019-11-01,Friday,693,2887810,1,November,52,Elizabeth St-Lonsdale St (South),2019
2019-11-01,Friday,216,2887811,1,November,54,Lincoln-Swanston(West),2019
2019-11-01,Friday,1673,2887812,1,November,55,Elizabeth St-La Trobe St (East),2019
2019-11-01,Friday,560,2887813,1,November,56,Lonsdale St - Elizabeth St (North),2019
2019-11-01,Friday,249,2887814,1,November,57,Bourke St Bridge,2019
2019-11-01,Friday,662,2887815,1,November,58,Bourke St - Spencer St (North),2019
2019-11-01,Friday,11,2887816,1,November,59,Swanston St - RMIT Building 80,2019
2019-11-01,Friday,741,2887817,1,November,61,Swanston St - RMIT Building 14,2019
2019-11-01,Friday,273,2887818,1,November,62,La Trobe St (North),2019
2019-11-01,Friday,1715,2887819,1,November,4,Town Hall (West),2019
2019-11-01,Friday,191,2887820,1,November,17,Collins Place (South),2019
2019-11-01,Friday,145,2887821,1,November,18,Collins Place (North),2019
2019-11-01,Friday,485,2887822,1,November,53,Collins St (North),2019
2019-11-01,Friday,588,2887823,1,November,2,Bourke Street Mall (South),2019
2019-11-01,Friday,1450,2887824,1,November,1,Bourke Street Mall (North),2019
2019-11-01,Friday,2662,2887825,1,November,3,Melbourne Central,2019
2019-11-01,Friday,1267,2887826,1,November,15,State Library,2019
2019-11-01,Friday,167,2887827,1,November,9,Southern Cross Station,2019
2019-11-01,Friday,76,2887828,1,November,10,Victoria Point,2019
2019-11-01,Friday,462,2887829,1,November,12,New Quay,2019
2019-11-01,Friday,109,2887830,1,November,11,Waterfront City,2019
2019-11-01,Friday,132,2887831,1,November,8,Webb Bridge,2019
2019-11-01,Friday,239,2887832,1,November,7,Birrarung Marr,2019
2019-11-01,Friday,2739,2887833,1,November,5,Princes Bridge,2019
2019-11-01,Friday,2006,2887834,1,November,6,Flinders Street Station Underpass,2019
2019-11-01,Friday,13,2887835,1,November,14,Sandridge Bridge,2019
2019-11-01,Friday,537,2887836,1,November,26,QV Market-Elizabeth St (West),2019
2019-11-01,Friday,1054,2887837,1,November,24,Spencer St-Collins St (North),2019
