ActivityType,Response,Year,RespondentGroup,SampleSize,Percentage,AgeRange,Gender,Suburb
participate in sports and exercise activities,"yes, in the last 3 months",2020,Melbourne 3000,296,53.4,,,Melbourne 3000
participate in sports and exercise activities,"yes, in the last 3 months",2020,South Yarra 3141 / Melbourne/St Kilda Road 3004,111,58.9,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in sports and exercise activities,"yes, in the last 3 months",2020,Female,701,56.1,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2020,55-64 years,90,77.8,55-64 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Carlton 3053,143,55.8,,,Carlton 3053
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Melbourne 3000,296,48.2,,,Melbourne 3000
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,North Melbourne 3051 / West Melbourne 3003,222,48.4,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,55-64 years,90,66.5,55-64 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,65+ years,124,33.5,65+ years,,
participate in organised physical activity,"yes, in the last 3 months",2020,Kensington / Flemington 3031,119,21.9,,,Kensington / Flemington 3031
participate in organised physical activity,"yes, in the last 3 months",2020,North Melbourne 3051 / West Melbourne 3003,222,16.2,,,North Melbourne 3051 / West Melbourne 3003
participate in organised physical activity,"yes, in the last 3 months",2020,Parkville 3052,100,23.0,,,Parkville 3052
participate in organised physical activity,"yes, in the last 3 months",2020,Female,701,21.0,,Female,
participate in organised physical activity,"yes, in the last 3 months",2020,18-24 years,353,22.7,18-24 years,,
participate in organised physical activity,"yes, in the last 3 months",2020,35-44 years,208,14.9,35-44 years,,
participate in organised physical activity,"yes, in the last 3 months",2020,45-54 years,138,11.3,45-54 years,,
participate in organised physical activity,"yes, in the last 3 months",2020,55-64 years,90,21.7,55-64 years,,
participate in organised physical activity,"yes, in the last 3 months",2020,65+ years,124,24.2,65+ years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,North Melbourne 3051 / West Melbourne 3003,222,7.2,,,North Melbourne 3051 / West Melbourne 3003
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Parkville 3052,100,12.9,,,Parkville 3052
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,South Wharf / Southbank 3006,142,11.8,,,South Wharf / Southbank 3006
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,South Yarra 3141 / Melbourne/St Kilda Road 3004,111,6.2,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,18-24 years,353,12.5,18-24 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,45-54 years,138,7.4,45-54 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,65+ years,124,8.2,65+ years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Docklands 3008,118,5.3,,,Docklands 3008
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,East Melbourne 3002,94,4.7,,,East Melbourne 3002
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Kensington / Flemington 3031,119,6.0,,,Kensington / Flemington 3031
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Parkville 3052,100,7.2,,,Parkville 3052
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,South Wharf / Southbank 3006,142,5.2,,,South Wharf / Southbank 3006
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,South Yarra 3141 / Melbourne/St Kilda Road 3004,111,12.6,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,25-34 years,427,8.9,25-34 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Kensington / Flemington 3031,118,53.6,,,Kensington / Flemington 3031
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,North Melbourne 3051 / West Melbourne 3003,213,50.6,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities,"yes, in the last 3 months",2021,18-24 years,373,64.7,18-24 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2021,East Melbourne 3002,73,74.8,,,East Melbourne 3002
participate in sports and exercise activities,"yes, in the last 3 months",2021,Melbourne 3000,347,53.8,,,Melbourne 3000
participate in sports and exercise activities,"yes, in the last 3 months",2021,North Melbourne 3051 / West Melbourne 3003,231,56.3,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,35-44 years,194,55.3,35-44 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,65+ years,117,39.2,65+ years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,Female,731,53.3,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,Male,621,56.4,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,City of Melbourne,1378,54.5,,,City of Melbourne
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,South Wharf / Southbank 3006,184,63.8,,,South Wharf / Southbank 3006
participate in organised physical activity,"yes, in the last 3 months",2021,35-44 years,194,19.4,35-44 years,,
participate in organised physical activity,"yes, in the last 3 months",2021,55-64 years,80,7.1,55-64 years,,
participate in organised physical activity,"yes, in the last 3 months",2021,Carlton 3053,137,18.4,,,Carlton 3053
participate in organised physical activity,"yes, in the last 3 months",2021,Kensington / Flemington 3031,121,14.1,,,Kensington / Flemington 3031
participate in organised physical activity,"yes, in the last 3 months",2021,Melbourne 3000,347,11.8,,,Melbourne 3000
participate in organised physical activity,"yes, in the last 3 months",2021,North Melbourne 3051 / West Melbourne 3003,231,16.0,,,North Melbourne 3051 / West Melbourne 3003
participate in organised physical activity,"yes, in the last 3 months",2021,South Wharf / Southbank 3006,184,13.1,,,South Wharf / Southbank 3006
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,35-44 years,194,11.7,35-44 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,55-64 years,80,2.4,55-64 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Female,731,7.6,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Kensington / Flemington 3031,121,6.2,,,Kensington / Flemington 3031
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Parkville 3052,84,9.5,,,Parkville 3052
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,South Yarra 3141 / Melbourne/St Kilda Road 3004,88,6.1,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,45-54 years,123,5.9,45-54 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,55-64 years,80,2.5,55-64 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,65+ years,117,1.7,65+ years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,Male,621,8.6,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,Kensington / Flemington 3031,121,6.8,,,Kensington / Flemington 3031
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,North Melbourne 3051 / West Melbourne 3003,231,6.3,,,North Melbourne 3051 / West Melbourne 3003
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,Parkville 3052,84,10.4,,,Parkville 3052
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,18-24 years,348,46.6,18-24 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,35-44 years,186,49.8,35-44 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,55-64 years,77,61.1,55-64 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Female,700,42.2,,Female,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,City of Melbourne,1300,47.5,,,City of Melbourne
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Melbourne 3000,319,43.3,,,Melbourne 3000
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,South Wharf / Southbank 3006,177,47.7,,,South Wharf / Southbank 3006
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,South Yarra 3141 / Melbourne/St Kilda Road 3004,85,53.9,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in sports and exercise activities,"yes, in the last 3 months",2021,25-34 years,416,66.3,25-34 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2021,45-54 years,123,53.8,45-54 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2021,Female,731,59.3,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2021,Parkville 3052,84,64.5,,,Parkville 3052
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,18-24 years,373,60.4,18-24 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,25-34 years,416,58.6,25-34 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,Docklands 3008,113,64.1,,,Docklands 3008
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,East Melbourne 3002,73,57.6,,,East Melbourne 3002
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,Kensington / Flemington 3031,121,56.7,,,Kensington / Flemington 3031
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,Melbourne 3000,347,48.9,,,Melbourne 3000
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,North Melbourne 3051 / West Melbourne 3003,231,46.2,,,North Melbourne 3051 / West Melbourne 3003
participate in organised physical activity,"yes, in the last 3 months",2021,18-24 years,373,19.1,18-24 years,,
participate in organised physical activity,"yes, in the last 3 months",2021,25-34 years,416,13.5,25-34 years,,
participate in organised physical activity,"yes, in the last 3 months",2021,65+ years,117,5.7,65+ years,,
participate in organised physical activity,"yes, in the last 3 months",2021,Male,621,17.8,,Male,
participate in organised physical activity,"yes, in the last 3 months",2021,City of Melbourne,1378,15.3,,,City of Melbourne
participate in organised physical activity,"yes, in the last 3 months",2021,East Melbourne 3002,73,19.9,,,East Melbourne 3002
participate in organised physical activity,"yes, in the last 3 months",2021,South Yarra 3141 / Melbourne/St Kilda Road 3004,88,13.9,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,45-54 years,123,3.7,45-54 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,65+ years,117,1.9,65+ years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Male,621,7.9,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Carlton 3053,137,8.5,,,Carlton 3053
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,City of Melbourne,1378,7.7,,,City of Melbourne
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Docklands 3008,113,10.7,,,Docklands 3008
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Melbourne 3000,347,5.9,,,Melbourne 3000
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,25-34 years,416,5.1,25-34 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,35-44 years,194,9.5,35-44 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,City of Melbourne,1378,6.6,,,City of Melbourne
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,Docklands 3008,113,9.8,,,Docklands 3008
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,East Melbourne 3002,73,12.9,,,East Melbourne 3002
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,25-34 years,394,42.1,25-34 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,45-54 years,121,53.9,45-54 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,65+ years,116,67.7,65+ years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Male,580,53.5,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Carlton 3053,128,46.8,,,Carlton 3053
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Docklands 3008,108,42.3,,,Docklands 3008
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,East Melbourne 3002,70,58.7,,,East Melbourne 3002
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Parkville 3052,82,48.4,,,Parkville 3052
participate in sports and exercise activities,"yes, in the last 3 months",2021,35-44 years,194,60.7,35-44 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2021,55-64 years,80,40.1,55-64 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2021,65+ years,117,45.9,65+ years,,
participate in sports and exercise activities,"yes, in the last 3 months",2021,Male,621,64.0,,Male,
