,trip_id,start_time,start_date,lat,lon,bearing,timestamp,vehicle_id,occupancy_stat,,
59,5393.UJ.2-LIL-C-mjp-1.44.R,16:28:00,15/05/2022,-37.818367,144.9779816,125.3791656,2022-05-15 15:43:15+10:00,123M-124M-1362T-1434T-267M-268M,1,,
60,5620.UJ.2-LIL-C-mjp-1.43.R,14:59:00,15/05/2022,-37.82250977,145.0453644,-82.58670044,2022-05-15 15:43:10+10:00,1406T-1683T-211M-212M-965M-966M,1,,
61,5626.UJ.2-LIL-C-mjp-1.43.R,15:19:00,15/05/2022,-37.82120895,145.1712036,257.9701233,2022-05-15 15:43:15+10:00,1666T-1671T-931M-932M-941M-942M,1,,
62,5629.UJ.2-LIL-C-mjp-1.40.R,15:59:00,15/05/2022,-37.78469086,145.3132935,82.0586853,2022-05-15 15:43:08+10:00,1317T-1395T-189M-190M-33M-34M,1,,
63,5632.UJ.2-LIL-C-mjp-1.43.R,16:19:00,15/05/2022,-37.82011414,145.1509705,90,2022-05-15 15:43:06+10:00,1405T-1689T-209M-210M-977M-978M,1,,
64,5634.UJ.2-LIL-C-mjp-1.43.R,16:39:00,15/05/2022,-37.82772064,145.0090637,97.14007568,2022-05-15 15:43:16+10:00,1393T-1411T-185M-186M-221M-222M,1,,
65,5990.UJ.2-LIL-C-mjp-1.5.H,14:52:00,15/05/2022,-37.81563568,145.2296448,60.07484818,2022-05-15 15:42:56+10:00,1304T-1432T-263M-264M-7M-8M,1,,
66,5996.UJ.2-LIL-C-mjp-1.5.H,15:12:00,15/05/2022,-37.82446289,145.0976715,66.03751373,2022-05-15 15:43:20+10:00,1345T-1687T-89M-90M-973M-974M,1,,
67,6000.UJ.2-LIL-C-mjp-1.5.H,15:32:00,15/05/2022,-37.818367,144.9779816,125.3791656,2022-05-15 15:43:15+10:00,123M-124M-1362T-1434T-267M-268M,1,,
68,6008.UJ.2-LIL-C-mjp-1.5.H,15:52:00,15/05/2022,-37.82753754,145.0070953,-83.40084839,2022-05-15 15:43:16+10:00,1335T-1690T-69M-70M-979M-980M,1,,
69,6016.UJ.2-LIL-C-mjp-1.5.H,16:12:00,15/05/2022,-37.81899261,145.1194763,-79.28577423,2022-05-15 15:43:11+10:00,1369T-137M-138M-1418T-235M-236M,1,,
70,6244.UJ.2-LIL-C-mjp-1.4.H,14:42:00,15/05/2022,-37.78469086,145.3132935,82.0586853,2022-05-15 15:43:08+10:00,1317T-1395T-189M-190M-33M-34M,1,,
71,6248.UJ.2-LIL-C-mjp-1.4.H,15:02:00,15/05/2022,-37.82011414,145.1509705,90,2022-05-15 15:43:06+10:00,1405T-1689T-209M-210M-977M-978M,1,,
72,6258.UJ.2-LIL-C-mjp-1.4.H,15:22:00,15/05/2022,-37.82772064,145.0090637,97.14007568,2022-05-15 15:43:16+10:00,1393T-1411T-185M-186M-221M-222M,1,,
73,6264.UJ.2-LIL-C-mjp-1.4.H,15:42:00,15/05/2022,-37.81861496,144.9652252,248.6117554,2022-05-15 15:42:59+10:00,1312T-1649T-23M-24M-897M-898M,1,,
74,6266.UJ.2-LIL-C-mjp-1.4.H,16:02:00,15/05/2022,-37.84988022,145.0424347,-52.23921204,2022-05-15 15:43:10+10:00,1370T-139M-140M-1682T-963M-964M,1,,
75,6492.UJ.2-PKM-B-mjp-1.2.H,15:07:00,15/05/2022,-38.02312088,145.295105,122.5078964,2022-05-15 15:42:47+10:00,9027M-9927M,1,,
76,6498.UJ.2-PKM-B-mjp-1.2.H,15:27:00,15/05/2022,-37.93734741,145.1373444,132.5451508,2022-05-15 15:43:18+10:00,1024T-1111T-347M-348M-521M-522M,1,,
77,6504.UJ.2-PKM-B-mjp-1.2.H,15:47:00,15/05/2022,-37.87769318,145.043045,128.5516357,2022-05-15 15:41:38+10:00,9012M-9912M,2,,
78,6510.UJ.2-PKM-B-mjp-1.2.H,16:07:00,15/05/2022,-37.9629631,145.1712341,-51.31790543,2022-05-15 15:43:14+10:00,1149T-1180T-597M-598M-659M-660M,2,,
79,6516.UJ.2-PKM-B-mjp-1.2.H,16:27:00,15/05/2022,-38.0331459,145.3205872,-74.89404297,2022-05-15 15:43:00+10:00,9003M-9903M,2,,
80,6877.UJ.2-CRB-B-mjp-1.2.H,14:57:00,15/05/2022,-38.10009384,145.2811737,0,2022-05-15 15:42:29+10:00,1039T-1082T-327M-349M-377M-378M,1,,
81,6884.UJ.2-CRB-B-mjp-1.2.H,15:17:00,15/05/2022,-37.98530579,145.2020264,130.4049988,2022-05-15 15:43:14+10:00,9011M-9911M,1,,
82,6889.UJ.2-CRB-B-mjp-1.2.H,15:37:00,15/05/2022,-37.8938179,145.0755005,118.2180405,2022-05-15 15:42:21+10:00,2505T-2538T-709M-710M-775M-776M,1,,
83,6896.UJ.2-CRB-B-mjp-1.2.H,15:57:00,15/05/2022,-37.90076447,145.0887909,-47.82118607,2022-05-15 15:43:03+10:00,1167T-1176T-628M-633M-634M-652M,1,,
84,6904.UJ.2-CRB-B-mjp-1.2.H,16:17:00,15/05/2022,-37.98705673,145.2043762,-49.6855278,2022-05-15 15:43:16+10:00,1135T-1152T-570M-603M-604M-661M,1,,
85,7346.UJ.2-FKN-B-mjp-1.1.H,14:37:00,15/05/2022,-38.13990021,145.1274719,197.7940979,2022-05-15 15:43:17+10:00,2506T-2515T-711M-712M-729M-730M,1,,
86,7356.UJ.2-FKN-B-mjp-1.2.H,14:47:00,15/05/2022,-38.07665634,145.1229553,168.3118744,2022-05-15 15:43:20+10:00,1141T-1155T-581M-584M-609M-610M,1,,
87,7364.UJ.2-FKN-B-mjp-1.1.H,14:57:00,15/05/2022,-38.02599716,145.1014099,153.9070892,2022-05-15 15:43:15+10:00,2544T-2561T-787M-788M-821M-822M,1,,
88,7372.UJ.2-FKN-B-mjp-1.1.H,15:07:00,15/05/2022,-37.96289063,145.0519562,150.1789703,2022-05-15 15:43:13+10:00,1010T-1061T-343M-384M-421M-422M,1,,
89,7380.UJ.2-FKN-B-mjp-1.1.H,15:17:00,15/05/2022,-37.91933441,145.0365906,190.1683502,2022-05-15 15:43:18+10:00,127M-128M-1364T-1442T-283M-284M,1,,
90,7387.UJ.2-FKN-B-mjp-1.2.H,15:27:00,15/05/2022,-37.86503983,145.0279846,140.5626984,2022-05-15 15:42:01+10:00,1151T-1171T-601M-602M-642M-673M,1,,
91,7396.UJ.2-FKN-B-mjp-1.1.H,15:37:00,15/05/2022,-37.83710861,144.9925995,187.868576,2022-05-15 15:43:04+10:00,1067T-1121T-433M-434M-541M-542M,1,,
92,7400.UJ.2-FKN-B-mjp-1.12.R,14:38:00,15/05/2022,-37.81838226,144.9667969,68.80487061,2022-05-15 15:43:00+10:00,2542T-2571T-783M-784M-841M-842M,1,,
93,7404.UJ.2-FKN-B-mjp-1.2.H,15:47:00,15/05/2022,-37.82437134,144.9901733,-72.18376923,2022-05-15 15:43:03+10:00,2549T-2564T-797M-798M-827M-828M,1,,
94,7408.UJ.2-FKN-B-mjp-1.12.R,14:48:00,15/05/2022,-37.84519196,145.0030365,-66.05982971,2022-05-15 15:43:04+10:00,2509T-2534T-717M-718M-767M-768M,1,,
95,7412.UJ.2-FKN-B-mjp-1.1.H,15:57:00,15/05/2022,-37.79958725,144.9254456,99.26116943,2022-05-15 15:43:17+10:00,100M-111M-112M-1350T-1356T-99M,1,,
96,7416.UJ.2-FKN-B-mjp-1.12.R,14:58:00,15/05/2022,-37.89075851,145.0418701,4.089102745,2022-05-15 15:41:59+10:00,2513T-2516T-725M-726M-731M-732M,1,,
97,7420.UJ.2-FKN-B-mjp-1.1.H,16:07:00,15/05/2022,-37.8420105,144.8835449,-1.062983274,2022-05-15 15:42:46+10:00,2543T-2557T-785M-786M-813M-814M,1,,
98,7424.UJ.2-FKN-B-mjp-1.13.R,15:08:00,15/05/2022,-37.94661331,145.0405884,-30.10647774,2022-05-15 15:43:13+10:00,1027T-1093T-353M-354M-485M-486M,1,,
99,7428.UJ.2-FKN-B-mjp-1.1.H,16:17:00,15/05/2022,-37.86667633,144.8249207,95.87256622,2022-05-15 15:43:15+10:00,1029T-1068T-357M-358M-435M-436M,1,,
100,7432.UJ.2-FKN-B-mjp-1.12.R,15:18:00,15/05/2022,-37.98099899,145.0645294,-30.04361153,2022-05-15 15:43:18+10:00,2527T-2551T-753M-754M-801M-802M,1,,
101,7440.UJ.2-FKN-B-mjp-1.13.R,15:28:00,15/05/2022,-38.03710175,145.1079102,-26.18483925,2022-05-15 15:43:07+10:00,train35304,1,,
102,7448.UJ.2-FKN-B-mjp-1.12.R,15:38:00,15/05/2022,-38.12085342,145.1356812,17.0813179,2022-05-15 15:43:20+10:00,1017T-1108T-314M-334M-515M-516M,1,,
103,7464.UJ.2-FKN-B-mjp-1.12.R,15:58:00,15/05/2022,-38.13990021,145.1274719,197.7940979,2022-05-15 15:43:17+10:00,2506T-2515T-711M-712M-729M-730M,1,,
104,7472.UJ.2-FKN-B-mjp-1.13.R,16:08:00,15/05/2022,-38.07665634,145.1229553,168.3118744,2022-05-15 15:43:20+10:00,1141T-1155T-581M-584M-609M-610M,1,,
105,7480.UJ.2-FKN-B-mjp-1.12.R,16:18:00,15/05/2022,-38.02599716,145.1014099,153.9070892,2022-05-15 15:43:15+10:00,2544T-2561T-787M-788M-821M-822M,1,,
106,7488.UJ.2-FKN-B-mjp-1.12.R,16:28:00,15/05/2022,-37.96289063,145.0519562,150.1789703,2022-05-15 15:43:13+10:00,1010T-1061T-343M-384M-421M-422M,1,,
107,7496.UJ.2-FKN-B-mjp-1.12.R,16:38:00,15/05/2022,-37.91933441,145.0365906,190.1683502,2022-05-15 15:43:18+10:00,127M-128M-1364T-1442T-283M-284M,1,,
108,8047.UJ.2-PKM-B-mjp-1.20.R,15:00:00,15/05/2022,-37.87769318,145.043045,128.5516357,2022-05-15 15:41:38+10:00,9012M-9912M,1,,
109,8053.UJ.2-PKM-B-mjp-1.20.R,15:20:00,15/05/2022,-37.9629631,145.1712341,-51.31790543,2022-05-15 15:43:14+10:00,1149T-1180T-597M-598M-659M-660M,1,,
110,8059.UJ.2-PKM-B-mjp-1.20.R,15:40:00,15/05/2022,-38.0331459,145.3205872,-74.89404297,2022-05-15 15:43:00+10:00,9003M-9903M,1,,
111,8081.UJ.2-PKM-B-mjp-1.20.R,16:40:00,15/05/2022,-38.02312088,145.295105,122.5078964,2022-05-15 15:42:47+10:00,9027M-9927M,1,,
112,81.UJ.2-WMN-B-mjp-1.4.R,15:16:00,15/05/2022,-37.81905746,144.9644165,76.11777496,2022-05-15 15:43:16+10:00,1430T-1681T-259M-260M-961M-962M,1,,
113,8377.UJ.2-CRB-B-mjp-1.9.R,15:09:00,15/05/2022,-37.90076447,145.0887909,-47.82118607,2022-05-15 15:43:03+10:00,1167T-1176T-628M-633M-634M-652M,1,,
114,8385.UJ.2-CRB-B-mjp-1.9.R,15:29:00,15/05/2022,-37.98705673,145.2043762,-49.6855278,2022-05-15 15:43:16+10:00,1135T-1152T-570M-603M-604M-661M,1,,
115,8400.UJ.2-CRB-B-mjp-1.9.R,16:09:00,15/05/2022,-38.10009384,145.2811737,0,2022-05-15 15:42:29+10:00,1039T-1082T-327M-349M-377M-378M,1,,
116,8407.UJ.2-CRB-B-mjp-1.9.R,16:29:00,15/05/2022,-37.98530579,145.2020264,130.4049988,2022-05-15 15:43:14+10:00,9011M-9911M,1,,
117,8646.UJ.2-UFD-B-mjp-1.2.H,15:12:00,15/05/2022,-37.70066452,144.9587555,-7.014805794,2022-05-15 15:42:45+10:00,2512T-2528T-723M-724M-755M-756M,1,,
118,8650.UJ.2-UFD-B-mjp-1.2.H,15:32:00,15/05/2022,-37.78775024,144.9400177,59.31377411,2022-05-15 15:43:19+10:00,2569T-837M-838M,1,,
119,8654.UJ.2-UFD-B-mjp-1.2.H,15:52:00,15/05/2022,-37.81661224,144.9728088,247.990921,2022-05-15 15:43:16+10:00,1078T-1099T-455M-456M-497M-498M,1,,
120,8658.UJ.2-UFD-B-mjp-1.2.H,16:12:00,15/05/2022,-37.79848862,144.8556671,95.39497375,2022-05-15 15:43:08+10:00,2552T-2558T-803M-804M-815M-816M,1,,
121,8660.UJ.2-UFD-B-mjp-1.2.H,16:32:00,15/05/2022,-37.64548874,144.7305756,146.7203827,2022-05-15 15:43:11+10:00,1160T-1164T-619M-620M-627M-648M,1,,
122,8887.UJ.2-B31-B-mjp-1.3.H,15:17:00,15/05/2022,-37.72006607,144.9221954,-19.87281227,2022-05-15 15:42:23+10:00,2526T-2535T-751M-752M-769M-770M,2,,
123,8889.UJ.2-B31-B-mjp-1.3.H,15:37:00,15/05/2022,-37.80213928,144.9356842,-59.08132172,2022-05-15 15:43:13+10:00,2510T-2519T-719M-720M-737M-738M,2,,
124,8895.UJ.2-B31-B-mjp-1.3.H,15:57:00,15/05/2022,-37.79444504,144.9361572,187.1866913,2022-05-15 15:43:09+10:00,1028T-1051T-355M-356M-401M-402M,2,,
125,89.UJ.2-WMN-B-mjp-1.4.R,15:36:00,15/05/2022,-37.86497116,144.8968811,111.5796127,2022-05-15 15:43:03+10:00,1036T-1040T-371M-372M-379M-380M,1,,
126,8901.UJ.2-B31-B-mjp-1.3.H,16:17:00,15/05/2022,-37.70325089,144.9591522,173.435318,2022-05-15 15:43:18+10:00,1064T-1124T-428M-483M-547M-548M,2,,
127,9202.UJ.2-UFD-B-mjp-1.8.R,15:18:00,15/05/2022,-37.79444504,144.9361572,187.1866913,2022-05-15 15:43:09+10:00,1028T-1051T-355M-356M-401M-402M,1,,
128,9206.UJ.2-UFD-B-mjp-1.8.R,15:38:00,15/05/2022,-37.70325089,144.9591522,173.435318,2022-05-15 15:43:18+10:00,1064T-1124T-428M-483M-547M-548M,1,,
129,9208.UJ.2-UFD-B-mjp-1.8.R,15:58:00,15/05/2022,-37.70066452,144.9587555,-7.014805794,2022-05-15 15:42:45+10:00,2512T-2528T-723M-724M-755M-756M,1,,
130,9210.UJ.2-UFD-B-mjp-1.8.R,16:18:00,15/05/2022,-37.78775024,144.9400177,59.31377411,2022-05-15 15:43:19+10:00,2569T-837M-838M,1,,
131,9430.UJ.2-B31-B-mjp-1.11.R,15:35:00,15/05/2022,-37.66870499,144.9245605,187.6487732,2022-05-15 15:43:15+10:00,1044T-1116T-344M-390M-531M-532M,1,,
132,9436.UJ.2-B31-B-mjp-1.11.R,15:55:00,15/05/2022,-37.60224915,144.9431763,17.735466,2022-05-15 15:42:34+10:00,1159T-1179T-617M-618M-657M-658M,1,,
133,9442.UJ.2-B31-B-mjp-1.11.R,16:15:00,15/05/2022,-37.72006607,144.9221954,-19.87281227,2022-05-15 15:42:23+10:00,2526T-2535T-751M-752M-769M-770M,1,,
134,945.UJ.2-SYM-C-mjp-1.19.R,14:56:00,15/05/2022,-37.81661224,144.9728088,247.990921,2022-05-15 15:43:16+10:00,1078T-1099T-455M-456M-497M-498M,1,,
135,9450.UJ.2-B31-B-mjp-1.11.R,16:35:00,15/05/2022,-37.80213928,144.9356842,-59.08132172,2022-05-15 15:43:13+10:00,2510T-2519T-719M-720M-737M-738M,1,,
136,951.UJ.2-SYM-C-mjp-1.19.R,15:36:00,15/05/2022,-37.64548874,144.7305756,146.7203827,2022-05-15 15:43:11+10:00,1160T-1164T-619M-620M-627M-648M,1,,
137,956.UJ.2-SYM-C-mjp-1.19.R,16:16:00,15/05/2022,-37.65338516,144.7367096,-33.30212021,2022-05-15 15:43:07+10:00,1150T-1170T-599M-600M-639M-640M,1,,
138,9613.UJ.2-SYM-C-mjp-1.3.H,15:02:00,15/05/2022,-37.65338516,144.7367096,-33.30212021,2022-05-15 15:43:07+10:00,1150T-1170T-599M-600M-639M-640M,1,,
139,9619.UJ.2-SYM-C-mjp-1.3.H,15:42:00,15/05/2022,-37.81956482,144.9612732,259.8457336,2022-05-15 15:43:19+10:00,1065T-1091T-429M-430M-481M-482M,2,,
