kerbsideid,location,Latitude,Longitude
17443,"-37.81034820879326, 144.97565092627656",-37.81034820879326,144.97565092627656
17449,"-37.8104511556963, 144.97534752018657",-37.8104511556963,144.97534752018657
63515,"-37.81223741168938, 144.96976176476102",-37.81223741168938,144.96976176476102
64135,"-37.8165770103364, 144.95540522208717",-37.8165770103364,144.95540522208717
17502,"-37.811011130298965, 144.97546868494481",-37.811011130298965,144.97546868494481
24986,"-37.811247878086405, 144.97553764335856",-37.811247878086405,144.97553764335856
58115,"-37.81754721494184, 144.95358230242027",-37.81754721494184,144.95358230242027
63912,"-37.815262548811816, 144.95939265881617",-37.815262548811816,144.95939265881617
7929,"-37.8102854657974, 144.9830428893452",-37.8102854657974,144.9830428893452
25125,"-37.81109548151066, 144.98331175558616",-37.81109548151066,144.98331175558616
25107,"-37.81236252909642, 144.98309982823707",-37.81236252909642,144.98309982823707
25078,"-37.81437396594851, 144.98275884796442",-37.81437396594851,144.98275884796442
62327,"-37.818080128718094, 144.95732198251844",-37.818080128718094,144.95732198251844
18074,"-37.80798108806593, 144.97252750218678",-37.80798108806593,144.97252750218678
50848,"-37.814730044095555, 144.9717067058268",-37.814730044095555,144.9717067058268
64570,"-37.81306881953495, 144.9634527950977",-37.81306881953495,144.9634527950977
51743,"-37.815562164585664, 144.96924970540266",-37.815562164585664,144.96924970540266
51746,"-37.81541429710724, 144.9691808278567",-37.81541429710724,144.9691808278567
63445,"-37.811922677837586, 144.97138444602052",-37.811922677837586,144.97138444602052
63449,"-37.81200039882707, 144.97111864104644",-37.81200039882707,144.97111864104644
69962,"-37.82225614441157, 144.9535811474653",-37.82225614441157,144.9535811474653
69946,"-37.82253375737386, 144.95206800770742",-37.82253375737386,144.95206800770742
61641,"-37.81977593985887, 144.95594194920315",-37.81977593985887,144.95594194920315
61617,"-37.81966199097232, 144.955990826353",-37.81966199097232,144.955990826353
63442,"-37.81182687052367, 144.97171274772504",-37.81182687052367,144.97171274772504
60230,"-37.817259031680905, 144.96780288709834",-37.817259031680905,144.96780288709834
61713,"-37.81364578351344, 144.97255905337184",-37.81364578351344,144.97255905337184
64464,"-37.81237645677143, 144.9658316438358",-37.81237645677143,144.9658316438358
65951,"-37.80924291821428, 144.96886730688124",-37.80924291821428,144.96886730688124
63224,"-37.81702338829923, 144.957223551761",-37.81702338829923,144.957223551761
62217,"-37.81714754558119, 144.9605669347406",-37.81714754558119,144.9605669347406
63142,"-37.81635861262595, 144.95979856801225",-37.81635861262595,144.95979856801225
65228,"-37.811225053881486, 144.9655525737132",-37.811225053881486,144.9655525737132
65018,"-37.80961688661516, 144.97102613808946",-37.80961688661516,144.97102613808946
65016,"-37.80957211737984, 144.97117794858474",-37.80957211737984,144.97117794858474
65015,"-37.809550429317284, 144.97125239981352",-37.809550429317284,144.97125239981352
54321,"-37.81415024868862, 144.96043413985802",-37.81415024868862,144.96043413985802
53226,"-37.81278168256417, 144.96238231051336",-37.81278168256417,144.96238231051336
53223,"-37.812934000783684, 144.96245238315606",-37.812934000783684,144.96245238315606
50671,"-37.80868530201425, 144.9716852163175",-37.80868530201425,144.9716852163175
65117,"-37.81039860517876, 144.96836108585921",-37.81039860517876,144.96836108585921
65112,"-37.81023362406719, 144.9689236847353",-37.81023362406719,144.9689236847353
65131,"-37.81027225794166, 144.96912396834176",-37.81027225794166,144.96912396834176
65551,"-37.81332963316226, 144.95867229615575",-37.81332963316226,144.95867229615575
7514,"-37.80827825665301, 144.9596951942212",-37.80827825665301,144.9596951942212
7515,"-37.80825984162345, 144.9597589397216",-37.80825984162345,144.9597589397216
51932,"-37.813361220798626, 144.96835416684405",-37.813361220798626,144.96835416684405
65210,"-37.81086842243505, 144.96676138730086",-37.81086842243505,144.96676138730086
65866,"-37.80903146687905, 144.96963758900276",-37.80903146687905,144.96963758900276
65822,"-37.80867133402634, 144.9707064334778",-37.80867133402634,144.9707064334778
65027,"-37.80979985259617, 144.9704046020691",-37.80979985259617,144.9704046020691
65022,"-37.809698394571, 144.97074942112323",-37.809698394571,144.97074942112323
65074,"-37.80999900178441, 144.97005620734325",-37.80999900178441,144.97005620734325
65073,"-37.8099915247975, 144.9700817056739",-37.8099915247975,144.9700817056739
65019,"-37.80964893705597, 144.9709169353198",-37.80964893705597,144.9709169353198
65087,"-37.809811799125995, 144.97103987130538",-37.809811799125995,144.97103987130538
52215,"-37.81027103052531, 144.9670663835568",-37.81027103052531,144.9670663835568
52229,"-37.81025740397943, 144.96693451497464",-37.81025740397943,144.96693451497464
62350,"-37.81822189133538, 144.9573994699406",-37.81822189133538,144.9573994699406
64041,"-37.81602703957237, 144.95727462615082",-37.81602703957237,144.95727462615082
56611,"-37.81994434579434, 144.95748786635886",-37.81994434579434,144.95748786635886
56825,"-37.818020906310394, 144.9563521332263",-37.818020906310394,144.9563521332263
51443,"-37.808544264608216, 144.96894620888543",-37.808544264608216,144.96894620888543
51432,"-37.80889488585683, 144.96910747342076",-37.80889488585683,144.96910747342076
53816,"-37.81813881692696, 144.96278077148582",-37.81813881692696,144.96278077148582
8183,"-37.80196734874865, 144.96637418843648",-37.80196734874865,144.96637418843648
8185,"-37.80207453419036, 144.96562464955218",-37.80207453419036,144.96562464955218
8164,"-37.80205923990902, 144.96631368209145",-37.80205923990902,144.96631368209145
8736,"-37.802242080448615, 144.96129218606376",-37.802242080448615,144.96129218606376
9578,"-37.80441145284277, 144.94948034561548",-37.80441145284277,144.94948034561548
