kerbsideid,location,Latitude,Longitude
61941,"-37.81494900164732, 144.96867536034765",-37.81494900164732,144.96867536034765
64026,"-37.81622209935823, 144.95603313208392",-37.81622209935823,144.95603313208392
63963,"-37.815601431880836, 144.95877570465595",-37.815601431880836,144.95877570465595
53224,"-37.81288318547357, 144.96242908195768",-37.81288318547357,144.96242908195768
53213,"-37.81275142099511, 144.96257714313825",-37.81275142099511,144.96257714313825
56618,"-37.81954857202497, 144.95730605648407",-37.81954857202497,144.95730605648407
51441,"-37.808597595193646, 144.96897073263065",-37.808597595193646,144.96897073263065
61625,"-37.81981045436291, 144.95546985526124",-37.81981045436291,144.95546985526124
61247,"-37.81770272307367, 144.96281254166757",-37.81770272307367,144.96281254166757
55315,"-37.811133103344815, 144.95747725078772",-37.811133103344815,144.95747725078772
63310,"-37.81745233223719, 144.95570051081125",-37.81745233223719,144.95570051081125
8602,"-37.80344800229747, 144.96555088951663",-37.80344800229747,144.96555088951663
9576,"-37.80452046129158, 144.94946032867392",-37.80452046129158,144.94946032867392
9942,"-37.79897003654112, 144.96572486900988",-37.79897003654112,144.96572486900988
57649,"-37.80969112401428, 144.95248077053498",-37.80969112401428,144.95248077053498
10530,"-37.80239786581231, 144.96526361139013",-37.80239786581231,144.96526361139013
10802,"-37.80619677105507, 144.95520948468823",-37.80619677105507,144.95520948468823
10855,"-37.80634503506558, 144.9550663085025",-37.80634503506558,144.9550663085025
11176,"-37.80313925540028, 144.94821838597755",-37.80313925540028,144.94821838597755
11422,"-37.81214783966169, 144.95058571399068",-37.81214783966169,144.95058571399068
11482,"-37.80314610562938, 144.95046851381073",-37.80314610562938,144.95046851381073
11483,"-37.80314956331485, 144.9505000417325",-37.80314956331485,144.9505000417325
11486,"-37.80316332871014, 144.95062779999432",-37.80316332871014,144.95062779999432
62646,"-37.81256160584434, 144.97277211752333",-37.81256160584434,144.97277211752333
63234,"-37.816841097323454, 144.95810753535793",-37.816841097323454,144.95810753535793
12095,"-37.800758463107385, 144.95379964582008",-37.800758463107385,144.95379964582008
66066,"-37.8102629212641, 144.9654357091361",-37.8102629212641,144.9654357091361
61654,"-37.820056364738484, 144.9549493448011",-37.820056364738484,144.9549493448011
61848,"-37.81472462019704, 144.96945071458146",-37.81472462019704,144.96945071458146
51831,"-37.81440744563561, 144.9688341372144",-37.81440744563561,144.9688341372144
21746,"-37.84806759441919, 144.9830194271252",-37.84806759441919,144.9830194271252
