,date,sensor_description,latitude,longitude,Total_Pedestrian_Count,day
1603,2019-07-10,Bourke Street Mall (North),-37.813494399999996,144.96515324,26928,Wednesday
1604,2019-07-11,Bourke Street Mall (North),-37.813494399999996,144.96515324,26864,Thursday
1605,2019-07-12,Bourke Street Mall (North),-37.813494399999996,144.96515324,32137,Friday
1606,2019-07-13,Bourke Street Mall (North),-37.813494399999996,144.96515324,29322,Saturday
1607,2019-07-14,Bourke Street Mall (North),-37.813494399999996,144.96515324,22768,Sunday
1608,2019-07-15,Bourke Street Mall (North),-37.813494399999996,144.96515324,26071,Monday
1609,2019-07-16,Bourke Street Mall (North),-37.813494399999996,144.96515324,25736,Tuesday
1610,2019-07-17,Bourke Street Mall (North),-37.813494399999996,144.96515324,25996,Wednesday
1611,2019-07-18,Bourke Street Mall (North),-37.813494399999996,144.96515324,31206,Thursday
1612,2019-07-19,Bourke Street Mall (North),-37.813494399999996,144.96515324,35539,Friday
1613,2019-07-20,Bourke Street Mall (North),-37.813494399999996,144.96515324,30960,Saturday
1614,2019-07-21,Bourke Street Mall (North),-37.813494399999996,144.96515324,25011,Sunday
1615,2019-07-22,Bourke Street Mall (North),-37.813494399999996,144.96515324,26543,Monday
1616,2019-07-23,Bourke Street Mall (North),-37.813494399999996,144.96515324,24326,Tuesday
1617,2019-07-24,Bourke Street Mall (North),-37.813494399999996,144.96515324,29428,Wednesday
1618,2019-07-25,Bourke Street Mall (North),-37.813494399999996,144.96515324,30444,Thursday
1619,2019-07-26,Bourke Street Mall (North),-37.813494399999996,144.96515324,30629,Friday
1620,2019-07-27,Bourke Street Mall (North),-37.813494399999996,144.96515324,33415,Saturday
1621,2019-07-28,Bourke Street Mall (North),-37.813494399999996,144.96515324,26929,Sunday
1622,2019-07-29,Bourke Street Mall (North),-37.813494399999996,144.96515324,25497,Monday
1623,2019-07-30,Bourke Street Mall (North),-37.813494399999996,144.96515324,27532,Tuesday
1624,2019-07-31,Bourke Street Mall (North),-37.813494399999996,144.96515324,29670,Wednesday
1625,2019-08-01,Bourke Street Mall (North),-37.813494399999996,144.96515324,32841,Thursday
1626,2019-08-02,Bourke Street Mall (North),-37.813494399999996,144.96515324,39478,Friday
1627,2019-08-03,Bourke Street Mall (North),-37.813494399999996,144.96515324,35570,Saturday
1628,2019-08-04,Bourke Street Mall (North),-37.813494399999996,144.96515324,28602,Sunday
1629,2019-08-05,Bourke Street Mall (North),-37.813494399999996,144.96515324,31736,Monday
1630,2019-08-06,Bourke Street Mall (North),-37.813494399999996,144.96515324,29456,Tuesday
1631,2019-08-07,Bourke Street Mall (North),-37.813494399999996,144.96515324,31541,Wednesday
1632,2019-08-08,Bourke Street Mall (North),-37.813494399999996,144.96515324,32380,Thursday
1633,2019-08-09,Bourke Street Mall (North),-37.813494399999996,144.96515324,34516,Friday
1634,2019-08-10,Bourke Street Mall (North),-37.813494399999996,144.96515324,32324,Saturday
1635,2019-08-11,Bourke Street Mall (North),-37.813494399999996,144.96515324,28032,Sunday
1636,2019-08-12,Bourke Street Mall (North),-37.813494399999996,144.96515324,28676,Monday
1637,2019-08-13,Bourke Street Mall (North),-37.813494399999996,144.96515324,28680,Tuesday
1638,2019-08-14,Bourke Street Mall (North),-37.813494399999996,144.96515324,31135,Wednesday
1639,2019-08-15,Bourke Street Mall (North),-37.813494399999996,144.96515324,33163,Thursday
1640,2019-08-16,Bourke Street Mall (North),-37.813494399999996,144.96515324,35440,Friday
1641,2019-08-17,Bourke Street Mall (North),-37.813494399999996,144.96515324,38792,Saturday
1642,2019-08-18,Bourke Street Mall (North),-37.813494399999996,144.96515324,26276,Sunday
1643,2019-08-19,Bourke Street Mall (North),-37.813494399999996,144.96515324,27934,Monday
1644,2019-08-20,Bourke Street Mall (North),-37.813494399999996,144.96515324,28755,Tuesday
1645,2019-08-21,Bourke Street Mall (North),-37.813494399999996,144.96515324,29902,Wednesday
1646,2019-08-22,Bourke Street Mall (North),-37.813494399999996,144.96515324,34702,Thursday
1647,2019-08-23,Bourke Street Mall (North),-37.813494399999996,144.96515324,43524,Friday
1648,2019-08-24,Bourke Street Mall (North),-37.813494399999996,144.96515324,37742,Saturday
1649,2019-08-25,Bourke Street Mall (North),-37.813494399999996,144.96515324,27977,Sunday
1650,2019-08-26,Bourke Street Mall (North),-37.813494399999996,144.96515324,28895,Monday
1651,2019-09-01,Bourke Street Mall (North),-37.813494399999996,144.96515324,26519,Sunday
1652,2019-09-02,Bourke Street Mall (North),-37.813494399999996,144.96515324,28759,Monday
1653,2019-09-03,Bourke Street Mall (North),-37.813494399999996,144.96515324,30037,Tuesday
1654,2019-09-04,Bourke Street Mall (North),-37.813494399999996,144.96515324,30074,Wednesday
1655,2019-09-05,Bourke Street Mall (North),-37.813494399999996,144.96515324,32846,Thursday
1656,2019-09-06,Bourke Street Mall (North),-37.813494399999996,144.96515324,36277,Friday
1657,2019-09-07,Bourke Street Mall (North),-37.813494399999996,144.96515324,32696,Saturday
1658,2019-09-08,Bourke Street Mall (North),-37.813494399999996,144.96515324,24899,Sunday
1659,2019-09-09,Bourke Street Mall (North),-37.813494399999996,144.96515324,27208,Monday
1660,2019-09-10,Bourke Street Mall (North),-37.813494399999996,144.96515324,30084,Tuesday
1661,2019-09-11,Bourke Street Mall (North),-37.813494399999996,144.96515324,32438,Wednesday
1662,2019-09-12,Bourke Street Mall (North),-37.813494399999996,144.96515324,31569,Thursday
1663,2019-09-13,Bourke Street Mall (North),-37.813494399999996,144.96515324,38339,Friday
1664,2019-09-14,Bourke Street Mall (North),-37.813494399999996,144.96515324,35332,Saturday
1665,2019-09-15,Bourke Street Mall (North),-37.813494399999996,144.96515324,24888,Sunday
1666,2019-09-16,Bourke Street Mall (North),-37.813494399999996,144.96515324,28573,Monday
1667,2019-09-17,Bourke Street Mall (North),-37.813494399999996,144.96515324,28690,Tuesday
1668,2019-09-18,Bourke Street Mall (North),-37.813494399999996,144.96515324,31913,Wednesday
1669,2019-09-19,Bourke Street Mall (North),-37.813494399999996,144.96515324,34547,Thursday
1670,2019-09-20,Bourke Street Mall (North),-37.813494399999996,144.96515324,42939,Friday
1671,2019-09-21,Bourke Street Mall (North),-37.813494399999996,144.96515324,30805,Saturday
1672,2019-09-22,Bourke Street Mall (North),-37.813494399999996,144.96515324,29239,Sunday
1673,2019-09-23,Bourke Street Mall (North),-37.813494399999996,144.96515324,30147,Monday
1674,2019-09-24,Bourke Street Mall (North),-37.813494399999996,144.96515324,31014,Tuesday
1675,2019-09-25,Bourke Street Mall (North),-37.813494399999996,144.96515324,33688,Wednesday
1676,2019-09-26,Bourke Street Mall (North),-37.813494399999996,144.96515324,41049,Thursday
1677,2019-09-27,Bourke Street Mall (North),-37.813494399999996,144.96515324,31489,Friday
1678,2019-09-28,Bourke Street Mall (North),-37.813494399999996,144.96515324,29455,Saturday
1679,2019-09-29,Bourke Street Mall (North),-37.813494399999996,144.96515324,27619,Sunday
1680,2019-09-30,Bourke Street Mall (North),-37.813494399999996,144.96515324,30626,Monday
1681,2019-10-01,Bourke Street Mall (North),-37.813494399999996,144.96515324,35734,Tuesday
1682,2019-10-02,Bourke Street Mall (North),-37.813494399999996,144.96515324,37818,Wednesday
1683,2019-10-03,Bourke Street Mall (North),-37.813494399999996,144.96515324,38797,Thursday
1684,2019-10-04,Bourke Street Mall (North),-37.813494399999996,144.96515324,36562,Friday
1685,2019-10-05,Bourke Street Mall (North),-37.813494399999996,144.96515324,36352,Saturday
1686,2019-10-06,Bourke Street Mall (North),-37.813494399999996,144.96515324,29716,Sunday
1687,2019-10-07,Bourke Street Mall (North),-37.813494399999996,144.96515324,29086,Monday
1688,2019-10-08,Bourke Street Mall (North),-37.813494399999996,144.96515324,28380,Tuesday
1689,2019-10-09,Bourke Street Mall (North),-37.813494399999996,144.96515324,31298,Wednesday
1690,2019-10-10,Bourke Street Mall (North),-37.813494399999996,144.96515324,31864,Thursday
1691,2019-10-11,Bourke Street Mall (North),-37.813494399999996,144.96515324,40599,Friday
1692,2019-10-12,Bourke Street Mall (North),-37.813494399999996,144.96515324,37886,Saturday
1693,2019-10-13,Bourke Street Mall (North),-37.813494399999996,144.96515324,29228,Sunday
1694,2019-10-14,Bourke Street Mall (North),-37.813494399999996,144.96515324,30094,Monday
