date, demand , RRP 
7/08/2016," 136,690.05 ", 114.84 
7/09/2016," 122,369.54 ", 105.55 
7/10/2016," 119,218.23 ", 36.17 
7/11/2016," 128,207.13 ", 44.86 
7/12/2016," 137,582.20 ", 49.16 
7/13/2016," 145,728.26 ", 65.91 
7/14/2016," 144,103.71 ", 76.12 
7/15/2016," 141,166.85 ", 79.51 
7/16/2016," 120,659.15 ", 73.69 
7/17/2016," 113,418.13 ", 48.79 
7/18/2016," 127,367.02 ", 43.89 
7/19/2016," 137,028.05 ", 49.45 
7/20/2016," 136,850.14 ", 52.33 
7/21/2016," 136,127.13 ", 44.93 
7/22/2016," 128,777.82 ", 21.09 
7/23/2016," 119,888.58 ", 62.71 
7/24/2016," 120,126.91 ", 52.23 
7/25/2016," 138,134.64 ", 37.98 
7/26/2016," 146,465.69 ", 47.97 
7/27/2016," 143,209.76 ", 36.40 
7/28/2016," 142,341.64 ", 41.56 
7/29/2016," 139,822.93 ", 33.87 
7/30/2016," 121,548.54 ", 24.85 
7/31/2016," 114,481.28 ", 33.78 
8/01/2016," 137,934.85 ", 45.98 
8/02/2016," 137,301.69 ", 48.60 
8/03/2016," 140,922.72 ", 58.03 
8/04/2016," 142,671.51 ", 51.57 
8/05/2016," 145,491.33 ", 70.20 
8/06/2016," 130,907.10 ", 54.40 
8/07/2016," 120,379.29 ", 32.88 
8/08/2016," 138,506.45 ", 35.12 
8/09/2016," 132,819.54 ", 29.29 
8/10/2016," 130,616.67 ", 22.42 
8/11/2016," 138,368.40 ", 39.81 
8/12/2016," 134,885.67 ", 41.09 
8/13/2016," 120,382.81 ", 38.81 
8/14/2016," 113,066.25 ", 33.06 
8/15/2016," 127,906.24 ", 39.84 
8/16/2016," 124,975.11 ", 24.45 
8/17/2016," 132,561.22 ", 40.89 
8/18/2016," 123,434.51 ", 27.47 
8/19/2016," 132,569.74 ", 27.60 
8/20/2016," 121,052.06 ", 25.00 
8/21/2016," 119,118.55 ", 38.91 
8/22/2016," 139,203.50 ", 60.00 
8/23/2016," 138,640.39 ", 73.19 
8/24/2016," 141,122.80 ", 114.00 
8/25/2016," 139,724.03 ", 74.66 
8/26/2016," 139,920.55 ", 67.63 
8/27/2016," 119,573.22 ", 31.81 
8/28/2016," 114,832.43 ", 29.45 
8/29/2016," 125,055.69 ", 39.14 
8/30/2016," 133,748.44 ", 53.19 
8/31/2016," 128,834.07 ", 32.56 
9/01/2016," 134,246.17 ", 46.81 
9/02/2016," 135,273.33 ", 52.64 
9/03/2016," 118,621.96 ", 35.27 
9/04/2016," 110,986.01 ", 24.51 
9/05/2016," 127,275.82 ", 38.21 
9/06/2016," 129,542.37 ", 28.69 
9/07/2016," 123,307.02 ", 24.18 
9/08/2016," 117,722.95 ", 12.50 
9/09/2016," 125,432.61 ", 23.40 
9/10/2016," 111,413.00 ", 38.56 
9/11/2016," 109,125.22 ", 50.35 
9/12/2016," 130,967.28 ", 68.18 
9/13/2016," 134,720.16 ", 62.07 
9/14/2016," 130,650.88 ", 54.84 
9/15/2016," 134,234.45 ", 42.82 
9/16/2016," 131,734.11 ", 47.04 
9/17/2016," 106,709.54 ", 36.03 
9/18/2016," 110,314.63 ", 48.34 
9/19/2016," 127,391.09 ", 56.44 
9/20/2016," 122,664.31 ", 43.18 
9/21/2016," 127,208.57 ", 52.28 
9/22/2016," 131,357.34 ", 55.70 
9/23/2016," 127,420.43 ", 46.54 
9/24/2016," 106,776.28 ", 43.56 
9/25/2016," 105,931.56 ", 37.70 
