,date_new,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),SouthernCrossCount,VictoriaPointCount
294,2015-10-22,11.4,16.7,8.5,7.0,5563.0,16906.0
295,2015-10-23,11.8,16.4,21.0,0.0,5551.0,17015.0
296,2015-10-24,9.2,19.5,25.1,0.0,2257.0,2840.0
297,2015-10-25,10.2,31.3,20.1,0.0,1380.0,1709.0
298,2015-10-26,14.0,15.9,14.5,0.2,4892.0,16399.0
299,2015-10-27,10.4,23.3,28.1,0.2,5268.0,16703.0
300,2015-10-28,10.1,26.8,27.6,0.0,5556.0,16644.0
301,2015-10-29,13.7,26.1,26.8,0.0,5741.0,17194.0
302,2015-10-30,12.6,27.4,22.6,0.0,5352.0,16169.0
303,2015-10-31,15.7,25.9,13.5,1.0,1446.0,2066.0
304,2015-11-01,16.4,26.0,10.0,4.4,973.0,1663.0
305,2015-11-02,14.5,16.0,8.2,0.0,3869.0,10773.0
306,2015-11-03,8.0,17.9,25.4,0.2,1279.0,2157.0
307,2015-11-04,10.9,27.2,19.6,0.0,5001.0,15794.0
308,2015-11-05,16.2,24.7,16.4,12.2,4915.0,15153.0
309,2015-11-06,16.6,18.7,3.7,17.6,4671.0,15719.0
310,2015-11-07,11.9,16.8,25.2,1.2,1479.0,2063.0
311,2015-11-08,8.5,24.8,25.1,0.0,1140.0,1467.0
312,2015-11-09,13.6,33.1,26.4,0.0,5050.0,16540.0
313,2015-11-10,15.2,16.4,5.3,0.0,4769.0,16683.0
314,2015-11-11,11.5,20.1,16.0,2.0,5096.0,17227.0
315,2015-11-12,13.7,21.2,19.2,0.0,5355.0,16802.0
316,2015-11-13,13.5,18.2,26.1,0.4,5332.0,16790.0
317,2015-11-14,12.1,18.3,27.5,0.2,1761.0,2361.0
318,2015-11-15,13.0,18.5,27.6,0.2,2784.0,3177.0
319,2015-11-16,11.4,26.3,29.4,0.2,4983.0,16712.0
320,2015-11-17,15.7,33.3,24.0,0.0,5548.0,15280.0
321,2015-11-18,14.7,29.5,29.2,0.0,5350.0,16828.0
322,2015-11-19,15.6,31.5,20.6,0.0,5542.0,16571.0
323,2015-11-20,15.4,19.1,6.4,0.4,5099.0,16349.0
324,2015-11-21,12.2,17.5,20.9,3.6,1530.0,2008.0
325,2015-11-22,13.5,20.0,27.3,0.0,1051.0,1267.0
326,2015-11-23,13.8,20.7,27.3,0.0,4823.0,16392.0
327,2015-11-24,13.6,24.5,30.0,0.0,5488.0,17167.0
328,2015-11-25,13.5,33.3,9.3,0.0,5109.0,17288.0
329,2015-11-26,10.8,17.4,23.3,0.0,5186.0,16078.0
330,2015-11-27,9.0,18.2,16.8,0.4,4795.0,15334.0
331,2015-11-28,12.0,20.1,27.1,0.0,1903.0,2687.0
332,2015-11-29,12.6,20.3,23.4,0.0,1235.0,1709.0
333,2015-11-30,10.0,32.2,26.6,0.0,4997.0,16137.0
334,2015-12-01,14.5,24.6,24.4,1.8,4943.0,15482.0
335,2015-12-02,9.2,17.5,32.4,0.0,5208.0,15929.0
336,2015-12-03,12.2,21.3,30.1,0.0,5437.0,16871.0
337,2015-12-04,11.3,30.8,32.2,0.0,5789.0,15481.0
338,2015-12-05,15.5,25.3,27.9,0.0,1838.0,2431.0
339,2015-12-06,15.3,29.8,13.5,0.0,3614.0,3687.0
340,2015-12-07,18.1,27.3,8.7,0.0,4747.0,16302.0
341,2015-12-08,20.3,35.4,19.8,0.8,6530.0,17520.0
342,2015-12-09,15.4,24.6,27.0,0.0,5290.0,15841.0
343,2015-12-10,13.1,26.0,32.0,0.0,5322.0,17590.0
344,2015-12-11,14.2,19.2,13.0,0.0,5420.0,16057.0
345,2015-12-12,10.1,18.3,27.9,2.0,1662.0,2047.0
346,2015-12-13,10.3,28.3,28.6,0.0,1192.0,1505.0
347,2015-12-14,11.9,22.7,31.6,0.0,4981.0,15764.0
348,2015-12-15,14.4,24.6,30.3,0.0,5217.0,16670.0
349,2015-12-16,15.6,27.5,32.5,0.0,6021.0,16495.0
350,2015-12-17,16.9,37.2,33.1,0.0,5462.0,16519.0
351,2015-12-18,19.4,35.4,31.2,0.0,5086.0,14321.0
352,2015-12-19,19.2,41.2,20.5,0.0,1085.0,1446.0
353,2015-12-20,25.9,37.8,10.4,0.0,862.0,1114.0
354,2015-12-21,15.0,20.2,25.4,6.0,4401.0,11590.0
355,2015-12-22,12.0,22.8,32.9,0.0,4490.0,12878.0
356,2015-12-23,15.1,26.0,32.4,0.0,4771.0,11072.0
357,2015-12-24,16.7,34.6,32.8,0.4,2903.0,6749.0
358,2015-12-25,21.7,34.1,33.3,0.0,665.0,833.0
359,2015-12-26,12.7,20.0,19.2,30.6,766.0,1504.0
360,2015-12-27,11.9,19.4,27.6,5.2,970.0,1308.0
361,2015-12-28,12.8,20.8,33.2,0.0,939.0,1731.0
362,2015-12-29,12.4,23.9,33.0,0.0,2906.0,4972.0
363,2015-12-30,13.9,34.7,32.8,0.0,3293.0,4928.0
364,2015-12-31,19.7,39.7,29.6,0.0,3999.0,5612.0
365,2016-01-01,19.8,24.2,22.0,0.0,2723.0,2712.0
366,2016-01-02,17.1,27.6,25.1,0.0,1057.0,1554.0
367,2016-01-03,17.5,27.1,25.7,0.0,858.0,1309.0
368,2016-01-04,16.3,26.0,15.3,0.0,3466.0,11267.0
369,2016-01-05,17.1,25.7,25.8,0.0,3836.0,11719.0
370,2016-01-06,17.3,25.7,18.1,0.0,3805.0,12162.0
371,2016-01-07,16.3,21.3,30.4,0.0,3870.0,11479.0
372,2016-01-08,16.2,20.6,25.4,0.0,3828.0,11929.0
373,2016-01-09,16.8,21.4,21.3,0.0,1774.0,2285.0
374,2016-01-10,15.7,31.5,31.3,0.0,943.0,1406.0
375,2016-01-11,17.2,36.4,15.8,0.0,4075.0,13577.0
376,2016-01-12,17.1,24.8,29.1,0.8,4804.0,13857.0
377,2016-01-13,16.8,42.2,25.0,0.2,4491.0,13442.0
378,2016-01-14,16.1,18.1,3.9,0.4,4392.0,14420.0
379,2016-01-15,13.6,19.2,19.7,1.0,4455.0,14021.0
380,2016-01-16,11.9,22.3,32.6,0.0,1422.0,1870.0
381,2016-01-17,14.9,32.7,31.5,0.0,1124.0,1583.0
382,2016-01-18,18.6,35.3,30.4,0.0,5364.0,14054.0
383,2016-01-19,17.9,30.9,27.2,0.0,4991.0,14658.0
384,2016-01-20,19.3,29.1,18.6,1.0,5150.0,15842.0
385,2016-01-21,19.0,26.7,14.9,0.8,4752.0,15818.0
386,2016-01-22,17.5,22.8,6.5,1.6,4596.0,14938.0
387,2016-01-23,17.3,21.9,23.2,7.0,1400.0,2136.0
388,2016-01-24,16.2,22.2,23.4,5.2,1020.0,1600.0
389,2016-01-25,16.7,20.9,25.7,0.4,3703.0,11000.0
390,2016-01-26,16.5,29.4,28.7,0.0,2958.0,3559.0
391,2016-01-27,19.3,29.5,22.2,0.0,4848.0,15622.0
392,2016-01-28,20.3,27.5,19.0,3.6,4722.0,15172.0
