census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_Cafe
2008,South Yarra,16,8.5,1.6,0.0,3.0,0.0,11.700000000000001,1.5,0.0,3.0,0.8,0.0,0.0,2.0,0.0,0.8,0.0,9.0,0.0,0.0,33.0,0.0,0
2008,Southbank,141,65.5,21.6,0.6000000000000001,26.4,3.2,11.700000000000001,6.6,21.6,19.0,25.6,18.0,0.6000000000000001,11.200000000000001,101.60000000000001,9.600000000000001,18.0,104.0,9.0,7.0,359.0,11.0,0
2008,West Melbourne (Industrial),9,3.5,1.6,0.2,6.0,0.6000000000000001,0.0,3.5999999999999996,0.8,0.0,2.4000000000000004,10.8,0.0,1.0,4.0,3.2,7.199999999999999,7.0,39.6,122.0,197.0,0.0,0
2008,West Melbourne (Residential),64,26.0,10.4,0.0,12.0,2.6,12.6,3.3,12.0,15.0,14.4,25.2,0.0,13.4,74.4,9.600000000000001,3.5999999999999996,49.0,14.399999999999999,23.5,248.5,9.0,9
2009,Carlton,338,126.5,20.8,0.2,21.0,4.2,78.3,4.2,30.400000000000002,99.0,16.8,28.8,0.0,29.8,118.4,18.400000000000002,9.6,163.0,3.0,14.5,580.0,291.0,0
2009,Docklands,211,81.0,24.0,0.2,18.599999999999998,3.8000000000000003,5.4,2.6999999999999997,24.0,14.0,15.200000000000001,13.5,0.2,10.8,71.2,12.8,24.0,283.0,21.0,5.0,432.5,188.0,0
2009,East Melbourne,74,34.0,13.600000000000001,0.0,24.599999999999998,1.2000000000000002,14.4,2.1,15.200000000000001,218.0,5.6000000000000005,6.3,0.1,10.0,65.60000000000001,15.200000000000001,5.3999999999999995,20.0,1.2,2.0,296.5,151.0,0
2009,Kensington,37,14.5,5.6000000000000005,0.2,49.199999999999996,2.8000000000000003,5.4,3.3,3.2,16.0,4.800000000000001,32.4,0.0,8.0,16.0,4.0,4.2,29.0,7.8,16.5,179.5,219.0,0
2009,Melbourne (CBD),1562,697.5,441.6,1.4000000000000001,97.8,16.400000000000002,275.40000000000003,18.9,592.8000000000001,393.0,171.20000000000002,257.40000000000003,5.1000000000000005,147.20000000000002,1452.8000000000002,144.0,115.8,1590.0,65.39999999999999,60.5,4499.0,654.0,93
2009,Melbourne (Remainder),63,18.5,18.400000000000002,0.2,25.8,1.8,6.3,0.8999999999999999,37.6,63.0,9.600000000000001,8.1,0.1,6.0,72.0,5.6000000000000005,4.8,18.0,3.5999999999999996,4.0,211.0,17.0,6
