date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),CollinsPlaceNorth
2015-09-01,0,5.1,16.2,15.7,0.0,10915.0
2015-09-02,0,8.0,18.8,10.5,0.0,10464.0
2015-09-03,0,10.6,14.0,8.0,4.4,10480.0
2015-09-04,0,8.7,13.7,13.0,0.0,8927.0
2015-09-05,0,10.2,14.0,14.8,0.0,2415.0
2015-09-06,0,5.8,16.6,11.8,0.0,1416.0
2015-09-07,0,8.9,13.6,9.2,3.6,10710.0
2015-09-08,0,8.8,12.8,11.1,2.0,10424.0
2015-09-09,0,10.0,15.3,11.4,0.0,10482.0
2015-09-10,0,10.0,15.7,17.3,0.0,11326.0
2015-09-11,0,5.1,20.1,17.7,0.0,10253.0
2015-09-12,0,12.2,21.7,10.2,0.0,2518.0
2015-09-13,0,13.2,25.5,17.1,0.0,1827.0
2015-09-14,0,15.4,26.7,17.8,0.0,10122.0
2015-09-15,0,10.8,15.9,15.0,15.8,10470.0
2015-09-16,0,8.9,14.8,17.6,0.0,10714.0
2015-09-17,0,9.0,14.3,12.4,0.4,10801.0
2015-09-18,0,10.5,14.7,8.1,0.0,10307.0
2015-09-19,0,6.5,21.3,17.0,0.0,2430.0
2015-09-20,0,8.5,22.9,17.3,0.0,1840.0
2015-09-21,0,14.0,18.1,6.7,0.0,9957.0
2015-09-22,0,7.6,12.7,17.4,4.4,10142.0
2015-09-23,0,8.5,12.6,20.3,0.0,10238.0
2015-09-24,0,5.1,14.3,18.2,0.0,10398.0
2015-09-25,0,5.8,19.1,20.2,0.0,10008.0
2015-09-26,0,6.6,17.9,20.1,0.0,2436.0
2015-09-27,0,9.8,20.2,19.6,0.0,1887.0
2015-09-28,0,8.3,21.4,13.6,0.0,10606.0
2015-09-29,0,9.0,16.9,13.5,0.0,10802.0
2015-09-30,0,11.5,15.9,16.8,0.0,10935.0
2015-10-01,0,6.0,21.6,21.7,0.0,11193.0
2015-10-02,1,9.9,28.6,21.7,0.0,6956.0
