Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,"Prep Total""""","Year 1 Total""""","Year 2 Total""""","Year 3 Total""""","Year 4 Total""""","Year 5 Total""""","Year 6 Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Total""""","Year 8 Total""""","Year 9 Total""""","Year 10 Total""""","Year 11 Total""""","Year 12 Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total""""",Year,CENSUS_TYPE
Catholic,2,1493,St Kieran's School,Primary,O,SOUTH-EASTERN VICTORIA,Latrobe (C),Inner Gippsland,37,39,37,44,32,24,29,0,242,0,0,0,0,0,0,0,0,242,2024,F
Catholic,2,1495,Marcellin College,Secondary,O,NORTH-EASTERN VICTORIA,Manningham (C),Inner Eastern Melbourne,0,0,0,0,0,0,0,0,0,169,177,209,208,207,210,0,1180,1180,2024,F
Catholic,2,1497,Marist-Sion College,Secondary,O,SOUTH-EASTERN VICTORIA,Baw Baw (S),Inner Gippsland,0,0,0,0,0,0,0,0,0,220,198,190,187,172,157,0,1124,1124,2024,F
Catholic,2,1499,St Theresa's School,Primary,O,SOUTH-WESTERN VICTORIA,Brimbank (C),Brimbank Melton,36,40,38,33,36,25,30,0,238,0,0,0,0,0,0,0,0,238,2024,F
Catholic,2,1500,St Bernadette's School,Primary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,25,15,34,28,32,31,34,0,199,0,0,0,0,0,0,0,0,199,2024,F
Catholic,2,1501,St Colman's School,Primary,O,SOUTH-WESTERN VICTORIA,Moyne (S),Wimmera South West,3,6,2,9.8,6,6,9.8,0,42.6,0,0,0,0,0,0,0,0,42.6,2024,F
Catholic,2,1503,St Agnes' School,Primary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,23,18,26,26,15,21,18,0,147,0,0,0,0,0,0,0,0,147,2024,F
Catholic,2,1505,Our Lady of the Assumption School,Primary,O,SOUTH-EASTERN VICTORIA,Kingston (C),Bayside Peninsula,35,42,39,39,21,28,44,0,248,0,0,0,0,0,0,0,0,248,2024,F
Catholic,2,1509,Sacred Heart School,Primary,O,NORTH-EASTERN VICTORIA,Maroondah (C),Outer Eastern Melbourne,60,64,70,66,65,71,60,0,456,0,0,0,0,0,0,0,0,456,2024,F
Catholic,2,1510,St Malachy's School,Primary,O,SOUTH-WESTERN VICTORIA,West Wimmera (S),Wimmera South West,8,8,13,3,9,8,5,0,54,0,0,0,0,0,0,0,0,54,2024,F
