name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
Jewish Hospital,KY,Healthcare Provider,2992.0,2014-03-28,Other,Email,No,"
A small number of employees of the covered entity (CE), Jewish Hospital, responded to “phishing” emails that appeared legitimate and disclosed the demographic and clinical protected health information (PHI) of approximately 2,992 individuals.  The PHI involved in the breach included names, addresses, birthdates, diagnoses, treatments received, health insurance information and the social security numbers of a few individuals.  In response to the incident, the CE secured the affected email accounts and arranged for a forensic investigation.  While the CE has no evidence that the electronic PHI in the employees’ mailboxes was accessed or otherwise infiltrated by the phishing scheme, it nonetheless sent breach notification letters and offered one year of free credit monitoring and identity theft protection services to all potentially affected individuals.  It also provided breach notification to HHS and the media and provided substitute notice.  Following the breach, the CE deployed anti-phishing software, accelerated its employee phishing education campaign, established a quick reaction team for proactively blocking phishing or other web-based threats, and enhanced its auditing and logging controls.  OCR obtained assurances that the corrective actions listed above were completed.
",2014,3,Moderate,21,66,3
Susquehanna Health,PA,Healthcare Provider,657.0,2014-03-27,Unauthorized Access/Disclosure,Email,No,"In response to an insurer’s routine claims request, an employee provided more protected health information (PHI) than was necessary to complete the intended purpose.  Approximately 657 patients were affected.  The impermissible disclosure included patients’ names, addresses, social security numbers, dates of birth, health insurance information, payment information, encounter identification, physicians’ names, diagnosis codes, and patients’ employers.  The covered entity (CE), Susquehanna Health, provided breach notification to HHS and affected individuals.  The CE also offered one year of free identity theft protection and credit monitoring to affected individuals.  Following the breach, the CE immediately ensured that all recipients of the PHI deleted the data from their computers and shredded all hard copies. OCR obtained and reviewed copies of the CE’s policies and procedures related to the issues raised in this complaint, as well as a copy of its current risk assessment.  As a result of OCR’s investigation, the CE sanctioned the staff member, retrained the entire department, and revised its email policies.",2014,3,Low,28,66,3
NOVA Chiropractic & Rehab Center,VA,Healthcare Provider,5534.0,2014-03-27,"Loss, Other",Other Portable Electronic Device,No,"The covered entity (CE), NOVA Chiropractic and Rehabilitation Center, misplaced a mobile device within its office.  The device contained the electronic protected health information (ePHI) of approximately 5,534 patients, including names, dates of birth, and addresses. The CE found no evidence that the ePHI was inappropriately used outside of the CE’s office. The CE provided breach notification to HHS, affected individuals, and the media, and posted substitute notice on its website. As a result of OCR’s investigation, the CE cleared and encrypted its thumb drives that contained ePHI.  The CE improved physical safeguards by installing a new security alarm system, and updated its policy for removal of PHI from the office. OCR obtained assurances that the CE has executed business associate agreements for its email and cloud system providers.",2014,3,Moderate,14,89,3
Stoetzel's Planet Chiropractic,IL,Healthcare Provider,1000.0,2014-03-25,Theft,"Laptop, Other Portable Electronic Device",No,"An unauthorized individual broke into the covered entity's (CE) facility and stole a laptop computer containing the electronic protected health information (ePHI) of approximately 1,000 individuals, including names, credit card numbers, bank account numbers, treatment information, and x-ray images.  The CE provided breach notification to HHS, affected individuals, and prominent media outlets in Illinois.  Following the breach, the CE reported the theft to the local police department, relocated to a new facility, and implemented facility security measures, including a security alarm system.  It also enhanced its policies and procedures implementing the Privacy and Security Rules.  OCR obtained assurances that the CE implemented the corrective actions listed.  

",2014,3,Moderate,26,79,3
"Orlando Health, Inc.",FL,Healthcare Provider,586.0,2014-03-24,Loss,Other Portable Electronic Device,No,"An unencrypted portable data drive was lost by a pharmacy resident of the Arnold Palmer Hospital, a part of the covered entity (CE).  The drive contained the protected health information (PHI) of 586 individuals, including names, birth weights, gestational age, admission and discharge dates, medical record numbers, and some transfer dates.  The missing drive also stored personal items, a research study proposal, and two spreadsheets containing limited information on 586 babies who were part of a study.  The CE provided breach notification to HHS, the media, and to the parents of the affected individuals because they were all minors.  Substitute notice was posted on the CE’s website.  The CE updated its policies and procedures for its data loss prevention system and added controls.  The CE retrained the resident involved in the loss of data and provided additional information to all employees and medical staff members regarding the use of portable data devices through education and published articles.  OCR obtained assurances that the CE implemented the corrective actions listed above.",2014,3,Low,13,89,3
Yellowstone Boys and Girls Ranch,MT,Healthcare Provider,543.0,2014-03-24,Loss,Paper/Films,No,"Sometime between July 11, 2013, and January 27, 2014, the covered entity (CE), Yellowstone Boys and Girls Ranch, lost a resource notebook for on-call staff in its Lewiston office.  The notebook included documents containing the protected health information (PHI) of 543 individuals including clients’ names, addresses, dates of birth, schools, treatment providers, and community-based program information.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE immediately stopped storing PHI in the on-call resource book and sanctioned the responsible personnel.  As a result of OCR’s investigation, and with substantial technical assistance from OCR, the CE began developing and revising necessary policies and procedures governing the storage, transportation, and handling of PHI.  Additionally, the CE provided OCR with written assurance that it will train its staff on the new policies and procedures.",2014,3,Low,13,94,3
Talyst,WA,Business Associate,1079.0,2014-03-24,Theft,Laptop,Yes,\N,2014,3,Moderate,26,76,0
Sutherland Healthcare Solutions,CA,Business Associate,55900.0,2014-03-21,Theft,Desktop Computer,Yes,"On March 21, 2014, the covered entity (CE), San Francisco General Hospital & Trauma Center reported that eight desktop computers were stolen from Southerland Healthcare Solutions, Inc., the CE’s business associate (BA).  The computers contained the electronic protected health information (ePHI) of 27,676 individuals.  The ePHI involved in the breach included names, addresses, birth dates, social security numbers, admission and discharge information, treatment location, diagnosis and billing information.  The CE provided breach notification to HHS, affected individuals and the media.  The CE trained its workforce members on the policies and procedures for responding and reporting security incidents.  OCR obtained assurances that the CE implemented the corrective actions noted above.",2014,3,High,26,0,0
"HealthPartners Administrators, Inc.",MN,Business Associate,715.0,2014-03-21,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes,\N,2014,3,Low,18,33,0
"HealthPartners Administrators, Inc.",MN,Business Associate,1699.0,2014-03-21,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes,\N,2014,3,Moderate,18,33,0
"HealthPartners Administrators, Inc.",MN,Business Associate,796.0,2014-03-21,"Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device",Yes,\N,2014,3,Low,18,33,0
HealthPartners Inc,MN,Health Plan,27839.0,2014-03-21,Unauthorized Access/Disclosure,"Desktop Computer, Laptop, Other Portable Electronic Device",No,"HealthPartners, which is both a covered entity (CE) and a business associate (BA), reported that on January 21, 2014, it received a call from a person claiming to be the ex-husband of an employee who had devices containing protected health information (PHI).  Upon investigating, the CE/BA learned that while teleworking the employee’s husband assisted her with formatting data and creating spreadsheet reports, thus impermissibly disclosing PHI to her husband.  The PHI included the demographic and clinical information of 37,606 individuals, as well as health plan and health provider information.  The CE/BA provided breach notification to HHS, affected individuals, and the media.  To resolve the issues raised in this matter, the CE/BA updated its confidentiality and teleworking policies, trained employees, and incorporated the refresher training into its new employee orientation.  Additionally, the CE/BA implemented technical and administrative safeguards related to remote access including encryption software, limiting employees who can write to encrypted removable media, monitoring electronic PHI being transferred to encrypted removable media, and controls to prevent non-company devices from gaining access to the CE/BA’s production network.  OCR obtained documented assurances that the CE/BA implemented the corrective actions steps listed above.",2014,3,High,28,33,1
Berea College,KY,Healthcare Provider,1000.0,2014-03-20,Other,Electronic Medical Record,No,\N,2014,3,Moderate,21,47,3
"StayWell Health Management, LLC",MN,Business Associate,1746.0,2014-03-18,Unauthorized Access/Disclosure,Network Server,Yes,"The covered entity (CE), QBE Holdings, Inc. reported that its business associate (BA), StayWell Health Management LLC, disclosed 1,746 individual’s protected health information on the internet.  The PHI included names, email addresses, unique StayWell identification numbers, and information about participation in a wellness program.  The BA provided breach notification to HHS and affected individuals.  The BA also filed a separate breach report which was investigated by OCR.  As a result of the breach, the BA implemented procedures to address the data compromise issue which included the performance of an initial analysis and risk assessment.  Further, the BA implemented policies and procedures to safeguard PHI and trained its employees.  OCR obtained assurances that the BA implemented the corrective actions listed above.",2014,3,Moderate,28,83,0
TMA Practice Management Group,TX,Business Associate,2260.0,2014-03-17,"Improper Disposal, Loss",Other Portable Electronic Device,Yes,"The covered entity (CE), McBroom Clinic, PA, signed a business associate (BA) agreement with TMA Practice Management Group to provide an operational assessment/audit. As part of the assessment the BA requested, and the CE provided, certain health information about patients. The protected health information (PHI) included clinical and insurance/payment information about patients. The CE copied some of the PHI to an unencrypted portable USB flash drive and sent it to the BA with other information in a package on January 7, 2014. Upon receipt of the empty package, the BA subsequently discarded it in the recycling receptacle.  On or around February 21, 2014, the Clinic contracted with AllClear ID to assist with the patient notification and mitigation efforts.  As a result of the breach, the CE instituted new procedures for extracting and sending PHI via portable media, including encryption. Due to OCR’s investigation, the CE was made aware of the following areas of improvement: risk analysis and staff training on policies and procedures. ",2014,3,Moderate,8,89,0
Hospitalists of Arizona,AZ,Healthcare Provider,1706.0,2014-03-16,Theft,Laptop,No,\N,2014,3,Moderate,26,76,3
Valley View Hospital Association,CO,Healthcare Provider,5415.0,2014-03-14,Hacking/IT Incident,"Desktop Computer, Laptop",No,"On January 25, 2014, Valley View Hospital Association, the covered entity (CE), discovered that malware infected 172 of its computer workstations.  The CE determined that, on 90 of the 172 infected workstations, the malware took screen shots of the electronic protected health information (ePHI) belonging to 5,415 individuals, and the malware stored those screen shots as encrypted files “hidden” on the workstations’ hard drives. The screen shots contained names, social security numbers, and other demographic information as well as credit card information. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE deployed anti-virus software and cleaned the malware from its systems. OCR’s investigation resulted in the CE revising its procedures for safeguarding ePHI and protecting against malicious software. OCR provided technical assistance to the CE regarding the Security Rule’s risk analysis and risk management requirements. OCR also obtained an assurance from the CE that it would update its risk analysis and risk management plan.",2014,3,Moderate,0,30,3
"Partners In Nephrology & Endocrinology, P.C.",PA,Healthcare Provider,5000.0,2014-03-14,Other,Other,No,No description provided,2014,3,Moderate,21,88,3
"Todd M. Burton, M.D.",TX,Healthcare Provider,5000.0,2014-03-13,Theft,Other,No,\N,2014,3,Moderate,26,88,3
Detroit Medical Center - Harper University Hospital,MI,Healthcare Provider,1087.0,2014-03-13,"Theft, Unauthorized Access/Disclosure",Paper/Films,No,"Patients’ medical information was found in the possession of an employee who had worked for the covered entity, Detroit Medical Center Harper University.  The protected health information (PHI) included the names, dates of birth, age, gender and reasons for visits for approximately 1,087 individuals. The CE provided breach  notification to HHS, affected individuals, and the media, and offered one year of credit protection and monitoring service at no cost to all affected patients.  OCR obtained documentation which showed that the CE implemented the corrective actions listed.

",2014,3,Moderate,27,94,3
"University of California San Francisco , Privacy Manager Breach",CA,Healthcare Provider,9861.0,2014-03-12,Theft,Desktop Computer,No,"On or about January 11, 2014, unencrypted desktop computers and unencrypted portable computer drives were stolen from the covered entity (CE), University of California San Francisco Family Medicine Center.  The types of protected health information (PHI) involved in the breach included names, dates of birth, mailing addresses, medical record numbers, social security numbers, and health insurance identification numbers, affecting 9,861 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE improved physical safeguards, changed or disabled usernames and passwords for accounts that were potentially at risk of compromise, and encrypted the remaining computers at the affected location as well as the replacement computers.  OCR obtained assurances that  the CE implemented the corrective actions noted above.",2014,3,Moderate,26,0,3
Mission City Community Network,CA,Healthcare Provider,7800.0,2014-03-12,Theft,Email,No,"In violation of the employer’s policies, a workforce member of the covered entity (CE), Mission City Community Network, Inc., sent an unsecured email to a business associate (BA) containing the protected health information (PHI) of 7,800 individuals.  The PHI included names, addresses, dates of birth, and insurance information.  During the investigation, OCR determined that the disclosure to the BA for payment purposes was permissible, as the email reached the intended BA, and there was no evidence that PHI was impermissibly disclosed to any other party.  OCR provided technical assistance to the CE. As a result of OCR’s investigation, the CE initiated a review and improvements to its HIPAA practices.",2014,3,Moderate,26,66,3
Iowa Dept. of Human Services,IA,Health Plan,2042.0,2014-03-10,Other,"Email, Laptop, Other Portable Electronic Device",No,"Employees of the covered entity (CE), Iowa Department of Human Services, used personal email accounts, personal online storage accounts and personal electronic devices for work purposes. From February 5, 2010 to January 17, 2014, the protected health information (PHI) of 2,042 individuals was transferred outside of the CE’s secure network in this manner.  The types of information included names, mailing addresses, social security numbers, state ID numbers, dates of birth, PHI obtained during case assessment, and incident information.  The CE stated that it notified affected individuals and media and also offered free credit monitoring to the affected individuals.  OCR has consolidated this breach with another breach involving this CE.",2014,3,Moderate,21,69,1
"PracMan, Inc.",AL,Business Associate,1179.0,2014-03-10,Hacking/IT Incident,Network Server,Yes,\N,2014,3,Moderate,0,83,0
"PracMan, Inc.",AL,Business Associate,1145.0,2014-03-07,Hacking/IT Incident,Network Server,Yes,"On January 10, 2014, a business associate (BA), PracMan, Inc., of two covered entities (CE), Monarch Women’s Health (Monarch) and Punuru J.M. Reddy, M.D., Inc. (Dr. Reddy), impermissibly disclosed the protected health information (PHI) of the CEs’ patients when the BA’s technology subcontractor, MASHNet, copied and stored computer files in error on an unsecured server.  The PHI included demographic, clinical, and financial information, including names, account numbers, insurance providers, procedures, diagnoses, social security numbers (SSN), and account balances affecting approximately 1,179 of Dr. Reddy’s patients and approximately 1,145 of Monarch’s patients.  The BA provided breach notification to HHS, affected individuals, and the media.  It also established a toll-free number and website dedicated to providing information regarding the breach, and offered one year of free credit monitoring to individuals whose SSN was potentially exposed online.  In response to the breach, the BA engaged a third party to perform a risk analysis of its operations and updated its privacy and security policies.  The BA ensured that the data was removed from the unsecured server and all cached copies of links to the PHI were removed.  OCR obtained assurances that the BA implemented the corrective actions listed above.  Additionally, the BA terminated its relationship with the subcontractor and restructured its corporate network.  ",2014,3,Moderate,0,83,0
Banner Health,AZ,Healthcare Provider,55207.0,2014-03-05,Other,Other,No,\N,2014,3,High,21,88,3
St. Joseph Health System,TX,Business Associate,3300.0,2014-03-05,Hacking/IT Incident,Network Server,Yes,\N,2014,3,Moderate,0,83,0
Eureka Internal Medicine,CA,Healthcare Provider,3534.0,2014-03-04,Improper Disposal,Paper/Films,No,\N,2014,3,Moderate,7,94,3
Data Media,GA,Business Associate,600.0,2014-02-28,Other,Other,Yes,\N,2014,2,Low,21,88,0
Joseph Michael Benson M.D,TX,Healthcare Provider,7500.0,2014-02-27,Theft,Desktop Computer,No,\N,2014,2,Moderate,26,0,3
"Cornerstone Health Care, PA",NC,Healthcare Provider,548.0,2014-02-26,"Loss, Theft",Laptop,No,\N,2014,2,Low,16,76,3
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,504.0,2014-02-26,Other,Electronic Medical Record,No,\N,2014,2,Low,21,47,3
HealthSource of Ohio Inc.,OH,Unknown,8845.0,2014-02-26,Unauthorized Access/Disclosure,Other,Yes,"Health Source of Ohio, the covered entity (CE), reported that its business associate (BA) uploaded a file onto its network webhosting server, which was searchable via the Internet.  This breach affected the electronic protected health information (ePHI) of 8,845 individuals.  The ePHI involved included Social Security numbers, addresses, drivers’ license numbers, dates of birth, financial information, and other identifiers.  The CE notified HHS, affected individuals, the media, and created a complimentary phone number for questions or concerns.  The CE also provided complimentary credit monitoring and identity protection services to affected individuals.  In response to the breach, the CE terminated its business associate agreement with its BA and implemented additional administrative and technical safeguards.  OCR obtained assurances that the CE implemented the corrective actions noted.",2014,2,Moderate,28,88,4
"Care Advantage, Inc.",VA,Healthcare Provider,3458.0,2014-02-26,Theft,Laptop,No,"The covered entity (CE), Care Advantage, Inc., experienced a break-in at a satellite office and the theft of 4 laptops.  The laptops, which were password protected, contained the electronic protected health information (ePHI) relating to information used in a web based scheduling program.   The breach report indicated that 3458 individuals were affected.   Upon discovering the breach, the CE’s investigation revealed that the actual number of affected individuals was 420.  The CE provided breach notification to HHS, and affected individuals and also posted notice of the incident on its website.  Following the breach, the CE assessed and updated its HIPAA security policy, and conducted employee training.   As a result of OCR’s investigation, OCR obtained written assurance that the CE has implemented the corrective action steps listed above.",2014,2,Moderate,26,76,3
"StayWell Health Management, LLC",MN,Business Associate,1511.0,2014-02-25,Unauthorized Access/Disclosure,Network Server,Yes,\N,2014,2,Moderate,28,83,0
"Palo Verde Hospital, Privacy Manager Breach",CA,Healthcare Provider,1100.0,2014-02-25,Unauthorized Access/Disclosure,"Other, Other Portable Electronic Device",No,No description provided,2014,2,Moderate,28,91,3
Inspira Health Network Inc.,NJ,Healthcare Provider,1411.0,2014-02-21,Theft,Desktop Computer,No,\N,2014,2,Moderate,26,0,3
"StayWell Health Management, LLC",MN,Business Associate,4786.0,2014-02-21,Unauthorized Access/Disclosure,Network Server,Yes,"StayWell Health Management, a business associate (BA) for multiple covered entities (CE), reported that, from March 29, 2012, until January 21, 2014, spreadsheets containing the protected health information (PHI) of 19,474 individuals who participated in wellness programs were unintentionally available online when an internal administrative tool generated reports and placed those reports in a public facing folder.  The types of PHI on the spreadsheets included the participants’ names, email addresses, unique BA identification numbers, and information about participation in the program.  The BA provided breach notification to HHS, affected individuals, and the media on behalf of the CEs affected by the breach:  Regents of the University of Minnesota, Missouri Consolidated health Care Plan, Clorox Company Group Insurance Plan, Nissan North America, Inc., and QBE Holdings, Inc.  Upon discovery of the breach, the BA upgraded its platform and revised and implemented its policies and procedures.  OCR obtained assurances that the BA implemented the corrective actions listed above.  Steps were also taken to restrict access to and to remove the data entirely from Google, Bing, Yahoo, and other search engines.  Separate breach cases have been opened for each of the affected CEs.     ",2014,2,Moderate,28,83,0
"StayWell Health Management, LLC",MN,Business Associate,520.0,2014-02-21,Unauthorized Access/Disclosure,Network Server,Yes,\N,2014,2,Low,28,83,0
"StayWell Health Management, LLC",MN,Business Associate,10024.0,2014-02-21,Unauthorized Access/Disclosure,Network Server,Yes,"On February 21, 2014, StayWell Health Management, LLC, a business associate (BA) of the covered entity (CE), Missouri Consolidated Health Care Plan, erroneously made a spreadsheet accessible via an electronic link on the internet.  The spreadsheet included participants’ complete names, email addresses, unique internal identification numbers, current status in the wellness program, information regarding email notifications, and whether a participant had completed two program surveys.  Approximately 10,024 individuals were affected by the breach.  The BA provided breach notification to affected individuals and the media.  The CE provided breach notification to HHS.  Following the breach, the CE ensured that the BA removed the spreadsheet from public accessibility via the internet and implemented the use of a legacy system in order to safeguard electronic protected health information (ePHI) in transit.  The CE also updated its Privacy and Security Policy, to include encryption standards for safeguarding data in process, in transit, and at rest.  OCR obtained documented assurances that the CE and BA implemented the corrective actions listed above.   ",2014,2,High,28,83,0
St. Vincent Hospital and Healthcare Inc,IN,Healthcare Provider,1142.0,2014-02-18,Theft,Laptop,No,"A St. Vincent Hospital and Healthcare Inc. laptop computer that was connected to an EEG diagnostic system was stolen from a procedure cart located in a nursing unit within the hospital.  This breach affected approximately 1,142 individuals and the types of protected health information (PHI) involved in the breach included patients' names, dates of birth, dates of service, gender, physicians' name and types of studies. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE encrypted its laptops, updated its policies and procedures related to safeguarding mobile devices, and implemented procedures for the use of laptop security cables.  OCR obtained documented assurances that the CE implemented the corrective actions noted above.",2014,2,Moderate,26,76,3
"UC Davis Medical Center, Privacy Manager Breach",CA,Healthcare Provider,2269.0,2014-02-14,Hacking/IT Incident,Email,No,"The covered entity (CE), University of California, Davis Medical Center, reported that on December 13, 2013, a fraudulent phishing email was sent to employees.  The email instructed employees to go to a fraudulent website and input authentication credentials.  Three employee email accounts were impacted by the phishing scam.  The email accounts contained the electronic protected health information (ePHI) of approximately 2,269 individuals.  The types of ePHI potentially affected by the incident included patient names, medical record numbers, and limited health information.  The CE determined that there was a low probability that specific email content was accessed during this event.  The CE provided breach notification to HHS, affected individuals, and the media.  Immediately following its discovery of the breach incident, the CE took steps to mitigate harm including blocking further access to the initiating IP address, deleting all similar phishing emails from employee accounts, and immediately notifying staff of the pending threat.  In response to this incident, the CE implemented a new procedure to help guard against, detect, and report malicious software.  OCR obtained assurances that the CE implemented the corrective action described above. ",2014,2,Moderate,0,66,3
Health Care Solutions at Home Inc.,OH,Health Plan,1139.0,2014-02-14,Theft,Other,No,"The covered entity (CE) mistakenly mailed protected health information (PHI) to the wrong addresses of approximately 1,139 individuals following a computer error at the business associate (BA).  The PHI involved in the breach included names, addresses, dates of birth, dates of service, claims information, and diagnoses.  The CE provided breach notification to affected individuals, HHS, and the media, and posted substitute notice on its website.  To prevent a similar breach from happening in the future, the CE and BA improved safeguards by updating policies to require multiple reviews of PHI in mailings.  Following OCR's investigation, the CE updated its policies and procedures relating to the minimum necessary standard.",2014,2,Moderate,26,88,1
"Supportive Concepts for Families, Inc.",PA,Healthcare Provider,593.0,2014-02-13,Unauthorized Access/Disclosure,Network Server,No,"The CE inadvertently made an internal database containing the electronic protected health information (ePHI) of 593 individuals accessible on the Internet.  The ePHI involved in the breach included names, dates of birth, social security numbers, addresses, dates of services, and customer service notes. The CE immediately removed the database from the Internet and secured it against further unauthorized disclosures.  The CE provided breach notification to affected individuals, HHS, and the media, and posted substitute notice online.  Following the breach, the CE provided further HIPAA training to its staff and sanctioned the responsible employees.  The CE also took measures to reduce the vulnerabilities identified its most recent risk analysis. As a result of OCR’s ",2014,2,Low,28,83,3
University of Miami,FL,Healthcare Provider,13074.0,2014-02-12,Loss,Paper/Films,No,"The covered entity (CE), University of Miami Health System, reported that on or around June 27, 2013, it learned from Iron Mountain, its business associate (BA), that 15 boxes containing patients’ protected health information (PHI) were lost during the transfer between its new and old storage/shredding vendors.  The boxes contained a mix of billing and research records of 13,074 patients that included financial and clinical information.  Following the breach, the CE provided breach notification to HHS, affected individuals, and the media and also posted substitute notice on its website.  The CE offered credit monitoring and identity theft protection to all affected individuals.  The CE and BA reviewed the BA’s processes for the transfer, pick up, and storage of records and worked together to revise procedures for safeguarding archived PHI.  The CE required the BA to re-train all of its personnel who handle the CE’s data and re-trained its workforce on its HIPAA Privacy and Security policies and procedures. Additionally, the CE hired a new HIPAA Privacy Officer, revised procedures for retaining records in order to avoid sending records containing billing information to off-site storage, and developed a new sanctions policy specific to privacy violations.  The CE also improved technical safeguards by implementing the Fair Warning System, a cloud-based security solution.  OCR obtained assurances that the CE implemented the corrective actions listed above.",2014,2,High,13,94,3
"Lewis J. Sims, DPM, PC dba Sims and Associates Podiatry ",NY,Healthcare Provider,6475.0,2014-02-12,"Other, Theft",Laptop,No,"Three laptop computers belonging to the covered entity (CE), Sims & Podiatry Associates’, were stolen from its office. The laptops were unencrypted and contained electronic protected health information (ePHI) that included 6,474 patients’ addresses, zip codes, dates of birth and vascular test results.  The CE provided breach notification to HHS, affected individuals, and the media.  As a result of OCR’s investigation, the CE installed new locks on all its doors and an alarm security system with central station monitoring.  The CE also purchased replacement laptops and a new server.  Additionally, the CE secured all laptops with cable locks and implemented full disk encryption along with antivirus and anti-malware software.  Further, the CE implemented real-time offsite backup of all its ePHI.  OCR specified its expectation that the CE conduct an on-going risk analysis, implement an on-going risk management plan, conduct periodic vulnerability scans and penetration tests, implement audit controls and perform information system activity review.  Further, OCR expects the CE to upgrade encryption for the Poughkeepsie office and ensure that portable hard drives are stored in a secured location.  The CE is also expected to provide on-going security awareness training to all staff. ",2014,2,Moderate,22,76,3
WA State Department of Social & Health Services,WA,Health Plan,3104.0,2014-02-11,"Other, Unauthorized Access/Disclosure",Paper/Films,No,"The covered entity (CE) erroneously sent mail to 3,104 clients at incorrect addresses due to a coding error in an internal database.  The protected health information (PHI) contained in the mailing may have included clients’ names, addresses, and client identification numbers, and some letters also included dates of birth, social security numbers, diagnoses, and financial information.  The CE provided breach notification to HHS, affected individuals, and the media, and posted substitute notice on its website.  Following the breach, the CE hired a firm to conduct an independent evaluation of the data breach to identify and correct the root causes of this incident.  The CE formed a Quality Improvement Team to increase oversight of production and ensure that quality assurance processes are strictly followed.  As a result of OCR’s investigation, OCR provided technical assistance on the timeliness of notifications and incident reporting and obtained assurances that the corrective actions listed above were completed.",2014,2,Moderate,24,94,1
Kmart Corporation,IL,Healthcare Provider,16446.0,2014-02-10,Theft,"Electronic Medical Record, Other",No,\N,2014,2,High,26,62,3
PruittHealth Pharmacy Services,GA,Healthcare Provider,841.0,2014-02-07,Theft,Laptop,No,"A manager's unencrypted laptop computer was stolen from the back seat of an employee's car.  The laptop contained the protected health information (PHI) of 841 individuals and included names, possible diagnoses, prescription names, dates of service, and service locations.  The covered entity (CE) has improved safeguards by encrypting devices and employing devices that do not allow local storage.  The CE has also revised its privacy and security policies and re-trained employees.  OCR has consolidated this review into a compliance review that involves the same corporate entity and another stolen unencrypted laptop. ",2014,2,Low,26,76,3
"Easter Seal Society of Superior California, Privacy Manager Breach",CA,Healthcare Provider,3026.0,2014-02-07,Theft,Laptop,No,"A work-issued laptop computer containing 3,026 clients’ protected health information (ePHI) was stolen out of an employee’s locked car.  The types of ePHI involved in the breach included financial, demographic, and clinical information.  The covered entity’s (CE) investigation revealed that, although the computer was powered off, password protected and not connected to the internet at the time of the theft, e-mails containing the respective e-PHI could still be accessed.  The CE provided breach notification to HHS, affected individuals, and the media, and posted substitute notice on its website.  It also provided affected individuals with one free year of credit monitoring and restoration, tips on protecting against ID theft, and a confidential privacy line to call with questions or concerns.  Upon learning of the theft, the CE launched an internal investigation, hired specialized data security counsel to assist in responding to the incident, and retained external forensic experts to assist in determining the scope of the breach.  The CE improved safeguards by reviewing its privacy and security policies and procedures, implementing a risk mitigation plan that reflects the current work environment, encrypting its laptop computers, and updating its policies and procedures on portable/mobile devices.  It also retrained workforce members.  OCR provided technical assistance regarding the HIPAA Security Rule requirements and obtained written documentation that the CE implemented the corrective actions listed above.",2014,2,Moderate,26,76,3
"Min Yi, M.D.",CA,Healthcare Provider,4676.0,2014-02-05,Theft,Other Portable Electronic Device,No,"A desktop computer hard drive and a backup external hard drive containing the electronic protected health information (ePHI) of 4,676 individuals were stolen from the office of the covered entity (CE), Dr. K. Min Yi.  The ePHI on the external hard drive included names, addresses, phone numbers, insurance identification numbers, social security numbers, checking account information, medical and surgical information, diagnosis and procedure codes, and dates of birth.  The CE provided breach notification to HHS, the media, and affected individuals, and provided credit monitoring to patients who contacted her with privacy concerns.  In response to the breach the CE improved physical safeguards, implemented revised administrative policies and encrypted ePHI.  OCR’s investigation resulted in the CE improving its HIPAA practices.",2014,2,Moderate,26,89,3
St Joseph Health System,TX,Healthcare Provider,405000.0,2014-02-05,Hacking/IT Incident,Network Server,No,"A computer server containing the records of 405,124 patients of the covered entity (CE), St. Joseph Health System, was hacked during a power surge.  The electronic protected health information (ePHI) on the server included names, dates of birth, social security numbers, medical information, bank account information, and addresses.  The CE provided breach notification to HHS, affected individuals, and the media. The CE improved administrative and technical security and developed and revised policies and procedures addressing the breach.   OCR obtained assurances that the CE implemented the corrective actions listed.",2014,2,Critical,0,83,3
Beebe Medical Center,DE,Healthcare Provider,1883.0,2014-01-31,Other,Laptop,No,"The covered entity (CE), Beebe Physician Network, learned that a temporary contractor handling the electronic protected health information (ePHI) of 1,883 individuals had previously been arrested for identity theft.  The ePHI included social security numbers, driver’s license numbers, and other demographic information.  Although no inappropriate access was identified, the CE learned that the contractor had been convicted of 5 counts of identity theft in the state of Pennsylvania in 2009, while working in a physician practice.  The CE provided substitute notice and provided breach notification to HHS and the media.  The CE offered one year of free identity theft monitoring and insurance to affected individuals.  Following this breach, the CE reviewed its policies and procedures, worked with electronic medical record vendors to enhance its reports mechanisms, and re-assessed its requirements for staffing agencies. As a result of OCR’s investigation, the CE revised its procedures regarding backgrounds checks for newly employed staff.",2014,1,Moderate,21,76,3
