name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
Eastern Idaho Public Health,ID,Healthcare Provider,759.0,2025-01-07,Unauthorized Access/Disclosure,Electronic Medical Record,No,No description provided,2025,1,Low,28,47,3
Medusind Inc.,FL,Business Associate,701475.0,2025-01-07,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Critical,0,83,0
"Indiana University Health, Affiliated Covered Entity",IN,Healthcare Provider,515.0,2025-01-07,Hacking/IT Incident,Email,No,No description provided,2025,1,Low,0,66,3
DentaQuest,WI,Health Plan,868.0,2025-01-06,Unauthorized Access/Disclosure,Paper/Films,No,No description provided,2025,1,Low,28,94,1
"Pediatric Home Respiratory Services, LLC d/b/a Pediatric Home Service",MN,Healthcare Provider,41792.0,2025-01-06,Hacking/IT Incident,Network Server,No,No description provided,2025,1,High,0,83,3
North Los Angeles County Regional Center,CA,Business Associate,500.0,2025-01-06,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Low,0,83,0
"Ingham County Medical Care Facility, d/b/a Dobie Road",MI,Healthcare Provider,3078.0,2025-01-05,Hacking/IT Incident,Electronic Medical Record,Yes,No description provided,2025,1,Moderate,0,47,3
"TruBridge, Inc. ",AL,Business Associate,3855.0,2025-01-04,Hacking/IT Incident,Email,Yes,No description provided,2025,1,Moderate,0,66,0
Buffalo Surgery Center,NY,Healthcare Provider,64000.0,2025-01-04,Hacking/IT Incident,Network Server,No,No description provided,2025,1,High,0,83,3
Sidney Health Center,MT,Healthcare Provider,1370.0,2025-01-03,Unauthorized Access/Disclosure,Email,No,No description provided,2025,1,Moderate,28,66,3
"Center for Child Development, INC",DE,Healthcare Provider,540.0,2025-01-02,Unauthorized Access/Disclosure,Desktop Computer,No,No description provided,2025,1,Low,28,0,3
"PrintComm, Inc.",MI,Business Associate,3864.0,2025-01-02,Unauthorized Access/Disclosure,Paper/Films,Yes,No description provided,2025,1,Moderate,28,94,0
Pacific Pulmonary Medical Group,CA,Healthcare Provider,12723.0,2024-12-31,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,3
"Lifetime Psychiatry, LLC",MO,Healthcare Provider,16926.0,2024-12-30,Hacking/IT Incident,Email,No,No description provided,2024,12,High,0,66,3
"Tycon Medical Systems, Inc.",VA,Healthcare Provider,112847.0,2024-12-30,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Critical,0,83,3
"Youngs Counseling, PLLC",TX,Healthcare Provider,790.0,2024-12-30,Unauthorized Access/Disclosure,Email,No,No description provided,2024,12,Low,28,66,3
Omaha Surgical Center,NE,Healthcare Provider,1110.0,2024-12-30,Hacking/IT Incident,Email,No,No description provided,2024,12,Moderate,0,66,3
Dragonfly Health,AZ,Business Associate,501.0,2024-12-27,Hacking/IT Incident,Email,Yes,No description provided,2024,12,Low,0,66,0
Judge Baker Children’s Center dba The Baker Center for Children and Families,MA,Healthcare Provider,2715.0,2024-12-27,Hacking/IT Incident,Network Server,No,No description provided,2024,12,Moderate,0,83,3
Lexington Diagnostic Center,KY,Healthcare Provider,29819.0,2024-12-24,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,3
"Word & Brown Insurance Administrators, Inc. ",CA,Business Associate,501.0,2024-12-23,Hacking/IT Incident,"Desktop Computer, Network Server",Yes,No description provided,2024,12,Low,0,36,0
Dignity Health Lassen Medical Clinic ,CA,Healthcare Provider,65482.0,2024-12-23,Hacking/IT Incident,Network Server,No,No description provided,2024,12,High,0,83,3
