Date,Time,Location,Value,New Value
17/01/20,14:00,Brooklyn,5.4,5.4
17/01/20,15:00,Brooklyn,,5.45
17/01/20,16:00,Brooklyn,5.5,5.5
17/01/20,17:00,Brooklyn,5.8,5.8
17/01/20,18:00,Brooklyn,6.2,6.2
17/01/20,19:00,Brooklyn,6.7,6.7
17/01/20,20:00,Brooklyn,7.9,7.9
17/01/20,21:00,Brooklyn,9.3,9.3
17/01/20,22:00,Brooklyn,10.0,10.0
17/01/20,23:00,Brooklyn,9.6,9.6
18/01/20,0:00,Brooklyn,14.3,14.3
18/01/20,1:00,Brooklyn,16.3,16.3
18/01/20,2:00,Brooklyn,19.1,19.1
18/01/20,3:00,Brooklyn,25.2,25.2
18/01/20,4:00,Brooklyn,25.4,25.4
18/01/20,5:00,Brooklyn,22.4,22.4
18/01/20,6:00,Brooklyn,21.7,21.7
18/01/20,7:00,Brooklyn,23.4,23.4
18/01/20,8:00,Brooklyn,23.7,23.7
18/01/20,9:00,Brooklyn,22.9,22.9
18/01/20,10:00,Brooklyn,21.7,21.7
18/01/20,11:00,Brooklyn,20.3,20.3
18/01/20,12:00,Brooklyn,19.1,19.1
18/01/20,13:00,Brooklyn,18.4,18.4
18/01/20,14:00,Brooklyn,19.2,19.2
18/01/20,15:00,Brooklyn,,18.2
18/01/20,16:00,Brooklyn,17.2,17.2
18/01/20,17:00,Brooklyn,16.7,16.7
18/01/20,18:00,Brooklyn,15.8,15.8
18/01/20,19:00,Brooklyn,16.2,16.2
18/01/20,20:00,Brooklyn,17.5,17.5
18/01/20,21:00,Brooklyn,19.7,19.7
18/01/20,22:00,Brooklyn,24.3,24.3
18/01/20,23:00,Brooklyn,25.8,25.8
19/01/20,0:00,Brooklyn,26.9,26.9
19/01/20,1:00,Brooklyn,26.5,26.5
19/01/20,2:00,Brooklyn,28.5,28.5
19/01/20,3:00,Brooklyn,29.9,29.9
19/01/20,4:00,Brooklyn,28.0,28.0
19/01/20,5:00,Brooklyn,29.4,29.4
19/01/20,6:00,Brooklyn,31.4,31.4
19/01/20,7:00,Brooklyn,28.4,28.4
19/01/20,8:00,Brooklyn,27.9,27.9
19/01/20,9:00,Brooklyn,20.0,20.0
19/01/20,10:00,Brooklyn,10.8,10.8
19/01/20,11:00,Brooklyn,9.5,9.5
