WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,Shallow Main,Condition Score,OVERSIZED,CLEANED,Shape__Length
16800,ACTIVE,KIT 4,6634,TREATED,200,CI,NO,NONE,1961-01-01,PURCHASED,KITCHENER,N,7,2,21,N,N,4.95,N,N,107.29700080833
82694,ACTIVE,KIT 4,6634,TREATED,200,CI,NO,NONE,1961-01-01,PURCHASED,KITCHENER,N,8,2,21,N,N,7.75,N,N,1.80619290713966
2840,ACTIVE,KIT 4,10491,TREATED,150,CI,NO,NONE,1947-01-01,DONATED,KITCHENER,N,6,2,39,N,N,6.9,N,Y,253.70651059339
36120,ACTIVE,KIT 4,10116,TREATED,250,CI,NO,NONE,1954-01-01,DONATED,KITCHENER,N,6,4,0,N,N,7.75,N,Y,64.7341334511691
82696,ACTIVE,KIT 4,9925,TREATED,250,CI,NO,NONE,1954-01-01,DONATED,KITCHENER,N,6,4,7,N,N,7.75,N,Y,2.12973977746552
28620,ACTIVE,KIT 4,15102,TREATED,200,DI,NO,NONE,1985-06-01,DONATED,KITCHENER,N,7,4,29,N,N,9.1,N,Y,129.665151691818
82698,ACTIVE,KIT 4,15111,TREATED,200,DI,NO,NONE,1985-06-01,DONATED,KITCHENER,N,0,4,29,N,N,9.1,N,Y,2.17432128379444
82700,ACTIVE,KIT 4,15102,TREATED,200,DI,NO,NONE,1985-06-01,DONATED,KITCHENER,N,6,4,29,N,N,9.1,N,Y,9.63525037902514
82702,ACTIVE,KIT 5,25688,TREATED,200,PVC,NO,NONE,1996-08-01,DONATED,KITCHENER,N,6,6,21,N,N,9.35,N,N,7.76887197015691
82704,ACTIVE,KIT 5,25688,TREATED,200,PVC,NO,NONE,1996-08-01,DONATED,KITCHENER,N,6,6,21,N,N,9.35,N,N,10.4535992723098
58230,ACTIVE,KIT 5,25688,TREATED,200,PVC,NO,NONE,1996-08-01,DONATED,KITCHENER,N,6,6,21,N,N,9.35,N,N,154.143452741921
82706,ACTIVE,KIT 5,25688,TREATED,200,PVC,NO,NONE,1996-08-01,DONATED,KITCHENER,N,6,6,21,N,N,9.35,N,N,184.732196869416
76140,ACTIVE,KIT 4,6674,TREATED,300,PVC,NO,NONE,2008-09-01,PURCHASED,KITCHENER,N,8,2,31,N,N,9.35,N,Y,104.526142285064
82710,ACTIVE,KIT 5,5602,TREATED,200,DI,NO,NONE,1971-01-01,DONATED,KITCHENER,N,6,6,19,N,N,8.5,N,Y,11.8888044948749
60970,ACTIVE,KIT 5,6174,TREATED,200,DI,NO,NONE,1971-01-01,DONATED,KITCHENER,N,7,6,19,N,N,8.5,N,Y,47.4297325473115
82712,ACTIVE,KIT 4,21813,TREATED,300,DI,NO,NONE,1974-01-01,PURCHASED,KITCHENER,N,7,3,14,N,N,8.5,N,N,12.4897764592648
82714,ACTIVE,KIT 4,21808,TREATED,300,DI,NO,NONE,1974-01-01,PURCHASED,KITCHENER,N,7,3,14,N,N,8.5,N,N,87.4583971894231
1660,ACTIVE,KIT 4,21815,TREATED,300,DI,NO,NONE,1974-01-01,PURCHASED,KITCHENER,N,7,3,14,N,N,8.5,N,N,181.442897599038
82716,ACTIVE,KIT 2W,600235,TREATED,200,PVC,NO,NONE,2002-06-01,DONATED,KITCHENER,N,6,5,36,N,N,9.35,N,N,7.13402762186715
82718,ACTIVE,KIT 2W,600235,TREATED,200,PVC,NO,NONE,2002-06-01,DONATED,KITCHENER,N,6,5,36,N,N,9.35,N,N,10.7446876406917
68410,ACTIVE,KIT 2W,600235,TREATED,200,PVC,NO,NONE,2002-06-01,DONATED,KITCHENER,N,6,5,36,N,N,9.35,N,N,169.42474871988
82720,ACTIVE,KIT 4,6430,TREATED,150,PVC,NO,NONE,2005-10-01,PURCHASED,KITCHENER,N,6,1,15,N,N,9.35,N,Y,77.4987542996756
72670,ACTIVE,KIT 4,6430,TREATED,150,PVC,NO,NONE,2005-10-01,PURCHASED,KITCHENER,N,5,1,15,N,N,9.35,N,Y,94.7711868173078
82722,ACTIVE,KIT 4,6430,TREATED,150,PVC,NO,NONE,2005-10-01,PURCHASED,KITCHENER,N,5,1,15,N,N,9.35,N,Y,9.10125571813034
82724,ACTIVE,KIT 4,8937,TREATED,300,DI,NO,NONE,1975-08-01,DONATED,KITCHENER,N,8,2,24,N,N,4.58,N,N,5.28767593580842
40520,ACTIVE,KIT 4,8937,TREATED,300,DI,NO,NONE,1975-08-01,DONATED,KITCHENER,N,7,2,22,N,N,5.7,N,N,55.5587384916284
82726,ACTIVE,KIT 4,8920,TREATED,300,DI,NO,NONE,1975-08-01,DONATED,KITCHENER,N,7,2,22,N,N,8.5,N,N,15.4823738952461
82728,ACTIVE,KIT 4,8937,TREATED,300,DI,NO,NONE,1975-08-01,DONATED,KITCHENER,N,0,2,22,N,N,8.5,N,N,1.50450417093058
82730,ACTIVE,KIT 4,8920,TREATED,300,DI,NO,NONE,1975-08-01,DONATED,KITCHENER,N,7,2,22,N,N,8.5,N,N,38.5886558925303
76420,ACTIVE,KIT 4,11103,TREATED,150,PVC,NO,NONE,2009-11-27,DONATED,KITCHENER,N,6,2,32,N,N,7.75,N,Y,132.72720645393
82732,ACTIVE,KIT 4,11103,TREATED,150,PVC,NO,NONE,2009-11-27,DONATED,KITCHENER,N,6,2,32,N,N,9.35,N,Y,10.5486692999778
76442,ACTIVE,KIT 4,40038,TREATED,150,CI,NO,NONE,1950-01-01,DONATED,KITCHENER,N,5,2,9,N,N,7.75,N,Y,128.120402032481
82734,ACTIVE,KIT 4,6475,TREATED,300,PVC,NO,NONE,2003-06-01,PURCHASED,KITCHENER,N,6,2,24,N,N,9.35,N,Y,8.35456019593447
82736,ACTIVE,KIT 4,6492,TREATED,300,PVC,NO,NONE,2003-06-01,PURCHASED,KITCHENER,N,0,2,24,N,N,9.35,N,Y,5.0878996035105
