ASSET_ID,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,MATERIAL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,DATE_OF_CONSTRUCTION,SERVICE_STATUS,PIPE_AGE
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,1.53,600,CLAY,1/1/1966 12:00:00 AM,1966-01-01,IN,60.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSEL,171.3,900,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSEL,460.84,900,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSEL,12.47,900,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M010,SIPHBG,T,MAROONDAH,MS,217.56,1350,CLAY,1/1/1928 12:00:00 AM,1889-01-01,IN,137.0
A005,AQDUCT,T,MAROONDAH,CONC,841.45,0,CLAY,,1891-01-01,IN,135.0
M010,TUNNEL,T,MAROONDAH,CONC,592.72,0,CLAY,,1889-01-01,IN,137.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,658.49,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,6.93,600,CLAY,1/1/1969 12:00:00 AM,1969-01-01,IN,57.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,1.46,150,CRK,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSEL,174.44,900,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,105.87,600,CLAY,1/1/1961 12:00:00 AM,1960-07-01,IN,66.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,2.87,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,125.75,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,1.32,900,CLAY,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,1.13,825,CLAY,1/1/1966 12:00:00 AM,1966-01-01,IN,60.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,2.1,375,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,3.99,225,CRK,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,2.79,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,22.2,900,CLAY,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSEL,850.44,900,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,1.11,900,CRK,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,1.0,825,CLAY,1/1/1966 12:00:00 AM,1966-01-01,IN,60.0
M192,MAINBG,T,EPPING-GREENVALE MAIN,MS,0.983,800,CRK,2/1/2010 12:00:00 AM,2010-02-01,IN,16.0
M192,MAINBG,T,EPPING-GREENVALE MAIN,MS,0.505,800,CRK,2/1/2010 12:00:00 AM,2010-02-01,IN,16.0
M192,MAINBG,T,EPPING-GREENVALE MAIN,MS,0.83,600,CRK,2/1/2010 12:00:00 AM,2010-02-01,IN,16.0
M192,MAINBG,T,EPPING-GREENVALE MAIN,MS,0.518,600,CRK,2/1/2010 12:00:00 AM,2010-02-01,IN,16.0
M192,MAINBG,T,EPPING-GREENVALE MAIN,MS,0.742,500,CRK,2/1/2010 12:00:00 AM,2010-02-01,IN,16.0
M192,MAINBG,T,EPPING-GREENVALE MAIN,MS,3.334,800,CRK,1/1/1989 12:00:00 AM,1989-01-01,IN,37.0
M192,MAINBG,T,EPPING-GREENVALE MAIN,MS,1.706,500,CRK,2/1/2010 12:00:00 AM,2010-02-01,IN,16.0
M192,MAINBG,T,EPPING-GREENVALE MAIN,MS,0.642,800,CRK,2/1/2010 12:00:00 AM,2010-02-01,IN,16.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,5.91,900,CRK,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,715.41,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
