X,Y,Break_Date,Address,Pipe_Size_inch,Leak_Type,Pipe_ID,Detected,Install_Year,Break_Year,Age_at_Break,Age_Squared,Leak_Type_Clean
497435.864301091,5062196.88539768,2009-06-19,3125 AUGUSTA,8.0,Corrosion,4115.0,No,1995,2009,14,196,Corrosion
497503.397997154,5062128.02550161,2010-06-16,3113 AUGUSTA,8.0,Corrosion,4116.0,No,1995,2010,15,225,Corrosion
498418.691198006,5060801.02170038,2008-08-26,2150 STORY MILL,18.0,Leaking Joint,4161.0,No,1985,2008,23,529,Joint
497962.784197582,5059128.60580282,2008-10-02,MAIN IN FRONT OF 716 E PEACH.,6.0,Leaking Joint,4210.0,No,1985,2008,23,529,Joint
498423.43990201,5056171.72460007,2012-12-10,1133 N SPRUCE,6.0,Full Circle Break,4846.0,No,1959,2012,53,2809,Circumferential
495466.313203257,5058681.1592024,2009-06-19,1601 W. MAIN   (CVS PHARMACY),8.0,Longitudinal Break,5004.0,No,1996,2009,13,169,Longitudinal
493024.506200982,5058629.17749836,2014-06-03,107 &106 S. Teton,6.0,Blow-out,5202.0,No,1980,2014,34,1156,Blowout
493031.354096989,5059076.45029877,2013-08-15,511 Teton,6.0,Corrosion,5235.0,No,1980,2013,33,1089,Corrosion
496804.526596502,5056345.56260023,2013-12-31,Willson & Kagy,6.0,Full Circle Break,5758.0,No,1963,2013,50,2500,Circumferential
497222.468700892,5057191.27649702,2010-08-25,"S. BLACK  CUL-DE-SAC 24"" TEE BREAK",24.0,Corrosion,2384.0,No,1918,2010,92,8464,Corrosion
494683.133498527,5062910.09570234,2008-06-03,Springhill & Frontage,6.0,Leaking Joint,8235.0,No,2001,2008,7,49,Joint
497643.999501284,5058661.93929839,2011-12-29,CHURCH&LAMME,4.0,Leaking Joint,8853.0,Yes,1941,2011,70,4900,Joint
498204.361997806,5058094.46460186,2009-09-28,CYPRESS & CURTISS - NORTH OF 216 CYPRESS,4.0,Longitudinal Break,7124.0,No,1955,2009,54,2916,Longitudinal
498164.770997769,5058429.69660217,2014-05-08,East Main,6.0,Tap Failure,10064.0,No,1929,2014,85,7225,Tap
497827.799997455,5054801.40799879,2008-09-18,3680 STONEYBROOK LN,18.0,Leaking Joint,2991.0,No,1918,2008,90,8100,Joint
496462.569100184,5057345.11860116,2013-02-20,SOUTH 6TH & WEST  HARRISON ST,8.0,Full Circle Break,6339.0,No,1924,2013,89,7921,Circumferential
