Station Name,Station access,Staffed,Escalators,Lift,Independent boarding,Shelter,Low platform,Tactile edges,Hearing Loop,Info screens,Path Widths,Toilet,Parking,Pick up / Drop off
Mooroolbark Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Croydon Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ringwood East Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Ringwood Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Heatherdale Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Mitcham Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Nunawading Station,Yes,Yes,No,Yes,Yes,In Part,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Blackburn Station,Yes,Yes,No,Yes,No,In Part,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes
Laburnum Station,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
Box Hill Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,No,Yes,No,Yes,Yes,No
Union Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Chatham Station,Yes,No,No,No,No,No,In Part,In Part,No,No,No,No,No,No
Canterbury Station,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
East Camberwell Station,Yes,No,No,No,No,No,No,In Part,No,No,No,No,Yes,No
Camberwell Station,Yes,Yes,No,No,In Part,In Part,No,Yes,No,Yes,No,Yes,Yes,Yes
Auburn Station,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes
Glenferrie Station,Yes,Yes,No,No,No,In Part,No,Yes,No,Yes,No,Yes,No,No
Hawthorn Station,Yes,No,No,No,No,In Part,In Part,Yes,No,Yes,No,No,Yes,Yes
