Sale_Year,Small_Area,Type,Median_Price,Transaction_Count
2009,Southbank,Residential Apartment,518800,1121
2009,West Melbourne (Residential),Residential Apartment,460000,108
2010,Carlton,Residential Apartment,430000,274
2010,East Melbourne,House/Townhouse,1575000,39
2010,Melbourne (Remainder),Residential Apartment,588000,68
2010,Parkville,House/Townhouse,1012500,32
2010,South Yarra,House/Townhouse,1890750,34
2010,South Yarra,Residential Apartment,480000,115
2010,West Melbourne (Residential),House/Townhouse,694000,50
2010,West Melbourne (Residential),Residential Apartment,502500,164
2011,Melbourne (CBD),House/Townhouse,,3
2011,North Melbourne,Residential Apartment,438000,208
2011,South Yarra,House/Townhouse,932500,32
2011,Southbank,House/Townhouse,,1
2011,West Melbourne (Residential),House/Townhouse,1032500,27
2012,East Melbourne,Residential Apartment,524000,148
2012,North Melbourne,Residential Apartment,431500,226
2012,West Melbourne (Residential),House/Townhouse,607500,42
2012,West Melbourne (Residential),Residential Apartment,419000,319
2013,Carlton,Residential Apartment,460500,534
2013,Docklands,House/Townhouse,,4
2013,Parkville,House/Townhouse,1012000,33
2013,Parkville,Residential Apartment,0,353
2013,Southbank,House/Townhouse,,3
2014,Carlton,House/Townhouse,876000,68
2014,Parkville,House/Townhouse,0,86
2014,Parkville,Residential Apartment,0,162
2014,Southbank,Residential Apartment,530000,995
2014,NA,Residential Apartment,501000,83
2015,Melbourne (CBD),House/Townhouse,,1
2015,Melbourne (CBD),Residential Apartment,479000,1559
2015,Southbank,House/Townhouse,,3
2015,NA,House/Townhouse,1825000,11
2016,East Melbourne,House/Townhouse,1940000,35
2016,East Melbourne,Residential Apartment,650000,129
2016,Melbourne (CBD),House/Townhouse,,2
2016,Melbourne (CBD),Residential Apartment,435000,1264
2016,North Melbourne,Residential Apartment,515000,231
2016,Parkville,House/Townhouse,1761250,32
2016,Parkville,Residential Apartment,500000,63
2016,South Yarra,House/Townhouse,2135000,34
2016,Southbank,Residential Apartment,565000,701
