date,Year,Month,day of week,Rainfall_amount_(millimetres)
19/02/2016,2016,Feb,Friday,0.2
20/02/2016,2016,Feb,Saturday,0
21/02/2016,2016,Feb,Sunday,0
22/02/2016,2016,Feb,Monday,0
23/02/2016,2016,Feb,Tuesday,0
24/02/2016,2016,Feb,Wednesday,0
25/02/2016,2016,Feb,Thursday,0.4
26/02/2016,2016,Feb,Friday,0
27/02/2016,2016,Feb,Saturday,0
28/02/2016,2016,Feb,Sunday,0
29/02/2016,2016,Feb,Monday,0
1/03/2016,2016,Mar,Tuesday,0
2/03/2016,2016,Mar,Wednesday,0
3/03/2016,2016,Mar,Thursday,0.2
4/03/2016,2016,Mar,Friday,0.2
5/03/2016,2016,Mar,Saturday,1.2
6/03/2016,2016,Mar,Sunday,0
7/03/2016,2016,Mar,Monday,3.2
8/03/2016,2016,Mar,Tuesday,0.6
9/03/2016,2016,Mar,Wednesday,0
10/03/2016,2016,Mar,Thursday,0.6
11/03/2016,2016,Mar,Friday,8.4
12/03/2016,2016,Mar,Saturday,0.2
13/03/2016,2016,Mar,Sunday,0
14/03/2016,2016,Mar,Monday,0
15/03/2016,2016,Mar,Tuesday,0
16/03/2016,2016,Mar,Wednesday,0
17/03/2016,2016,Mar,Thursday,0
18/03/2016,2016,Mar,Friday,13.4
19/03/2016,2016,Mar,Saturday,5.8
20/03/2016,2016,Mar,Sunday,0.2
21/03/2016,2016,Mar,Monday,0
22/03/2016,2016,Mar,Tuesday,0
23/03/2016,2016,Mar,Wednesday,0
24/03/2016,2016,Mar,Thursday,0
25/03/2016,2016,Mar,Friday,0
26/03/2016,2016,Mar,Saturday,0.4
27/03/2016,2016,Mar,Sunday,1
28/03/2016,2016,Mar,Monday,0.2
29/03/2016,2016,Mar,Tuesday,0
30/03/2016,2016,Mar,Wednesday,0
31/03/2016,2016,Mar,Thursday,0
1/04/2016,2016,Apr,Friday,0
2/04/2016,2016,Apr,Saturday,0
3/04/2016,2016,Apr,Sunday,0
4/04/2016,2016,Apr,Monday,0
5/04/2016,2016,Apr,Tuesday,0
6/04/2016,2016,Apr,Wednesday,12.8
7/04/2016,2016,Apr,Thursday,6.8
8/04/2016,2016,Apr,Friday,0
9/04/2016,2016,Apr,Saturday,0
10/04/2016,2016,Apr,Sunday,0
11/04/2016,2016,Apr,Monday,0
12/04/2016,2016,Apr,Tuesday,0.2
13/04/2016,2016,Apr,Wednesday,0.2
14/04/2016,2016,Apr,Thursday,0
15/04/2016,2016,Apr,Friday,0
16/04/2016,2016,Apr,Saturday,0
17/04/2016,2016,Apr,Sunday,0
18/04/2016,2016,Apr,Monday,0
19/04/2016,2016,Apr,Tuesday,0
20/04/2016,2016,Apr,Wednesday,0
21/04/2016,2016,Apr,Thursday,0.4
22/04/2016,2016,Apr,Friday,21.6
23/04/2016,2016,Apr,Saturday,0
24/04/2016,2016,Apr,Sunday,0
25/04/2016,2016,Apr,Monday,0
26/04/2016,2016,Apr,Tuesday,0
27/04/2016,2016,Apr,Wednesday,0
28/04/2016,2016,Apr,Thursday,0
29/04/2016,2016,Apr,Friday,0.4
30/04/2016,2016,Apr,Saturday,6.2
1/05/2016,2016,May,Sunday,9.8
