OBJECTID,Wat Break Incident ID,Incident date,Type of Asset Broken,Does the road need to be closed?,Does the sidewalk need to be closed?,Estimated Hours for Repair,Estimated Number of Units Impacted,CW Service Request Number,Current status of the break,Status last updated date,CW Workorder #,Date operations was returned to normal service,Nature of Break,Apparent cause of break,Repair Type,Type of Planned Maintenance,List Valves Closed,List Valves Opened,List Hydrants Called Out,List Hydrants Called Back In,Categorization of the Break,Road Segment ID,Closest Civic Number,Street,Related Asset ID,Related Asset Depth (m),Depth of Frost (m),Asset Size (cm),Year Asset Installed,Asset Material,Asset Exists,GLOBALID,UPDATE_BY,UPDATE_DATE,x,y
9853,2261,2/23/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,179493,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,8718,39,INWOOD CRES,20410,,,150,1966,DI,Y,8b55ddf3-c4df-4f21-8e09-1355f6ae499f,DAVIDV,11/27/2018 12:00:00 AM,538408.739,4810549.2759
9854,2262,3/7/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,180338,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,603851,146,CORNELL AVE,8060,,,150,1958,CI,Y,27d6b818-b6d4-4ca4-a6a2-5be4345e0d35,DAVIDV,11/27/2018 12:00:00 AM,543363.8474,4808988.1448
9855,2263,3/8/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,180485,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,22083,616,MILL PARK DR,26580,,,150,1961,CI,Y,03e35ce9-bde9-48f0-9953-89fd8df9add9,DAVIDV,11/27/2018 12:00:00 AM,547124.4198,4804504.6771
9856,2264,3/25/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,181591,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,9547,35,BOSWORTH CRES,82894,,,150,1974,CI,Y,d14c6523-539b-4048-9909-1c788c0b375e,DAVIDV,11/27/2018 12:00:00 AM,540640.5261,4806794.6141
9857,2265,3/25/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,181590,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,22896,55,DALEWOOD DR,153116,,,150,1966,CI,Y,836d845a-fabf-412d-b2b6-af6d61ac2f32,DAVIDV,11/27/2018 12:00:00 AM,544278.8935,4810400.939
9858,2266,4/5/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,182337,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,12589,14,SPRINGDALE DR,35640,,,150,1968,CI,Y,8c8d2a69-8498-4135-b1cb-355b48515f59,DAVIDV,11/27/2018 12:00:00 AM,541024.3905,4813952.7184
9859,2267,3/29/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,181941,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,1260,525,BELMONT AVE W,15840,,,300,1969,CI,Y,776011be-91fa-4f7c-830c-4279734754c6,DAVIDV,11/27/2018 12:00:00 AM,539310.5449,4810619.9064
9860,2268,5/6/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/30/2017 12:00:00 AM,184636,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,15755,530,EPHRAIM ST,84242,,,150,1952,CI,Y,01c7761d-02f4-48ab-9744-d689b91eb30c,DAVIDV,11/27/2018 12:00:00 AM,543269.6743,4812258.3319
9861,2269,5/24/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/30/2017 12:00:00 AM,185882,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,1230,346,KARN ST,20860,,,150,1968,DI,Y,2e8893e3-4b11-4ffa-897b-c2c652f1d191,DAVIDV,11/27/2018 12:00:00 AM,539166.137,4810261.0624
9862,2270,5/26/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/30/2017 12:00:00 AM,186080,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,1230,350,KARN ST,20860,,,150,1968,DI,Y,40279eda-bc71-4691-b1d1-f00ef4242240,DAVIDV,11/27/2018 12:00:00 AM,539154.8314,4810255.4174
