geo_point_2d,geo_shape,prop_id,addresspt1,xorg,ext_id,label,easting,northing,str_id,addresspt,xsource,profile,xdate,xdrawing,mcc_id,roadseg_id,Latitude,Longitude
"-37.82239799951258, 144.9381259997675","{""coordinates"": [144.9381259997675, -37.82239799951258], ""type"": ""Point""}",0,0.0,ESG,30327,0.196,0.0,0.0,0,0,,,20140916,,0,0,-37.82239799951258,144.9381259997675
"-37.82230000016029, 144.9388580001017","{""coordinates"": [144.9388580001017, -37.82230000016029], ""type"": ""Point""}",0,0.0,ESG,30435,13.294,0.0,0.0,0,0,,,20140916,,0,0,-37.82230000016029,144.9388580001017
"-37.82230699954983, 144.93885799963448","{""coordinates"": [144.93885799963448, -37.82230699954983], ""type"": ""Point""}",0,0.0,ESG,30439,12.219,0.0,0.0,0,0,,,20140916,,0,0,-37.82230699954983,144.93885799963448
"-37.82236099954937, 144.93885800027985","{""coordinates"": [144.93885800027985, -37.82236099954937], ""type"": ""Point""}",0,0.0,ESG,30481,3.324,0.0,0.0,0,0,,,20140916,,0,0,-37.82236099954937,144.93885800027985
"-37.822365999646436, 144.93885200019622","{""coordinates"": [144.93885200019622, -37.822365999646436], ""type"": ""Point""}",0,0.0,ESG,30486,3.226,0.0,0.0,0,0,,,20140916,,0,0,-37.82236599964643,144.93885200019622
"-37.821835999850805, 144.93686900021024","{""coordinates"": [144.93686900021024, -37.821835999850805], ""type"": ""Point""}",0,0.0,ESG,29930,19.159,0.0,0.0,0,0,,,20140916,,0,0,-37.821835999850805,144.93686900021024
"-37.83837100021644, 144.9804030005136","{""coordinates"": [144.9804030005136, -37.83837100021644], ""type"": ""Point""}",0,0.0,ESG,32653,0.587,0.0,0.0,0,0,,,20140916,,0,0,-37.83837100021644,144.9804030005136
"-37.821486000315815, 144.95649700022372","{""coordinates"": [144.95649700022372, -37.821486000315815], ""type"": ""Point""}",0,0.0,ESG,31160,31.867,0.0,0.0,0,0,,,20140916,,0,0,-37.821486000315815,144.95649700022372
"-37.82242000030396, 144.9388349995541","{""coordinates"": [144.9388349995541, -37.82242000030396], ""type"": ""Point""}",0,0.0,ESG,30535,18.377,0.0,0.0,0,0,,,20140916,,0,0,-37.82242000030396,144.9388349995541
"-37.82244900001934, 144.93882800000992","{""coordinates"": [144.93882800000992, -37.82244900001934], ""type"": ""Point""}",0,0.0,ESG,30564,10.85,0.0,0.0,0,0,,,20140916,,0,0,-37.82244900001934,144.93882800000992
"-37.821201000112254, 144.95751300018424","{""coordinates"": [144.95751300018424, -37.821201000112254], ""type"": ""Point""}",0,0.0,ESG,30761,11.926,0.0,0.0,0,0,,,20140916,,0,0,-37.821201000112254,144.95751300018424
"-37.83781399957586, 144.97966400015736","{""coordinates"": [144.97966400015736, -37.83781399957586], ""type"": ""Point""}",0,0.0,ESG,32466,3.812,0.0,0.0,0,0,,,20140916,,0,0,-37.83781399957586,144.97966400015736
"-37.81399200022812, 144.98030099951274","{""coordinates"": [144.98030099951274, -37.81399200022812], ""type"": ""Point""}",0,0.0,ESG,34599,7.331,0.0,0.0,0,0,,,20140916,,0,0,-37.81399200022812,144.98030099951274
"-37.81486699987534, 144.98014800030535","{""coordinates"": [144.98014800030535, -37.81486699987534], ""type"": ""Point""}",0,0.0,ESG,34321,8.7,0.0,0.0,0,0,,,20140916,,0,0,-37.81486699987534,144.98014800030535
"-37.81263699963947, 144.9805300005553","{""coordinates"": [144.9805300005553, -37.81263699963947], ""type"": ""Point""}",0,0.0,ESG,35056,3.324,0.0,0.0,0,0,,,20140916,,0,0,-37.81263699963947,144.9805300005553
"-37.81188200038133, 144.98062800057482","{""coordinates"": [144.98062800057482, -37.81188200038133], ""type"": ""Point""}",0,0.0,ESG,35292,4.79,0.0,0.0,0,0,,,20140916,,0,0,-37.81188200038133,144.98062800057482
"-37.81234099986295, 144.98054499990522","{""coordinates"": [144.98054499990522, -37.81234099986295], ""type"": ""Point""}",0,0.0,ESG,35151,5.67,0.0,0.0,0,0,,,20140916,,0,0,-37.81234099986295,144.98054499990522
"-37.81212599977572, 144.98059100053715","{""coordinates"": [144.98059100053715, -37.81212599977572], ""type"": ""Point""}",0,0.0,ESG,35213,1.369,0.0,0.0,0,0,,,20140916,,0,0,-37.81212599977572,144.98059100053715
"-37.81202200002952, 144.98061900052002","{""coordinates"": [144.98061900052002, -37.81202200002952], ""type"": ""Point""}",0,0.0,ESG,35248,1.369,0.0,0.0,0,0,,,20140916,,0,0,-37.81202200002952,144.98061900052002
"-37.81137399996803, 144.98074099973394","{""coordinates"": [144.98074099973394, -37.81137399996803], ""type"": ""Point""}",0,0.0,ESG,35442,2.444,0.0,0.0,0,0,,,20140916,,0,0,-37.81137399996803,144.98074099973394
"-37.81950299964702, 144.94914500040716","{""coordinates"": [144.94914500040716, -37.81950299964702], ""type"": ""Point""}",0,0.0,ESG,34002,67.937,0.0,0.0,0,0,,,20140916,,0,0,-37.81950299964702,144.94914500040716
"-37.81956499969982, 144.94915800033564","{""coordinates"": [144.94915800033564, -37.81956499969982], ""type"": ""Point""}",0,0.0,ESG,34029,37.83,0.0,0.0,0,0,,,20140916,,0,0,-37.81956499969982,144.94915800033564
"-37.81561599955678, 144.9800349997392","{""coordinates"": [144.9800349997392, -37.81561599955678], ""type"": ""Point""}",0,0.0,ESG,34040,8.211,0.0,0.0,0,0,,,20140916,,0,0,-37.81561599955678,144.9800349997392
"-37.81177899953783, 144.97882100009323","{""coordinates"": [144.97882100009323, -37.81177899953783], ""type"": ""Point""}",0,0.0,ESG,37272,35.191,0.0,0.0,0,0,,,20140916,,0,0,-37.81177899953783,144.97882100009323
"-37.811898999774186, 144.9789339996595","{""coordinates"": [144.9789339996595, -37.811898999774186], ""type"": ""Point""}",0,0.0,ESG,37319,2.444,0.0,0.0,0,0,,,20140916,,0,0,-37.811898999774186,144.9789339996595
"-37.81129500016178, 144.9795339995052","{""coordinates"": [144.9795339995052, -37.81129500016178], ""type"": ""Point""}",0,0.0,ESG,36681,26.393,0.0,0.0,0,0,,,20140916,,0,0,-37.81129500016178,144.9795339995052
"-37.81128199984021, 144.97946200019683","{""coordinates"": [144.97946200019683, -37.81128199984021], ""type"": ""Point""}",0,0.0,ESG,36697,5.474,0.0,0.0,0,0,,,20140916,,0,0,-37.81128199984021,144.97946200019683
"-37.81117200007679, 144.97855299970735","{""coordinates"": [144.97855299970735, -37.81117200007679], ""type"": ""Point""}",0,0.0,ESG,36947,2.151,0.0,0.0,0,0,,,20140916,,0,0,-37.81117200007679,144.97855299970735
"-37.81117600034066, 144.97853100061988","{""coordinates"": [144.97853100061988, -37.81117600034066], ""type"": ""Point""}",0,0.0,ESG,36998,1.564,0.0,0.0,0,0,,,20140916,,0,0,-37.81117600034066,144.97853100061988
"-37.81346800021632, 144.9804230001013","{""coordinates"": [144.9804230001013, -37.81346800021632], ""type"": ""Point""}",0,0.0,ESG,34794,1.369,0.0,0.0,0,0,,,20140916,,0,0,-37.81346800021632,144.9804230001013
"-37.811643999829556, 144.98268500034501","{""coordinates"": [144.98268500034501, -37.811643999829556], ""type"": ""Point""}",0,0.0,ESG,35885,6.549,0.0,0.0,0,0,,,20140916,,0,0,-37.81164399982955,144.982685000345
"-37.81163300028623, 144.98261900005343","{""coordinates"": [144.98261900005343, -37.81163300028623], ""type"": ""Point""}",0,0.0,ESG,35903,3.128,0.0,0.0,0,0,,,20140916,,0,0,-37.81163300028623,144.98261900005343
"-37.81251899989412, 144.9794919999263","{""coordinates"": [144.9794919999263, -37.81251899989412], ""type"": ""Point""}",0,0.0,ESG,37508,1.173,0.0,0.0,0,0,,,20140916,,0,0,-37.81251899989412,144.9794919999263
"-37.81252699992381, 144.97949900061587","{""coordinates"": [144.97949900061587, -37.81252699992381], ""type"": ""Point""}",0,0.0,ESG,37510,0.978,0.0,0.0,0,0,,,20140916,,0,0,-37.81252699992381,144.97949900061587
"-37.81165800034584, 144.9827619997867","{""coordinates"": [144.9827619997867, -37.81165800034584], ""type"": ""Point""}",0,0.0,ESG,35856,9.971,0.0,0.0,0,0,,,20140916,,0,0,-37.81165800034584,144.9827619997867
"-37.81144199952958, 144.98071499996146","{""coordinates"": [144.98071499996146, -37.81144199952958], ""type"": ""Point""}",0,0.0,ESG,36403,5.767,0.0,0.0,0,0,,,20140916,,0,0,-37.81144199952958,144.98071499996146
"-37.811557999670235, 144.98187299985793","{""coordinates"": [144.98187299985793, -37.811557999670235], ""type"": ""Point""}",0,0.0,ESG,36092,0.293,0.0,0.0,0,0,,,20140916,,0,0,-37.811557999670235,144.98187299985793
"-37.81158100008332, 144.98220799963366","{""coordinates"": [144.98220799963366, -37.81158100008332], ""type"": ""Point""}",0,0.0,ESG,36000,2.053,0.0,0.0,0,0,,,20140916,,0,0,-37.81158100008332,144.98220799963366
"-37.81320000013778, 144.98040799937078","{""coordinates"": [144.98040799937078, -37.81320000013778], ""type"": ""Point""}",0,0.0,ESG,34883,14.272,0.0,0.0,0,0,,,20140916,,0,0,-37.81320000013778,144.98040799937078
