OBJECTID,MXUNITID,MXSITEID,COMPKEY,COMPTYPE,UNITID,UNITID2,PARALLEL_LINE_NBR,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,ASSET_ID,SUBAREA,Shape,MATERIAL,UPSTREAM_IL,DOWNSTREAM_IL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,GIS_ID,FIELD_TEAM,WS_CONSTRUCTION_FILE,DATE_OF_CONSTRUCTION,EPMS_SEC_NO,ASCONST_PLAN_NO,SKETCH_PLAN_NO,SOURCE,METHOD_OF_CAPTURE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS,MI_PRINX
528,,,228219,10269198,WR020V-TY,WR020V-TX,,BYPASS,S,PRESTON NO1 RESERVOIR,R020,,,,0,0,7.81,225,,,R020-109,PRESTON,,1/1/1979 12:00:00 AM,,R20/201,WR20,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:33 AM,IN,,,,28674
529,,,229983,10272887,WR043-00170BR,WR043-00520BR,,INLET,S,COWIES HILL RESERVOIR,R043,,,MS,0,0,3.25,825,,,R043-033,PRESTON,508/043/5003,1/1/1980 12:00:00 AM,,R43/93-111,WR43,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:33 AM,IN,,,,29043
530,,,230037,10272995,WR064-00840BR,WR064V-W,,INLET,S,SYDENHAM RESERVOIR,R064,,,MS,0,0,8.06,600,,,R064-011,PRESTON,,1/1/1980 12:00:00 AM,,R64/38-40,WR64,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:34 AM,IN,,,,29205
531,,,228398,10215925,M420-25773BR,M420SA-25773V,,CONN,S,TARAGO - WESTERN PORT MAIN,M420,,,MSCL,0,0,2.1,300,SAND,1/1/1979 12:00:00 AM,M420-039-A,WESTERNPORT,520/420/0017,8/1/1975 12:00:00 AM,,M420/114224C,M420-15,,,10/17/2011 2:54:11 PM,12/6/2014 1:21:35 AM,IN,,,,18831
532,,,230234,10254436,WT074-MS-TAN,WZ010V-ZA,,MAINAG,S,SILVAN RES MINI HYDRO,Z010,,,MSCL,0,0,33.72,1800,CRK,,,SILVAN,,7/28/2009 12:00:00 AM,,WZ010/C/002,,AS CONSTRUCTED,DIGITISED,10/12/2012 12:00:00 AM,12/6/2014 1:21:36 AM,IN,,,,24225
533,,,228606,10216863,WB088V-EL,WB088-00130BR,,CROSS,S,DANDENONG RES PRV,B088,,,MS,0,0,5.19,225,UNKN,,B088-016,SURREY HILLS,,1/1/1986 12:00:00 AM,,B88/31,WB88,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:37 AM,IN,,,,27835
534,,,235287,10039480,M468-01419BR,WR139V-AE,,MAINBG,T,JOHNS HILL INLET MAIN,M468,,,MS,385.61,385.61,0.67,450,,1/1/1994 12:00:00 AM,M468-010,SILVAN,,6/1/1998 12:00:00 AM,,,M468,,,4/4/2001 12:00:00 AM,12/6/2014 1:21:38 AM,IN,,,,31121
535,,,234037,10251386,M484-62402BR,M484-63497BR,,MAINBG,T,YEA - SUGARLOAF MAIN,M484,,,MS,0,0,1093.99,1350,,,,MAROONDAH,,2/1/2010 12:00:00 AM,,M484/C/153,M484-6,AS CONSTRUCTED,COORDINATES,6/30/2011 12:00:00 AM,12/6/2014 2:39:27 AM,IN,,,NEW,23281
536,,,234099,10272304,WR006-01100BR,WR006-00910BR,,MAINBG,S,ESSENDON NORTH RESERVOIR,R006,,,MS,0,0,1.77,1150,,,R006-125-1,PRESTON,,1/1/1980 12:00:00 AM,,R6/64,WR006,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 2:39:28 AM,IN,,,,29387
537,,,234251,10272600,WR026-01360RED,WR026V-S,,MAINBG,T,SURRY HILLS NO2 RESERVOIR,R026,,,CI,0,0,1.04,900,,,,SURREY HILLS,,1/1/1980 12:00:00 AM,,M46/37,WR26,GRAPHICS,DIGITISED,7/29/2013 12:00:00 AM,12/6/2014 2:39:29 AM,IN,,,,30920
538,,,227440,10217538,WR025V-CF,WR025V-CG,,BYPASS,S,MITCHAM-SURREY HILLS MAIN,M046,,,MSCL,0,0,5.95,225,CLAY,1/1/1912 12:00:00 AM,M046-048-AB,SURREY HILLS,520/046/0028,1/1/1912 12:00:00 AM,,M14/69,WR25,,,10/17/2011 2:43:46 PM,12/6/2014 2:39:37 AM,IN,,,,14387
539,,,227604,10215587,M375-00004BR,WG006V-AL,,BYPASS,S,CARDINIA - HALLAM NO 2 MAIN,M375,,,MSCL,105.76,105.76,1.24,225,UNKN,1/1/1988 12:00:00 AM,M375-001-A,SILVAN,520/375/0023,1/1/1988 12:00:00 AM,,M375/59,M375-1,,,10/17/2011 2:53:05 PM,12/6/2014 2:39:39 AM,IN,,,,18374
540,,,227607,10215620,M375SF-02010BR,M375SF-02010V-AJ,,BYPASS,S,CARDINIA - HALLAM NO 2 MAIN,M375,,,MSCL,70.55,70.55,3.54,225,UNKN,1/1/1988 12:00:00 AM,M375-010-CB,SILVAN,520/375/0023,1/1/1988 12:00:00 AM,,M375/60,WB48,,,10/17/2011 2:53:10 PM,12/6/2014 2:39:40 AM,IN,,,,18410
541,,,234378,10261677,M473-00774BR,M473-01147BR,,MAINBG,T,SILVAN RESERVOIR BY-PASS MAIN,M473,,,MS,0,0,373.75,2100,SAND,1/1/1962 12:00:00 AM,M473-001,SILVAN,,1/1/1962 12:00:00 AM,,M197/119,,,,10/17/2011 12:00:00 AM,12/6/2014 2:39:41 AM,IN,,,,24527
542,,,227911,10230595,M044SB-00010V,M044-00007BR,,BYPASS,S,ST GEORGES RD REPLACEMENT MAIN,M474,,,MSCL,0,0,3,150,SAND,1/1/1995 12:00:00 AM,,SURREY HILLS,520/160/0031,7/25/1996 12:00:00 AM,,M205/59,M474-2,AS CONSTRUCTED,DIGITISED,6/30/2011 12:00:00 AM,12/6/2014 2:39:52 AM,IN,,,new,23204
