Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"""Prep Total""","""Year 1 Total""","""Year 2 Total""","""Year 3 Total""","""Year 4 Total""","""Year 5 Total""","""Year 6 Total""","""Primary Ungraded Total""","""Primary Total""","""Year 7 Total""","""Year 8 Total""","""Year 9 Total""","""Year 10 Total""","""Year 11 Total""","""Year 12 Total""","""Secondary Ungraded Total""","""Secondary Total""","""Grand Total""",Year,CENSUS_TYPE
Catholic,2,841,St Joseph's School,Primary,O,23,33,32,37,38,42,51,0,256,0,0,0,0,0,0,0,0,256,2023,F
Catholic,2,848,St Joseph's School,Primary,O,43,35,29,28,39,28,32,0,234,0,0,0,0,0,0,0,0,234,2023,F
Catholic,2,909,St John's School,Primary,O,31,34,45,47,51,37,54,0,299,0,0,0,0,0,0,0,0,299,2023,F
Catholic,2,914,Our Lady of Mercy College,Secondary,O,0,0,0,0,0,0,0,0,0,204,208,201,204,184,189,0,1190,1190,2023,F
Catholic,2,915,St Joseph's School,Primary,O,23,33,22,39,28,32,30,0,207,0,0,0,0,0,0,0,0,207,2023,F
Catholic,2,923,St Brigid's School,Primary,O,12,32,15,34,26,19,37,0,175,0,0,0,0,0,0,0,0,175,2023,F
Catholic,2,924,St Columba's School,Primary,O,48,48,49,48,49,48,48,0,338,0,0,0,0,0,0,0,0,338,2023,F
Catholic,2,931,Our Lady Help of Christians School,Primary,O,35,32,32,42,36,46,28,0,251,0,0,0,0,0,0,0,0,251,2023,F
Catholic,2,932,St Anthony's School,Primary,O,17,13,11,13,20,19,18,0,111,0,0,0,0,0,0,0,0,111,2023,F
Catholic,2,935,St Mary's School,Primary,O,28,14,28,19,24,28,31,0,172,0,0,0,0,0,0,0,0,172,2023,F
Catholic,2,937,Sacred Heart School,Primary,O,20,19,35,30,44,26,39,0,213,0,0,0,0,0,0,0,0,213,2023,F
Catholic,2,950,St Joseph's School,Primary,O,62,30,42,51,44,42,33,0,304,0,0,0,0,0,0,0,0,304,2023,F
Catholic,2,954,St Mary's School,Primary,O,53,56,54,54,55,54,56,0,382,0,0,0,0,0,0,0,0,382,2023,F
Catholic,2,955,St Joseph's School,Primary,O,21,12,20,14,17,12,21,0,117,0,0,0,0,0,0,0,0,117,2023,F
Catholic,2,956,De La Salle College,Pri/Sec,O,0,0,0,0,0,27,56,0,83,144,117,153,157,157,162,0,890,973,2023,F
Catholic,2,962,St Margaret Mary's School,Primary,O,10,6,13,9,23,7,22,0,90,0,0,0,0,0,0,0,0,90,2023,F
Catholic,2,981,St Francis Xavier School,Primary,O,74,68,77,63,71,52,60,0,465,0,0,0,0,0,0,0,0,465,2023,F
Catholic,2,991,St Laurence O'Toole School,Primary,O,24,25,24,23,34,31,24,0,185,0,0,0,0,0,0,0,0,185,2023,F
Catholic,2,999,St Joseph's School,Primary,O,12,14,18,12,8,10.6,17,0,91.6,0,0,0,0,0,0,0,0,91.6,2023,F
Catholic,2,1013,St Brigid's School,Primary,O,40,41,48,43,42,56,42,0,312,0,0,0,0,0,0,0,0,312,2023,F
Catholic,2,1015,St James School,Primary,O,8,17,15,9,18,18,13,0,98,0,0,0,0,0,0,0,0,98,2023,F
Catholic,2,1024,St Mary's School,Primary,O,16,45,25,38,35,6,10,0,175,0,0,0,0,0,0,0,0,175,2023,F
Catholic,2,1033,Holy Rosary School,Primary,O,30,34,47,38,41,35.4,28,0,253.4,0,0,0,0,0,0,0,0,253.4,2023,F
Catholic,2,1036,St Aloysius' School,Primary,O,7,18,5,13,14,8,16,0,81,0,0,0,0,0,0,0,0,81,2023,F
Catholic,2,1041,St Anthony's School,Primary,O,11,21,23,16,30,27,29,0,157,0,0,0,0,0,0,0,0,157,2023,F
Catholic,2,1045,St Joseph's School,Primary,O,41,17,32,22,14,22,18,0,166,0,0,0,0,0,0,0,0,166,2023,F
Catholic,2,1058,St Mary's School,Primary,O,7,8,5,12,6,4,9,0,51,0,0,0,0,0,0,0,0,51,2023,F
Catholic,2,1067,Holy Rosary School,Primary,O,44,44,43,41,41,46,41,0,300,0,0,0,0,0,0,0,0,300,2023,F
Catholic,2,1070,St Columba's School,Primary,O,22,15,14,19,21,34,27,0,152,0,0,0,0,0,0,0,0,152,2023,F
Catholic,2,1072,Our Lady of the Rosary,Primary,O,41,37,46,37,53,38,58,0,310,0,0,0,0,0,0,0,0,310,2023,F
Catholic,2,1084,St Mary's School,Primary,O,86,102,72,77,93,86,91,0,607,0,0,0,0,0,0,0,0,607,2023,F
Catholic,2,1097,St Mary's School,Primary,O,16,24,26,13,10,22,9,0,120,0,0,0,0,0,0,0,0,120,2023,F
Catholic,2,1099,St Brendan's School,Primary,O,7,7.6,5,5,9,5,6,0,44.6,0,0,0,0,0,0,0,0,44.6,2023,F
Catholic,2,1101,Our Lady of the Immaculate Conception School,Primary,O,47,53,39,44.4,44,47,42,0,316.4,0,0,0,0,0,0,0,0,316.4,2023,F
Catholic,2,1108,St Mary's School,Primary,O,19,22,13,27,31,43,35,0,190,0,0,0,0,0,0,0,0,190,2023,F
Catholic,2,1109,St John's School,Primary,O,45,39,35,31,26,36,34,0,246,0,0,0,0,0,0,0,0,246,2023,F
Catholic,2,1122,St Brigid's College,Secondary,O,0,0,0,0,0,0,0,0,0,37,54,34,35,29,22,0,211,211,2023,F
Catholic,2,1134,St Joan of Arc School,Primary,O,56,58,55,64,58,52,48,0,391,0,0,0,0,0,0,0,0,391,2023,F
Catholic,2,1136,St John's School,Primary,O,24,25,26,25,30,26,29,0,185,0,0,0,0,0,0,0,0,185,2023,F
Catholic,2,1146,St John's School,Primary,O,40,39,37,42,32,27,24,0,241,0,0,0,0,0,0,0,0,241,2023,F
Catholic,2,1152,St Joseph's School,Primary,O,50,41,51,32,56,47,40,0,317,0,0,0,0,0,0,0,0,317,2023,F
Catholic,2,1164,Mary Immaculate School,Primary,O,17,21,12,19,13,13,17,0,112,0,0,0,0,0,0,0,0,112,2023,F
Catholic,2,1173,St Joseph's School,Primary,O,2,9,7,5,4,3,1,0,31,0,0,0,0,0,0,0,0,31,2023,F
Catholic,2,1176,Our Lady of Lourdes School,Primary,O,26,43,19,25,27,12,15,0,167,0,0,0,0,0,0,0,0,167,2023,F
Catholic,2,1177,St Joseph's School,Primary,O,2,2,7,0,4,2,6,0,23,0,0,0,0,0,0,0,0,23,2023,F
Catholic,2,1188,St Mary's School,Primary,O,18,18,14,14,26,18,19,0,127,0,0,0,0,0,0,0,0,127,2023,F
Catholic,2,1193,St Therese's School,Primary,O,78,80,82,78,73,77,76,0,544,0,0,0,0,0,0,0,0,544,2023,F
Catholic,2,1196,Sacred Heart School,Primary,O,9,8,6,6,11,11,8,0,59,0,0,0,0,0,0,0,0,59,2023,F
Catholic,2,1206,Our Lady of Good Counsel School,Primary,O,27,26,22,35,29,29.6,17,0,185.6,0,0,0,0,0,0,0,0,185.6,2023,F
Catholic,2,1217,St Joseph's School,Primary,O,37,36,51,52,62,49,47,0,334,0,0,0,0,0,0,0,0,334,2023,F
Catholic,2,1221,St Finbar's School,Primary,O,50,45,54,48,32,55,41,0,325,0,0,0,0,0,0,0,0,325,2023,F
Catholic,2,1226,Loreto Mandeville Hall,Pri/Sec,O,15,18,12,26,39,87,101,0,298,152,157,159,151,163,154,0,936,1234,2023,F
Catholic,2,1229,St Dominic's School,Primary,O,18,18.8,20,25,33,21,24,0,159.8,0,0,0,0,0,0,0,0,159.8,2023,F
Catholic,2,1231,St Mary's School,Primary,O,33,32,44,40,35,36,42,0,262,0,0,0,0,0,0,0,0,262,2023,F
Catholic,2,1252,Holy Rosary School,Primary,O,10,14,9,12,15,6,10,0,76,0,0,0,0,0,0,0,0,76,2023,F
Catholic,2,1253,St Mary's School,Primary,O,7,21,12,20,18,15,17,0,110,0,0,0,0,0,0,0,0,110,2023,F
Catholic,2,1260,St Joseph's School,Primary,O,18,31,28,26,27,38,27,0,195,0,0,0,0,0,0,0,0,195,2023,F
Catholic,2,1265,St Fidelis' School,Primary,O,43,19,31,18,35,26,30,0,202,0,0,0,0,0,0,0,0,202,2023,F
Catholic,2,1272,St Francis Xavier's School,Primary,O,40,41,42,35,29,51,45,0,283,0,0,0,0,0,0,0,0,283,2023,F
Catholic,2,1273,St Mary's School,Primary,O,39,45,40,34,37,42,40,0,277,0,0,0,0,0,0,0,0,277,2023,F
Catholic,2,1275,Our Lady Help of Christians School,Primary,O,12,21,21,19,19,16.2,28,0,136.2,0,0,0,0,0,0,0,0,136.2,2023,F
Catholic,2,1277,Our Lady of the Sacred Heart School,Primary,O,24,25,18,29,17,27.4,21,0,161.4,0,0,0,0,0,0,0,0,161.4,2023,F
Catholic,2,1280,St Francis Xavier School,Primary,O,21,21,27,19,24,21,25,0,158,0,0,0,0,0,0,0,0,158,2023,F
Catholic,2,1287,Our Lady of Sion College,Secondary,O,0,0,0,0,0,0,0,0,0,160,160,159,151,168,154,0,952,952,2023,F
Catholic,2,1289,St Gabriel's School,Primary,O,10,17,16,11,15,13,23,0,105,0,0,0,0,0,0,0,0,105,2023,F
Catholic,2,1291,St Paul's School,Primary,O,50,49,52,52,50,49,49,0,351,0,0,0,0,0,0,0,0,351,2023,F
Catholic,2,1292,St Joseph's School,Primary,O,4,8,3,11.4,15,15,10,0,66.4,0,0,0,0,0,0,0,0,66.4,2023,F
Catholic,2,1299,Salesian College Sunbury,Secondary,O,0,0,0,0,0,0,0,0,0,308,297,266,264,211,211,0,1557,1557,2023,F
Catholic,2,1301,St Patrick's School,Primary,O,20,28,23,14,23,22,27,0,157,0,0,0,0,0,0,0,0,157,2023,F
Catholic,2,1309,St Joseph's School,Primary,O,12,15,17,19,13,12,16,0,104,0,0,0,0,0,0,0,0,104,2023,F
Catholic,2,1310,St Patrick's School,Primary,O,26,42,33,45,42,41,42,0,271,0,0,0,0,0,0,0,0,271,2023,F
Catholic,2,1311,St Roch's School,Primary,O,25,17,23,21,28,21,21,0,156,0,0,0,0,0,0,0,0,156,2023,F
Catholic,2,1328,St Anne's School,Primary,O,11,10,6,14,11,9,8,0,69,0,0,0,0,0,0,0,0,69,2023,F
Catholic,2,1342,Our Lady of Perpetual Help School,Primary,O,41,25,31,37,29,50,41,0,254,0,0,0,0,0,0,0,0,254,2023,F
Catholic,2,1343,St Francis Xavier Primary School,Primary,O,45,41,46,42,45,32,31,0,282,0,0,0,0,0,0,0,0,282,2023,F
Catholic,2,1347,St Joseph's School,Primary,O,20,11,23,18,18,20,24,0,134,0,0,0,0,0,0,0,0,134,2023,F
Catholic,2,1354,St Cecilia's School,Primary,O,41,44,37,36,40.4,35,13,0,246.4,0,0,0,0,0,0,0,0,246.4,2023,F
Catholic,2,1368,St Joseph's School,Primary,O,48,50,50,52,56,47,38,0,341,0,0,0,0,0,0,0,0,341,2023,F
Catholic,2,1373,St Joseph's School,Primary,O,17,16,11,15,16,11,14,0,100,0,0,0,0,0,0,0,0,100,2023,F
Catholic,2,1383,St Peter's School,Primary,O,47,44,66,51,39,56,34,0,337,0,0,0,0,0,0,0,0,337,2023,F
Catholic,2,1386,Santa Maria College,Secondary,O,0,0,0,0,0,0,0,0,0,127,120,153,147,126,139,0,812,812,2023,F
Catholic,2,1393,Sacred Heart School,Primary,O,17,36,24,32,31,42,40,0,222,0,0,0,0,0,0,0,0,222,2023,F
