Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total floor space in block
2021,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2021,107,Melbourne (CBD),,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4498.3
2021,115,Melbourne (CBD),17545.55,,0,,,8127,,0,0,1529.9,0,,0,10544.55,,1532,,13807.8,,0,75274.43
2021,125,Melbourne (CBD),0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,2742.09
2021,206,Carlton,1102.2,0,0,,253.98,0,0,0,1219.11,1634.35,0,,0,15123.07,0,,0,2270.25,0,0,22298.61
2021,208,Carlton,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,852.93
2021,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2021,210,Carlton,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2021,213,Carlton,0,0,0,,0,0,,,0,0,,0,0,,0,0,0,0,0,0,16782.33
2021,220,Carlton,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,1824.1
2021,221,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,223,Carlton,,0,0,0,424.9,0,0,0,0,297.8,506.13,0,0,,0,,0,,0,0,2092.63
2021,226,Carlton,0,0,0,0,0,0,0,0,0,750.7,0,0,0,0,0,0,0,0,0,0,750.7
2021,231,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2021,232,Carlton,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1267.7
2021,235,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,238,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,240,Carlton,,0,0,0,,0,57371.44,0,0,616.94,0,0,0,0,0,0,0,,0,0,59371.95
2021,241,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2021,245,Carlton,,,0,0,2056.51,,,0,,2338.43,,0,0,,0,,0,,0,,9685.99
2021,246,Carlton,,0,0,,,0,,0,0,3804.11,,0,0,,0,,0,,0,0,7051.99
2021,251,Carlton,0,0,0,0,,0,0,0,2354.39,,6779.68,0,,2739.3,,,0,0,0,,14743.99
2021,253,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,255,Carlton,8137.6,,0,0,502.82,0,,0,0,625.1,,0,0,532.2,,0,0,,0,,19992.61
2021,256,Carlton,21277.26,0,0,0,0,,0,0,0,372.34,,0,0,0,,0,0,,0,0,26448.33
2021,261,Carlton,0,0,0,0,,0,,0,0,,0,,0,6174.29,0,0,0,4209.83,0,0,11562.87
2021,271,Parkville,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,104403.07
2021,304,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,
2021,305,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,307,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,310,North Melbourne,0,0,0,0,,0,0,0,0,,0,0,5529.7,0,0,0,0,0,0,,8309.7
2021,320,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,322,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,7151.5
2021,323,North Melbourne,0,,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,8700.65
2021,324,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,332,North Melbourne,0,0,0,,,,0,0,,0,0,0,888.6,670,0,0,0,0,0,0,2160.94
2021,336,North Melbourne,0,0,0,0,2011.27,,0,0,0,0,0,,0,,0,0,0,0,0,,4343.47
2021,341,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,,0,,3432.82
2021,346,North Melbourne,0,0,0,0,,0,0,0,,473.63,,0,,,0,,0,636.71,,0,2712.75
2021,347,North Melbourne,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,965.43
2021,348,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,351,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,352,North Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2021,354,North Melbourne,,0,0,,1914.73,0,728.57,0,0,3519.16,993.28,,0,2332.28,0,,0,1344.48,,257.1,16324.13
2021,356,North Melbourne,0,,0,0,422.8,0,,0,0,714.9,0,,,1129.92,0,0,0,2053.79,0,,9538.47
2021,358,North Melbourne,0,0,0,0,,,,0,0,977.24,0,0,0,1546.17,0,0,0,411.31,,0,4759.66
2021,360,North Melbourne,0,0,0,0,0,0,,0,0,640.9,0,0,,,0,0,0,,0,,2260.39
2021,361,North Melbourne,,397.26,0,0,374.9,0,0,0,0,1306.68,0,,0,585.47,,0,0,,0,0,8423.41
2021,362,North Melbourne,,,0,,,0,,0,0,963.67,,0,0,7386,0,0,0,6768.79,0,0,20204.45
2021,364,North Melbourne,,,0,,0,0,0,0,0,0,0,,0,265.13,0,,,,0,0,4681.58
2021,366,North Melbourne,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2021,374,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,375,North Melbourne,0,0,0,0,903.52,,,0,0,,,0,0,18234,,0,0,,0,0,23903.73
2021,377,North Melbourne,0,,0,0,5705.35,0,,0,0,1224.74,2050.48,0,,997.09,0,0,0,,0,0,10997.38
2021,380,North Melbourne,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,401,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021,405,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,
2021,412,West Melbourne (Residential),0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,3996.24
2021,413,West Melbourne (Residential),0,0,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,,5509.61
2021,418,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,1705.5
2021,422,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,423,West Melbourne (Residential),0,0,0,,0,0,0,0,0,1017.88,,0,0,,0,0,0,,0,0,4581.52
2021,424,West Melbourne (Residential),0,,0,0,,0,0,0,0,406.84,531.64,0,,,0,0,0,,0,0,1704.36
2021,427,West Melbourne (Residential),0,0,0,0,1051.4,,,0,0,,,0,0,472.11,0,,0,,0,,5619.03
2021,428,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,1977.24
2021,430,West Melbourne (Residential),0,0,0,0,,0,0,0,0,386.13,,0,,0,0,0,0,,0,0,5390.06
2021,432,West Melbourne (Residential),0,0,0,,,0,7817.18,0,0,,0,,0,,0,0,0,0,0,0,12373.69
2021,433,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,434,West Melbourne (Residential),0,0,0,0,356.3,0,,0,1438.95,,,,,,0,0,0,494.6,,,5133.49
2021,435,West Melbourne (Residential),,0,0,,0,0,0,0,0,1278.47,,0,0,396.8,0,0,0,590.31,330.59,0,3524.16
