road_name,location,suburb,speed_limit,average_speed,85th_percentile_speed,maximum_speed,road_segment,datetime,hour,day_of_week,week,year,road_name_encoded,location_encoded,suburb_encoded,Total_Traffic_Volume,month,month_name,day_type,Speeding_Incident,time_of_day
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.0,37.0,46.91879065285473,20780,2015-04-21 21:00:00,21,1,17,2015,84,26,0,25.29217885759312,4,April,Weekday,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,37.7,40.8,46.91879065285473,20780,2015-04-22 01:00:00,1,2,17,2015,84,26,0,15.292178857593125,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,32.298564176939806,37.90016679055095,46.91879065285473,20780,2015-04-22 03:00:00,3,2,17,2015,84,26,0,96.46956329878134,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,27.9,39.4,46.91879065285473,20780,2015-04-22 06:00:00,6,2,17,2015,84,26,0,27.198183253490285,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,32.5,40.0,46.91879065285473,20780,2015-04-22 09:00:00,9,2,17,2015,84,26,0,46.1981832534903,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,30.1,35.0,46.91879065285473,20780,2015-04-22 10:00:00,10,2,17,2015,84,26,0,40.1981832534903,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,25.7,36.1,46.91879065285473,20780,2015-04-22 16:00:00,16,2,17,2015,84,26,0,39.1981832534903,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.4,38.6,46.91879065285473,20780,2015-04-22 22:00:00,22,2,17,2015,84,26,0,26.29217885759312,4,April,Weekday,False,Evening
Princess Park Drive,South Of Macpherson Street,Carlton North,50,25.0,24.0,25.0,22512,2015-08-31 02:00:00,2,0,36,2015,87,129,1,11.292178857593127,8,August,Weekday,False,Night
Princess Park Drive,South Of Macpherson Street,Carlton North,50,25.0,24.0,25.0,22512,2015-08-31 02:00:00,2,0,36,2015,87,129,1,11.292178857593127,8,August,Weekday,False,Night
Princess Park Drive,South Of Macpherson Street,Carlton North,50,23.0,23.0,23.0,22512,2015-08-31 04:00:00,4,0,36,2015,87,129,1,11.292178857593127,8,August,Weekday,False,Night
Princess Park Drive,South Of Macpherson Street,Carlton North,50,23.0,23.0,23.0,22512,2015-08-31 04:00:00,4,0,36,2015,87,129,1,11.292178857593127,8,August,Weekday,False,Night
Princess Park Drive,South Of Macpherson Street,Carlton North,50,21.0,26.0,30.0,22512,2015-08-31 07:00:00,7,0,36,2015,87,129,1,26.86456737794182,8,August,Weekday,False,Morning
Princess Park Drive,South Of Macpherson Street,Carlton North,50,21.0,26.0,30.0,22512,2015-08-31 07:00:00,7,0,36,2015,87,129,1,26.86456737794182,8,August,Weekday,False,Morning
Princess Park Drive,South Of Macpherson Street,Carlton North,50,21.0,24.0,31.0,22512,2015-08-31 08:00:00,8,0,36,2015,87,129,1,35.78408485413615,8,August,Weekday,False,Morning
Princess Park Drive,South Of Macpherson Street,Carlton North,50,21.0,24.0,31.0,22512,2015-08-31 08:00:00,8,0,36,2015,87,129,1,35.78408485413615,8,August,Weekday,False,Morning
Princess Park Drive,South Of Macpherson Street,Carlton North,50,21.0,26.0,34.0,22512,2015-08-31 10:00:00,10,0,36,2015,87,129,1,30.784084854136136,8,August,Weekday,False,Morning
Princess Park Drive,South Of Macpherson Street,Carlton North,50,21.0,26.0,34.0,22512,2015-08-31 10:00:00,10,0,36,2015,87,129,1,30.784084854136136,8,August,Weekday,False,Morning
Princess Park Drive,South Of Macpherson Street,Carlton North,50,20.0,25.0,28.0,22512,2015-08-31 12:00:00,12,0,36,2015,87,129,1,44.69008925003331,8,August,Weekday,False,Afternoon
Princess Park Drive,South Of Macpherson Street,Carlton North,50,20.0,25.0,28.0,22512,2015-08-31 12:00:00,12,0,36,2015,87,129,1,44.69008925003331,8,August,Weekday,False,Afternoon
Princess Park Drive,South Of Macpherson Street,Carlton North,50,22.0,26.0,35.0,22512,2015-08-31 14:00:00,14,0,36,2015,87,129,1,88.69008925003331,8,August,Weekday,False,Afternoon
Princess Park Drive,South Of Macpherson Street,Carlton North,50,22.0,26.0,35.0,22512,2015-08-31 14:00:00,14,0,36,2015,87,129,1,88.69008925003331,8,August,Weekday,False,Afternoon
Princess Park Drive,South Of Macpherson Street,Carlton North,50,23.0,28.0,38.0,22512,2015-08-31 19:00:00,19,0,36,2015,87,129,1,104.78408485413613,8,August,Weekday,False,Evening
Princess Park Drive,South Of Macpherson Street,Carlton North,50,23.0,28.0,38.0,22512,2015-08-31 19:00:00,19,0,36,2015,87,129,1,104.78408485413613,8,August,Weekday,False,Evening
