route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-V48-mjp-11","T2_3","11.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","11.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","12.T0.1-V48-mjp-11.4.H","1-V48-mjp-11.4.H","Traralgon","0"
"1-V48-mjp-11","T2_3","12.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","12.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","13.T0.1-V48-mjp-11.5.H","1-V48-mjp-11.5.H","Traralgon","0"
"1-V48-mjp-11","T2_3","13.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","13.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","14.T0.1-V48-mjp-11.5.H","1-V48-mjp-11.5.H","Traralgon","0"
"1-V48-mjp-11","T2_3","14.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T3_3","14.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","15.T0.1-V48-mjp-11.5.H","1-V48-mjp-11.5.H","Traralgon","0"
"1-V48-mjp-11","T2_3","15.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T3_3","15.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","16.T0.1-V48-mjp-11.5.H","1-V48-mjp-11.5.H","Traralgon","0"
"1-V48-mjp-11","T2_3","16.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T3_3","16.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","17.T0.1-V48-mjp-11.5.H","1-V48-mjp-11.5.H","Traralgon","0"
"1-V48-mjp-11","T2_3","17.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T3_3","17.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","18.T0.1-V48-mjp-11.6.R","1-V48-mjp-11.6.R","Melbourne","1"
"1-V48-mjp-11","T2_3","18.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T3_3","18.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","19.T0.1-V48-mjp-11.7.R","1-V48-mjp-11.7.R","Melbourne","1"
"1-V48-mjp-11","T2_3","19.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","2.T0.1-V48-mjp-11.2.H","1-V48-mjp-11.2.H","Traralgon","0"
"1-V48-mjp-11","T2_3","2.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","2.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","20.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T2_3","20.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","21.T0.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T2_3","21.T2.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
