lastupdated,status_timestamp,zone_number,status_description,parkingbay_id,datetime
2023-08-13T03:16:36+00:00,2023-08-11T15:18:11+00:00,7548.0,Unoccupied,6006,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T13:37:07+00:00,7541.0,Unoccupied,6009,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T11:59:31+00:00,7541.0,Unoccupied,6012,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T13:59:25+00:00,7548.0,Unoccupied,6016,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-10T19:13:28+00:00,7408.0,Present,6023,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-05T14:39:38+00:00,7408.0,Present,6024,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-10T19:18:50+00:00,,Present,6025,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:23:10+00:00,7448.0,Present,6031,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:09:56+00:00,7572.0,Present,6044,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:15:01+00:00,7572.0,Present,6045,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:51:24+00:00,7572.0,Present,6048,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:59:20+00:00,7572.0,Present,6051,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:31:03+00:00,7572.0,Present,6052,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:37:33+00:00,7572.0,Present,6053,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:46:54+00:00,7572.0,Present,6054,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:48:07+00:00,7572.0,Present,6071,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:32:03+00:00,7572.0,Present,6075,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:40:04+00:00,7572.0,Present,6077,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:03:08+00:00,7572.0,Present,6079,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T16:01:03+00:00,7572.0,Present,6081,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:17:22+00:00,7572.0,Present,6082,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:49:32+00:00,7572.0,Unoccupied,6083,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:02:39+00:00,7572.0,Present,6085,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:37:32+00:00,7572.0,Unoccupied,6087,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:02:00+00:00,7639.0,Present,6155,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:47:05+00:00,7639.0,Present,6171,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:56:02+00:00,7639.0,Present,6173,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T12:41:18+00:00,7609.0,Present,6177,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:35:08+00:00,7609.0,Present,6179,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:09:54+00:00,7609.0,Present,6182,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:14:49+00:00,7609.0,Present,6187,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:42:21+00:00,,Unoccupied,6238,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:24:07+00:00,,Present,6239,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:20:06+00:00,,Present,6246,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:44:39+00:00,7355.0,Unoccupied,6263,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T18:40:47+00:00,7355.0,Unoccupied,6264,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T17:42:56+00:00,,Unoccupied,6268,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:02:45+00:00,,Present,6293,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:10:52+00:00,,Present,6294,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:38:27+00:00,7351.0,Present,6300,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:10:04+00:00,,Unoccupied,6306,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T08:14:17+00:00,,Unoccupied,6307,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:48:29+00:00,7352.0,Present,6350,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:53:36+00:00,7352.0,Present,6351,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:10:20+00:00,7352.0,Present,6352,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T21:53:48+00:00,,Present,6358,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:43:46+00:00,7337.0,Present,6383,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:14:19+00:00,7339.0,Present,6472,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:13:42+00:00,7310.0,Present,6497,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:06:12+00:00,7310.0,Present,6503,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:37:05+00:00,7310.0,Present,6504,2023-08-13 13:17:40
