Census year,Block ID,CLUE small area,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Total establishments in block
2012,920,Parkville,5,0,0,0,0,0,0,1,61,0,0,0,3,2,0,0,6,1,0,79
2012,922,Parkville,0,0,0,1,0,0,1,0,2,0,0,0,8,0,0,0,0,0,0,12
2012,923,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2012,924,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,926,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,929,Parkville,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4
2012,1004,West Melbourne (Industrial),0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,5,0,9
2012,1005,West Melbourne (Industrial),1,0,0,2,1,0,2,0,0,0,0,0,1,0,0,1,1,4,2,15
2012,1006,West Melbourne (Industrial),5,0,0,1,0,0,1,1,0,2,0,0,1,1,2,8,1,13,172,208
2012,1007,West Melbourne (Industrial),0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,12,1,17
2012,1009,West Melbourne (Industrial),1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,5,0,13
2012,1012,North Melbourne,0,1,0,0,2,1,3,0,0,0,9,0,2,1,0,1,0,3,4,27
2012,1014,West Melbourne (Industrial),0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,11
2012,1102,Docklands,5,2,0,0,1,1,0,0,1,6,2,0,5,31,0,5,1,4,0,64
2012,1103,Docklands,24,3,0,7,2,1,0,1,1,3,0,0,4,2,0,3,5,0,0,56
2012,1105,Docklands,11,2,0,1,2,0,0,4,3,2,0,1,3,6,4,1,1,0,2,43
2012,1107,Docklands,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6
2012,1109,Docklands,35,12,0,2,7,5,1,10,5,7,1,1,10,39,3,11,12,10,7,178
2012,1111,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
