,block_id,geo_point_coords,CLUE,block_area,total_jobs,business_establishments,commercial_area,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
119,517,"-37.79853438075187, 144.928248282109",Kensington,20639.463369534733,0,0,0.0,0.5636416493047144,11633.0,residence,business,residence: 11633
120,315,"-37.799167373002646, 144.94155340519785",North Melbourne,72216.68650809467,183,8,45044.0,0.6237398914368008,0.0,public_service,leisure,"public_service: 41637, leisure: 3407"
121,235,"-37.798927643323914, 144.97407197345024",Carlton,11115.744331992979,0,1,644.0,1.0005398110661268,10477.0,residence,public_service,"residence: 10477, public_service: 644"
122,514,"-37.798147343249525, 144.93117124084185",Kensington,13914.508575981037,0,0,0.0,0.5756073019979876,8009.0,residence,business,residence: 8009
123,325,"-37.79784713998904, 144.94539136308597",North Melbourne,18027.057539610152,0,0,2804.0,1.0406612303766571,15956.0,residence,public_service,"residence: 15956, public_service: 2804"
124,528,"-37.79754622943549, 144.9204721810879",Kensington,26626.653168156656,0,2,0.0,0.6940584391196575,18480.0,residence,business,residence: 18480
125,516,"-37.797430071993105, 144.9301277877918",Kensington,24946.7763190395,0,0,0.0,0.6178545658622625,15413.0,residence,business,residence: 15413
126,380,"-37.79746900509073, 144.95113605503298",North Melbourne,10105.406574596966,0,2,0.0,0.5015338941118258,5068.0,residence,business,residence: 5068
127,313,"-37.79823498059318, 144.9390616188566",North Melbourne,110992.21124881151,146,7,5957.0,0.1675345970880784,12638.0,residence,business,"residence: 12638, business: 5957"
128,922,"-37.796581900268684, 144.9524875324197",Parkville,73481.52668982682,46,9,2189.0,0.5334031926620487,37006.0,residence,business,"residence: 37006, business: 1157, public_service: 1032"
129,538,"-37.796356667524314, 144.9197030433231",Kensington,5512.018492553802,0,1,0.0,2.232402031930334,12305.0,residence,business,residence: 12305
130,324,"-37.79634719635519, 144.9456594178483",North Melbourne,24162.79055262982,0,1,454.0,0.596846287558977,13967.0,residence,public_service,"residence: 13967, public_service: 454"
131,530,"-37.79656681706763, 144.92046835491843",Kensington,18093.560058265124,0,3,0.0,,0.0,,,
132,509,"-37.79769384930326, 144.93243216727348",Kensington,36508.63433838086,109,9,6564.0,0.1797962090500712,0.0,public_service,business,"public_service: 3479, business: 3085"
133,520,"-37.79588298839757, 144.92688273610182",Kensington,4645.067152582062,16,3,13354.0,27.130247578040905,112666.0,residence,public_service,"residence: 112666, public_service: 13354"
134,521,"-37.79664124785237, 144.92961348609333",Kensington,28786.6656846526,0,0,0.0,0.6049468491627875,17414.0,residence,business,residence: 17414
135,319,"-37.797254405378766, 144.94210323559938",North Melbourne,82585.79742985265,141,3,0.0,,0.0,,,
