Census year,Block ID,CLUE small area,Commercial Accommodation,Common Area,Community Use,Educational/Research,Entertainment/Recreation - Indoor,Equipment Installation,Hospital/Clinic,House/Townhouse,Institutional Accommodation,Manufacturing,Office,Park/Reserve,Parking - Commercial Covered,Parking - Commercial Uncovered,Parking - Private Covered,Parking - Private Uncovered,"Performances, Conferences, Ceremonies",Private Outdoor Space,Public Display Area,Residential Apartment,Retail - Cars,Retail - Shop,Retail - Showroom,Retail - Stall,Sports and Recreation - Outdoor,Square/Promenade,Storage,Student Accommodation,Transport,Transport/Storage - Uncovered,Unoccupied - Under Construction,Unoccupied - Under Demolition/Condemned,Unoccupied - Under Renovation,Unoccupied - Undeveloped Site,Unoccupied - Unused,Wholesale,Workshop/Studio,Total floor space in block
2012,333,North Melbourne,0,1168,0,0,,0,0,4410,0,0,2236,0,0,0,0,0,0,812,0,2024,0,,0,0,0,0,,0,0,0,0,0,0,0,1070,,1314,14605
2012,335,North Melbourne,0,2288,0,0,,0,0,3196,0,,2270,0,0,0,3660,0,0,573,0,3219,0,,,0,0,0,,0,0,0,,0,0,,3155,,,20822
2012,337,North Melbourne,0,924,0,0,0,,0,,0,0,2677,0,0,0,0,0,0,6095,0,0,,0,,0,0,0,1602,0,0,0,0,0,0,0,0,1923,,18403
2012,342,North Melbourne,0,520,0,0,0,0,0,3863,0,0,3067,0,0,0,,0,0,1009,0,,,0,,0,0,0,,0,0,0,0,0,0,,,0,1346,13273
2012,343,North Melbourne,0,357,0,,0,0,0,4318,0,0,1120,0,0,0,0,0,,5635,0,,0,,,0,0,0,,0,0,0,,0,,0,,,1093,18578
2012,345,North Melbourne,0,884,0,,2516,,528,4899,0,0,2402,0,0,,1278,0,0,2603,0,2489,0,4066,0,0,0,0,2988,0,0,0,,,0,0,1134,0,,29033
2012,346,North Melbourne,,110,0,0,414,0,,4767,0,,1210,0,0,0,132,0,0,412,0,1118,0,1341,0,0,0,0,,0,0,0,0,0,,0,343,0,0,11077
2012,349,North Melbourne,0,,0,0,0,0,0,4421,0,0,,0,0,0,,0,0,1674,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,7508
2012,351,North Melbourne,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,6345
2012,354,North Melbourne,0,3629,,0,4556,0,0,3841,0,0,4656,0,0,0,202,383,2161,2829,0,6061,0,3176,0,0,0,0,1869,0,0,0,0,0,0,0,1300,0,,36140
