,block_id,retail,business,leisure,education,healthcare,manufacture,public_service,farming,residence,non_residential
210,2544,0.0,0.0,0.0,0.0,0.0,0.0,523.0,0,8711.0,523.0
211,12,1338.0,53390.0,13161.0,10978.0,0.0,0.0,77262.0,0,16510.0,156129.0
212,15,8994.0,17052.0,18679.0,13652.0,428.0,0.0,28060.0,0,20728.0,86865.0
213,17,1778.0,32384.0,9413.0,0.0,0.0,0.0,81972.0,0,40361.0,125547.0
214,21,536.0,94673.0,8812.0,0.0,0.0,0.0,45620.0,0,22669.0,149641.0
215,22,1496.0,164719.0,6917.0,0.0,0.0,0.0,94431.0,0,878.0,267563.0
216,42,2417.0,71339.0,3018.0,9629.0,494.0,0.0,35710.0,0,15786.0,122607.0
217,44,5376.0,47786.0,1636.0,0.0,343.0,0.0,32370.0,0,8291.0,87511.0
218,46,5531.0,28905.0,6522.0,0.0,0.0,0.0,23619.0,0,21083.0,64577.0
219,51,577.0,23740.0,5469.0,9189.0,0.0,0.0,31297.0,0,91315.0,70272.0
220,54,7261.0,19960.0,5614.0,6072.0,1208.0,0.0,16364.0,0,8629.0,56479.0
221,56,10065.0,17476.0,9241.0,15796.0,0.0,0.0,16996.0,0,487.0,69574.0
222,57,5377.0,12883.0,18685.0,729.0,634.0,0.0,28585.0,0,5555.0,66893.0
223,58,2361.0,5594.0,28638.0,0.0,0.0,0.0,16390.0,0,13225.0,52983.0
224,61,1243.0,1079.0,5618.0,0.0,0.0,0.0,74326.0,0,223460.0,82266.0
225,62,378.0,56773.0,5471.0,0.0,0.0,0.0,38333.0,0,47206.0,100955.0
226,64,6094.0,30998.0,8089.0,6251.0,0.0,0.0,24270.0,0,15553.0,75702.0
227,65,25930.0,5787.0,11433.0,0.0,0.0,0.0,40785.0,0,0.0,83935.0
228,72,830.0,22588.0,3713.0,0.0,0.0,0.0,31277.0,0,94185.0,58408.0
229,78,1074.0,190829.0,3810.0,0.0,652.0,0.0,59637.0,0,36965.0,256002.0
230,83,0.0,11307.0,1738.0,0.0,0.0,0.0,17005.0,0,14049.0,30050.0
231,85,29833.0,82557.0,14561.0,0.0,0.0,0.0,61791.0,0,15749.0,188742.0
232,91,1188.0,3058.0,410.0,0.0,0.0,0.0,11755.0,0,33848.0,16411.0
233,93,617.0,33210.0,19365.0,2721.0,0.0,0.0,40846.0,0,72240.0,96759.0
234,94,1601.0,50309.0,1703.0,11951.0,0.0,0.0,36587.0,0,60235.0,102151.0
235,101,0.0,3980.0,0.0,0.0,0.0,0.0,27927.0,0,82470.0,31907.0
236,107,0.0,0.0,0.0,0.0,0.0,0.0,2429.0,0,0.0,2429.0
237,113,20335.0,3955.0,902.0,0.0,0.0,0.0,4192.0,0,33250.0,29384.0
238,131,0.0,13144.0,4363.0,0.0,0.0,0.0,26135.0,0,7580.0,43642.0
239,207,1105.0,426.0,2553.0,0.0,0.0,0.0,451.0,0,11240.0,4535.0
240,208,0.0,0.0,0.0,0.0,0.0,0.0,566.0,0,3098.0,566.0
241,217,5913.0,1975.0,4345.0,0.0,812.0,0.0,4675.0,0,4580.0,17720.0
242,224,1330.0,1484.0,0.0,0.0,449.0,0.0,2182.0,0,23953.0,5445.0
243,225,367.0,0.0,0.0,0.0,0.0,0.0,324.0,0,8702.0,691.0
