,Unnamed: 0,block_id,geo_point_coords,CLUE,block_area,total_energy_consumption,total_jobs,business_establishments,commercial_area,energy_consumption_per_sqm,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
86,86,406,"-37.80626871188892, 144.94637213351706",West Melbourne (Residential),23146.33142118476,270.778299,0,1,0.0,0.018043303929430633,0.6465047956450358,14964.0,residence,retail,residence: 14964
87,87,413,"-37.80631760179311, 144.94373016688547",West Melbourne (Residential),19822.075021505643,1178.299191,105,8,5000.0,0.06840882694541231,0.8687317122389264,12220.0,residence,business,"residence: 12220, business: 3632, public_service: 1368"
88,88,433,"-37.805906119684956, 144.95353518274754",West Melbourne (Residential),4612.864709299801,100.7308179,0,1,0.0,,,0.0,,,
89,89,424,"-37.80594953754241, 144.95150641533795",West Melbourne (Residential),12488.85028289586,743.2155555,74,15,1294.0,0.07781734394637621,0.7645739910313901,8254.0,residence,retail,"residence: 8254, retail: 973, leisure: 321"
90,90,422,"-37.80553464448475, 144.94806762262357",West Melbourne (Residential),3843.7126452354896,6.662575427,0,0,0.0,,,0.0,,,
91,91,267,"-37.806017761543906, 144.96677782275634",Carlton,32820.08077185872,4570.602434,273,33,14481.0,0.14934640522875817,0.9323583180987203,16119.0,residence,business,"residence: 16119, business: 9437, public_service: 5044"
92,92,263,"-37.805364676778, 144.96085660982942",Carlton,32852.19263506615,8645.520849,1184,34,39041.0,0.0975557461406518,2.697430902228175,49575.0,residence,business,"residence: 49575, business: 19548, public_service: 16823, leisure: 2362, retail: 308"
93,93,344,"-37.804262909831806, 144.9465559805034",North Melbourne,31666.107054009237,899.4519767,60,3,1045.0,0.05205558772437753,0.5453799027347944,16225.0,residence,public_service,"residence: 16225, public_service: 1045"
94,94,345,"-37.804008474620986, 144.94870095125805",North Melbourne,32666.067512798974,3281.60591,269,51,11624.0,0.13241050889866418,0.7585562970672871,13155.0,residence,retail,"residence: 13155, retail: 3851, business: 3417, leisure: 2471, public_service: 1430, healthcare: 455"
95,95,252,"-37.80393566917619, 144.96713677269486",Carlton,32826.298736992874,4349.273594,235,44,11362.0,0.13991570955184507,0.9469018460976055,19721.0,residence,leisure,"residence: 19721, leisure: 4173, public_service: 3494, business: 2441, healthcare: 835, retail: 419"
96,96,341,"-37.80349667902409, 144.9439206538844",North Melbourne,20080.069066594733,1412.527052,76,5,1641.0,0.10784388604597876,0.6520418326693227,11452.0,residence,business,"residence: 11452, business: 1189, public_service: 452"
97,97,255,"-37.80361815446853, 144.96417572580043",Carlton,32396.954443658666,10080.46779,331,23,19586.0,0.17967273893978825,1.7317570070379058,36516.0,residence,public_service,"residence: 36516, public_service: 10869, business: 4797, leisure: 2864, retail: 1056"
98,98,259,"-37.803084769362755, 144.95936590373594",Carlton,14661.638500057668,4374.145532,214,8,23386.0,0.17266016658113922,1.7279176045290225,1947.0,business,public_service,"business: 15811, public_service: 6269, residence: 1947, leisure: 1306"
99,99,1015,"-37.80177576180137, 144.93214141536978",West Melbourne (Industrial),51993.90327219002,1966.686405,102,15,7536.0,0.07490950657268051,0.5047794895466697,18709.0,residence,business,"residence: 18709, business: 7067, public_service: 469"
100,100,1006,"-37.80634364254086, 144.92796582410136",West Melbourne (Industrial),1730921.899977989,27016.34066,319,13,394439.0,0.05122468250025597,0.30469443723890344,132963.0,public_service,residence,"public_service: 390423, residence: 132963, business: 4016"
101,101,364,"-37.80338833450849, 144.95687157297178",North Melbourne,5073.699020390181,1147.641104,65,11,2901.0,0.2931254791719908,0.7713384585058151,1012.0,public_service,residence,"public_service: 1036, residence: 1012, business: 950, retail: 915"
102,102,332,"-37.80170785149751, 144.94702146291968",North Melbourne,13026.503898785597,557.9587676,25,11,2181.0,0.06433356433356434,0.6646706586826348,6477.0,residence,business,"residence: 6477, business: 2071, public_service: 110"
103,103,368,"-37.802257303092624, 144.95202590932712",North Melbourne,32890.49354772574,2612.752869,30,7,6872.0,0.06437144194987308,1.233718455457586,33705.0,residence,public_service,"residence: 33705, public_service: 6382, business: 490"
104,104,335,"-37.8014105222346, 144.94429743336593",North Melbourne,19687.04634263816,564.5239569,197,33,4436.0,0.03287862889122071,0.8713364148930767,12718.0,residence,public_service,"residence: 12718, public_service: 2318, business: 2118"
