Geo Point,Suburb,Latitude,Longitude,Geo Shape,total_2011,p_com_2011,p_res_2026,p_com_2026,total_2026,p_com_2021,property_id,p_res_2011,total_2016,total_2021,p_res_2021,floor_area,p_res_2016,p_com_2016
"-37.796160052448414, 144.93354179733055",West Melbourne,-37.79616,144.933542,"{""coordinates"": [[[[144.93370573166126, -37.79620554463817], [144.9333704209247, -37.796168255822884], [144.93338012630866, -37.79611373298558], [144.93371539856847, -37.79615320914628], [144.93370573166126, -37.79620554463817]]]], ""type"": ""MultiPolygon""}",2.38842975743,0.0,14.0396474366,0.0,14.0396474366,0.0,100309.0,2.38842975743,10.6717045167,12.2470577492,12.2470577492,90.0,10.6717045167,0.0
"-37.79621347769071, 144.9335334283317",West Melbourne,-37.796213,144.933533,"{""coordinates"": [[[[144.9333609889285, -37.79622124064646], [144.9333704209247, -37.796168255822884], [144.93370573166126, -37.79620554463817], [144.93369589112146, -37.79625881250086], [144.9333609889285, -37.79622124064646]]]], ""type"": ""MultiPolygon""}",2.50519512499,0.0,14.7260302002,0.0,14.7260302002,0.0,100310.0,2.50519512499,11.1934322931,12.8458027947,12.8458027947,94.4,11.1934322931,0.0
"-37.81149516661884, 144.99078884228206",East Melbourne,-37.811495,144.990789,"{""coordinates"": [[[[144.9907488198113, -37.81134808060225], [144.99087859411338, -37.811362820421245], [144.99082959178037, -37.81164177458909], [144.99069855377036, -37.8116271221903], [144.9907488198113, -37.81134808060225]]]], ""type"": ""MultiPolygon""}",20.2724853112,0.0,93.0603361423,0.0,93.0603361423,0.0,100315.0,20.2724853112,72.4679820474,82.2263697,82.2263697,415.06,72.4679820474,0.0
"-37.81143264813047, 144.98966238524966",East Melbourne,-37.811433,144.989662,"{""coordinates"": [[[[144.98973468791147, -37.811232890954976], [144.98966140360295, -37.81164652141744], [144.98959214649864, -37.811638417932], [144.9896593256044, -37.81122433002229], [144.98973468791147, -37.811232890954976]]]], ""type"": ""MultiPolygon""}",2.16241833135,0.0,13.0192424372,0.0,13.0192424372,0.0,100328.0,2.16241833135,10.0215359404,11.4873429325,11.4873429325,138.6,10.0215359404,0.0
"-37.80907045375789, 144.97468013658758",Melbourne CBD,-37.80907,144.97468,"{""coordinates"": [[[[144.97483569700964, -37.808858095670416], [144.9747557613308, -37.80930727751671], [144.9745243801755, -37.80928264095923], [144.9745998792807, -37.80886077338289], [144.97460475758095, -37.80883351374338], [144.97481095822639, -37.8088554623173], [144.97483569700964, -37.808858095670416]]]], ""type"": ""MultiPolygon""}",847.350635027,847.350625,0.0,938.867241,938.867241,909.981071,100339.0,0.0,880.108528,909.981071,0.0,0.0,0.0,880.108528
"-37.80933252498838, 144.97630920098015",East Melbourne,-37.809333,144.976309,"{""coordinates"": [[[[144.9764194145815, -37.809198252786906], [144.97637063865906, -37.809484961650476], [144.97619900201198, -37.8094673244929], [144.97624795445765, -37.809179582385916], [144.9764194145815, -37.809198252786906]]]], ""type"": ""MultiPolygon""}",62.9484210269,62.948411,0.0,67.943938,67.943938,66.385945,100340.0,0.0,64.754883,66.385945,0.0,0.0,0.0,64.754883
"-37.80949282508112, 144.97786433711542",East Melbourne,-37.809493,144.977864,"{""coordinates"": [[[[144.97792477355642, -37.809347308142264], [144.97787303415407, -37.809648546965676], [144.97780513721648, -37.809641210612504], [144.97785364791864, -37.80933904403551], [144.97792477355642, -37.809347308142264]]]], ""type"": ""MultiPolygon""}",46.3185360269,46.318526,0.0,51.312753,51.312753,49.734468,100350.0,0.0,48.103301,49.734468,0.0,0.0,0.0,48.103301
"-37.80950078922576, 144.97793361938452",East Melbourne,-37.809501,144.977934,"{""coordinates"": [[[[144.97787303412952, -37.809648547866416], [144.9779247735318, -37.80934730904303], [144.9779957001567, -37.80935474961713], [144.97799214367672, -37.8093723642632], [144.9779884248434, -37.809388768542], [144.97798343214228, -37.809416143522185], [144.97797935988712, -37.80944379564933], [144.97794376643589, -37.809639805378865], [144.977941006954, -37.80965589269312], [144.97787303412952, -37.809648547866416]]]], ""type"": ""MultiPolygon""}",1.002694e-05,0.0,0.0,0.0,0.0,0.0,100351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"-37.81040520054058, 144.98676853350443",East Melbourne,-37.810405,144.986769,"{""coordinates"": [[[[144.9867584692809, -37.81063335838179], [144.98670289204313, -37.81062738317658], [144.98677907805296, -37.810176235002345], [144.98683400061572, -37.81018196196526], [144.9867584692809, -37.81063335838179]]]], ""type"": ""MultiPolygon""}",5.79655109471,0.0,33.9145652675,0.0,33.9145652675,0.0,100364.0,5.79655109471,26.0406097162,29.8503544817,29.8503544817,276.21,26.0406097162,0.0
"-37.81049850111596, 144.98694601699975",East Melbourne,-37.810499,144.986946,"{""coordinates"": [[[[144.98693657611304, -37.81034363804428], [144.98700446732553, -37.810350743750305], [144.98695456463128, -37.81065443800258], [144.98688810429, -37.81064729364469], [144.98693657611304, -37.81034363804428]]]], ""type"": ""MultiPolygon""}",4.3331979858,0.0,25.3527368177,0.0,25.3527368177,0.0,100367.0,4.3331979858,19.4665837377,22.3145476028,22.3145476028,206.48,19.4665837377,0.0
