,date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),SouthernCrossCount,VictoriaPointCount,FlindersStSparkLaneCount,CollinsPlaceNorth,BourkeStMallSouth
181,2015-07-01,0,7.4,15.0,6.9,0.0,5327.0,16654.0,3236.0,10661.0,25805.0
182,2015-07-02,0,10.3,11.9,7.0,0.6,5376.0,16792.0,3260.0,10619.0,25761.0
183,2015-07-03,0,5.9,12.0,5.0,2.6,5860.0,16322.0,4615.0,10384.0,31272.0
184,2015-07-04,0,7.3,10.6,2.8,0.0,1821.0,1998.0,2977.0,2388.0,24788.0
185,2015-07-05,0,8.2,14.9,8.2,2.0,1617.0,1918.0,2866.0,1977.0,22135.0
186,2015-07-06,0,7.5,11.5,4.4,1.6,4601.0,14301.0,2945.0,10148.0,22565.0
187,2015-07-07,0,7.4,14.2,7.0,2.2,5191.0,16283.0,3093.0,10756.0,24453.0
188,2015-07-08,0,4.9,14.8,8.5,0.2,5054.0,15709.0,3450.0,10030.0,26007.0
189,2015-07-09,0,6.5,13.4,3.5,0.0,5339.0,16210.0,3487.0,10573.0,27675.0
190,2015-07-10,0,7.6,14.3,5.8,0.0,5654.0,15843.0,4447.0,10278.0,31802.0
191,2015-07-11,0,10.9,13.1,3.7,0.2,1716.0,2016.0,3052.0,2215.0,23296.0
192,2015-07-12,0,3.4,12.3,2.9,1.6,693.0,949.0,1152.0,1127.0,13870.0
193,2015-07-13,0,6.1,12.7,4.2,28.4,4711.0,15515.0,2662.0,10451.0,19861.0
194,2015-07-14,0,8.1,9.8,4.8,3.8,4975.0,16224.0,2645.0,10678.0,18407.0
195,2015-07-15,0,5.8,10.5,7.4,3.6,4991.0,16541.0,3170.0,10623.0,21102.0
196,2015-07-16,0,6.6,12.3,8.1,0.2,5311.0,16886.0,3430.0,11006.0,24521.0
197,2015-07-17,0,7.3,12.3,6.5,2.4,5881.0,16346.0,3744.0,10660.0,29065.0
198,2015-07-18,0,6.1,11.5,9.5,0.4,2211.0,2265.0,6930.0,3773.0,29793.0
199,2015-07-19,0,0.6,12.1,9.7,0.0,1748.0,1806.0,3481.0,1923.0,22730.0
200,2015-07-20,0,1.8,14.7,9.7,0.0,5167.0,15815.0,4331.0,10299.0,23073.0
201,2015-07-21,0,4.2,17.0,8.6,0.0,5543.0,17701.0,5474.0,11326.0,22279.0
202,2015-07-22,0,11.4,16.6,6.0,1.6,5458.0,16924.0,4118.0,10654.0,23040.0
203,2015-07-23,0,5.1,16.1,9.5,0.0,5616.0,17475.0,4410.0,11554.0,28660.0
204,2015-07-24,0,7.6,15.0,4.4,1.2,6367.0,17892.0,8467.0,11691.0,34578.0
205,2015-07-25,0,9.4,13.3,7.7,0.8,3291.0,2651.0,3958.0,3002.0,29907.0
206,2015-07-26,0,8.1,11.6,8.5,3.2,1705.0,1803.0,4119.0,3388.0,21064.0
207,2015-07-27,0,6.2,13.9,9.6,0.8,5108.0,15925.0,2998.0,11322.0,21017.0
208,2015-07-28,0,7.9,14.4,10.2,0.0,5467.0,16792.0,3610.0,11725.0,20696.0
209,2015-07-29,0,8.4,14.0,9.0,0.0,5417.0,16618.0,3228.0,10739.0,23335.0
210,2015-07-30,0,8.6,12.3,4.5,0.0,5835.0,16595.0,2969.0,10756.0,21232.0
211,2015-07-31,0,4.1,14.0,10.8,0.6,6029.0,16332.0,4876.0,10991.0,29405.0
212,2015-08-01,0,6.5,11.4,4.2,0.2,1788.0,1766.0,2892.0,2345.0,25938.0
213,2015-08-02,0,7.8,14.9,8.3,0.0,1549.0,1304.0,2090.0,1435.0,21372.0
214,2015-08-03,0,7.3,10.8,9.4,6.4,5127.0,15791.0,2800.0,10182.0,20031.0
215,2015-08-04,0,3.5,11.3,7.1,0.0,5382.0,16598.0,3152.0,10886.0,20083.0
216,2015-08-05,0,6.6,10.8,8.0,1.0,5363.0,16169.0,3057.0,10713.0,21107.0
217,2015-08-06,0,7.1,12.8,7.0,1.6,5290.0,16421.0,2801.0,11509.0,22614.0
218,2015-08-07,0,9.0,13.1,9.0,1.4,5824.0,16090.0,3709.0,10655.0,28762.0
219,2015-08-08,0,8.8,12.6,6.6,0.4,1936.0,2109.0,3581.0,2378.0,28207.0
220,2015-08-09,0,7.7,13.3,6.9,0.0,1324.0,1528.0,2719.0,1676.0,22165.0
221,2015-08-10,0,8.3,16.0,10.7,0.2,5235.0,16123.0,3079.0,10699.0,21625.0
222,2015-08-11,0,7.8,14.8,11.7,0.8,5589.0,16828.0,3201.0,10862.0,21260.0
223,2015-08-12,0,9.3,14.8,9.2,0.0,5226.0,16664.0,3189.0,10954.0,22330.0
224,2015-08-13,0,8.4,13.0,7.0,0.2,5520.0,16788.0,3213.0,11087.0,23294.0
225,2015-08-14,0,10.4,15.3,7.3,0.0,6010.0,15962.0,3720.0,10861.0,29426.0
226,2015-08-15,0,10.0,14.9,10.9,0.4,2051.0,2540.0,4330.0,3459.0,28879.0
227,2015-08-16,0,4.7,17.0,9.5,0.2,1414.0,1757.0,2538.0,1748.0,22642.0
228,2015-08-17,0,6.8,12.2,9.9,2.4,5182.0,15991.0,4015.0,10410.0,19860.0
229,2015-08-18,0,6.1,11.1,9.8,0.6,5595.0,16511.0,2790.0,10569.0,20220.0
230,2015-08-19,0,5.5,12.7,10.2,0.0,5505.0,16384.0,3121.0,10664.0,22043.0
231,2015-08-20,0,6.1,17.1,12.7,0.0,5949.0,16601.0,3265.0,10767.0,24167.0
232,2015-08-21,0,10.9,18.7,4.1,0.0,6393.0,16121.0,3413.0,10789.0,30101.0
233,2015-08-22,0,11.8,18.8,11.8,0.0,2084.0,2423.0,3528.0,2447.0,29164.0
234,2015-08-23,0,7.9,16.3,13.1,0.0,1285.0,1505.0,2285.0,1466.0,21013.0
235,2015-08-24,0,8.5,14.5,9.6,0.0,5267.0,16231.0,2875.0,10530.0,21105.0
236,2015-08-25,0,9.5,14.3,8.1,0.0,5650.0,16895.0,2877.0,10844.0,20878.0
237,2015-08-26,0,9.2,14.6,7.8,0.2,5717.0,16160.0,3032.0,10709.0,22679.0
238,2015-08-27,0,9.8,11.7,2.7,0.8,4854.0,16413.0,2372.0,11737.0,20573.0
239,2015-08-28,0,8.1,13.2,12.2,17.4,6133.0,16574.0,3828.0,10812.0,32945.0
240,2015-08-29,0,6.3,11.7,9.1,1.8,1681.0,1857.0,2834.0,2020.0,26302.0
241,2015-08-30,0,7.9,12.5,14.3,2.2,2120.0,1772.0,2295.0,1426.0,22143.0
242,2015-08-31,0,8.1,13.0,11.5,0.0,5270.0,16189.0,2861.0,10373.0,20761.0
243,2015-09-01,0,5.1,16.2,15.7,0.0,5345.0,16109.0,3332.0,10915.0,21889.0
244,2015-09-02,0,8.0,18.8,10.5,0.0,5273.0,16057.0,3103.0,10464.0,21907.0
245,2015-09-03,0,10.6,14.0,8.0,4.4,5467.0,16646.0,3094.0,10480.0,22863.0
246,2015-09-04,0,8.7,13.7,13.0,0.0,5929.0,14271.0,4044.0,8927.0,27569.0
247,2015-09-05,0,10.2,14.0,14.8,0.0,1402.0,1727.0,2881.0,2415.0,26374.0
248,2015-09-06,0,5.8,16.6,11.8,0.0,1150.0,1216.0,1958.0,1416.0,18626.0
249,2015-09-07,0,8.9,13.6,9.2,3.6,3586.0,16399.0,3498.0,10710.0,20107.0
250,2015-09-08,0,8.8,12.8,11.1,2.0,3805.0,16438.0,3199.0,10424.0,20006.0
251,2015-09-09,0,10.0,15.3,11.4,0.0,4405.0,16519.0,3330.0,10482.0,21142.0
252,2015-09-10,0,10.0,15.7,17.3,0.0,5456.0,17485.0,3948.0,11326.0,24530.0
253,2015-09-11,0,5.1,20.1,17.7,0.0,5673.0,15834.0,3824.0,10253.0,29607.0
254,2015-09-12,0,12.2,21.7,10.2,0.0,1135.0,1862.0,4272.0,2518.0,27279.0
