Asset_Type,Equipment_ID,Date_Install,Longitude,Latitude,STREET_1,STREET_2,Suburb,RMS_Region
VEH ,2311,29-Aug-38,151.205273085,-33.8742240406,KENT ST,BATHURST ST,SYDNEY,Sydney
VEH ,2312,29-Jan-63,151.208013132,-33.8744896608,PITT ST,BATHURST ST,SYDNEY,Sydney
VEH ,2313,17-Mar-88,151.748569073,-32.9155957459,MAITLAND RD,GEORGE ST,ISLINGTON,Hunter
VEH ,2314,19-Mar-85,150.848300775,-34.0294615174,PEMBROKE RD,REDFERN RD,MINTO,Sydney
VEH ,2315,15-Nov-91,151.275644386,-33.8898569466,CAMPBELL PDE,CURLEWIS ST,BONDI BEACH,Sydney
VEH ,2316,25-Oct-90,150.900240077,-34.3835434386,NORTHERN DIST.,TOWRADGI RD,TOWRADGI,Southern
VEH ,2317,17-Dec-92,150.90070954,-34.3735663304,NORTHERN DIST.,RAILWAY ST,CORRIMAL,Southern
VEH ,2318,17-Dec-92,150.903767915,-34.3671691341,NORTHERN DIST.,ROTHERY ST,CORRIMAL,Southern
VEH ,2319,23-Dec-81,150.605091826,-34.8769904884,EAST ST,WORRIGEE ST,NOWRA,Southern
VEH ,2320,12-Nov-82,151.135612824,-33.6554122767,PACIFIC HWY,GLENVIEW RD,MT KURING-GAI,Sydney
PED ,2321,24-Nov-66,151.212443007,-33.8749515048,COLLEGE ST,STANLEY ST (N-),SYDNEY,Sydney
VEH ,2322,29-Jan-63,151.207842601,-33.8766426932,PITT ST,LIVERPOOL ST,SYDNEY,Sydney
VEH ,2323,24-Nov-83,151.254399034,-33.8965090496,BIRRELL ST,CARRINGTON RD,WAVERLEY,Sydney
VEH ,2324,24-Nov-83,151.255136965,-33.8928067936,BONDI RD,WAVERLEY ST,BONDI JUNCTION,Sydney
VEH ,2325,07-Jun-82,153.543727701,-28.198476823,MINJUNBAL DR,KIRKWOOD RD,SOUTH TWEED HEADS,Northern
VEH ,2326,26-Mar-82,153.543923828,-28.2000613537,MINJUNBAL DR,BLUNDELL BLVD,SOUTH TWEED HEADS,Northern
VEH ,2327,02-Oct-91,150.984430002,-33.8719368001,WOODVILLE RD,GURNEY RD,VILLAWOOD,Sydney
VEH ,2328,05-Nov-87,150.965455975,-33.8118161101,CUMBERLAND HWY,SMITH ST,WENTWORTHVILLE,Sydney
VEH ,2329,24-Feb-86,150.971127841,-33.8028541002,CUMBERLAND HWY,DARCY RD,WENTWORTHVILLE,Sydney
VEH ,2330,13-Feb-03,151.084034268,-33.7280012048,PENNANT HILLS RD,LOCH MAREE AV,THORNLEIGH,Sydney
VEH ,2331,27-Jan-88,151.203401694,-33.8740437425,BATHURST ST,DAY ST,SYDNEY,Sydney
VEH ,2332,29-Jan-63,151.207428192,-33.8780983644,PITT ST,GOULBURN ST,SYDNEY,Sydney
VEH ,2333,18-Nov-82,151.087409099,-33.8706322122,HOMEBUSH RD,BERESFORD RD,HOMEBUSH,Sydney
VEH ,2334,07-Oct-82,150.950147044,-33.7873022164,CORNELIA RD,RAILWAY OVERPASS,TOONGABBIE,Sydney
VEH ,2335,20-Nov-88,151.692434501,-32.9630359127,CHAPMAN ST,CANBERRA ST,CHARLESTOWN,Hunter
VEH ,2336,26-May-03,151.512191437,-33.2137159072,PACIFIC HWY,GOORAMA AV,SAN REMO,Hunter
PED ,2337,24-Jun-82,151.182912339,-33.8266741224,RIVER RD,ST VINCENTS RD (W-),GREENWICH,Sydney
VEH ,2338,27-Sep-91,151.682641741,-32.9924534387,LAKE ST,SOUTH ST,WINDALE,Hunter
VEH ,2339,20-Dec-84,151.03835456,-33.9296286924,STACEY ST,STACEY ST DEVIATION,BANKSTOWN,Sydney
VEH ,2340,16-Dec-83,151.094095027,-33.8644004401,CONCORD RD,SYDNEY ST,NORTH STRATHFIELD,Sydney
VEH ,2341,29-Jan-63,151.208458669,-33.8796549057,CASTLEREAGH ST,CAMPBELL ST,SYDNEY,Sydney
VEH ,2342,29-Jan-63,151.207063685,-33.879385997,PITT ST,CAMPBELL ST,SYDNEY,Sydney
VEH ,2343,28-Mar-83,150.910346175,-34.3680657281,PIONEER RD,ROTHERY RD,BELLAMBI,Southern
VEH ,2345,15-Dec-82,150.988289369,-33.8239350078,BURNETT ST,M4 E/B ON RAMP,MERRYLANDS,Sydney
VEH ,2346,22-Mar-89,151.110032566,-33.7186614484,PACIFIC HWY,F3 N/B ON RAMP,WAHROONGA,Sydney
VEH ,2347,12-May-89,151.104046169,-33.9627614769,QUEENS RD,THE AVENUE,HURSTVILLE,Sydney
VEH ,2348,16-Nov-90,151.107950887,-33.9673212698,FOREST RD,THE AVENUE,HURSTVILLE,Sydney
VEH ,2349,12-Apr-94,151.108270963,-33.967829975,TREACY ST,THE AVENUE,HURSTVILLE,Sydney
VEH ,2350,07-Jun-89,151.104910579,-33.9655161395,PARK RD,CROSS ST,HURSTVILLE,Sydney
VEH ,2351,30-Dec-97,151.101017191,-33.9645615593,QUEENS RD,DORA ST,HURSTVILLE,Sydney
PED ,2352,22-Oct-90,151.644693419,-32.927814783,LAKE RD,MANUEL ST (W-),GLENDALE,Hunter
VEH ,2354,20-May-91,151.630284557,-32.9259716809,MAIN RD,NEILSON ST,EDGEWORTH,Hunter
VEH ,2355,02-Jul-97,151.660724547,-32.9133493348,LAKE RD,CROUDACE RD,ELERMORE VALE,Hunter
VEH ,2356,11-Oct-90,151.355358455,-32.8398163192,VINCENT ST,ABERDARE RD,CESSNOCK,Hunter
VEH ,2358,25-Jun-87,151.057922571,-33.9028353319,WATERLOO RD,RAWSON RD,GREENACRE,Sydney
VEH ,2360,18-Aug-90,150.959408417,-33.8741657867,LAWSON ST,VINE ST,FAIRFIELD,Sydney
VEH ,2363,30-Nov-93,151.668446313,-32.907011192,THOMAS ST,WALFORD ST,WALLSEND,Hunter
VEH ,2364,26-Jul-90,151.228287129,-33.9467597788,BUNNERONG RD,SMITH ST,HILLSDALE,Sydney
VEH ,2365,09-Dec-91,151.136790255,-33.9662016226,PRINCES HWY,SOUTH ST,KOGARAH,Sydney
VEH ,2366,09-Nov-90,153.540069344,-28.187314539,MINJUNBAL DR,DRY DOCK RD,SOUTH TWEED HEADS,Northern
VEH ,2367,12-Aug-91,150.994964847,-33.824150213,PITT ST,RAILWAY ST,MERRYLANDS,Sydney
VEH ,2369,14-Sep-92,151.742881939,-32.9189303632,DONALD ST,SAMDON ST,HAMILTON,Hunter
VEH ,2372,03-Oct-91,151.010053695,-33.7312963527,OLD NORTHERN RD,MCMULLEN AV,CASTLE HILL,Sydney
VEH ,2374,03-Apr-87,150.710261082,-33.7680362064,PARKER ST,SMITH ST,PENRITH,Sydney
VEH ,2375,13-Jun-91,150.920360749,-33.7826394865,BLACKTOWN RD,ST MARTINS CR,BLACKTOWN,Sydney
VEH ,2378,18-Dec-91,150.913367714,-33.8508518349,THE HORSLEY DR,TAFE ENTRANCE (@),WETHERILL PARK,Sydney
VEH ,2381,02-Dec-94,150.890556295,-33.9273989376,HOXTON PARK RD,CARTWRIGHT AV,CARTWRIGHT,Sydney
PED ,2382,21-Nov-65,151.209553158,-33.8700220696,CASTLEREAGH ST,MARKET ST (N-),SYDNEY,Sydney
VEH ,2383,28-Jan-94,150.892511528,-33.8523676696,THE HORSLEY DR,MIMOSA RD,WETHERILL PARK,Sydney
VEH ,2384,26-Aug-93,151.018553076,-33.7247298382,OLD NORTHERN RD,OLD CASTLE HILL RD,CASTLE HILL,Sydney
VEH ,2385,05-May-87,150.757901253,-33.7682533803,GREAT WESTERN HWY,WERRINGTON RD,WERRINGTON,Sydney
VEH ,2389,25-Nov-93,150.898662324,-33.9076929879,ELIZABETH DR,NORTH LIVERPOOL RD,MT PRITCHARD,Sydney
VEH ,2392,27-Aug-93,150.918631409,-33.9078574403,CUMBERLAND HWY,ACCESS RD,LIVERPOOL,Sydney
VEH ,2393,20-Mar-07,150.983867739,-33.8033119608,DARCY RD,MONS RD,WESTMEAD,Sydney
VEH ,2395,31-Oct-90,150.833470758,-34.025746225,CAMPBELLTOWN RD,BEN LOMOND RD,MINTO,Sydney
VEH ,2396,07-May-85,151.124534417,-33.9685225516,JUBILEE AV,RAILWAY PDE,CARLTON,Sydney
VEH,2399,13-Feb-18,151.01745,-33.94865,The River RD,Bransgrove RD,Revesby,
VEH ,2400,30-Oct-92,151.034779329,-33.9450300148,FAIRFORD RD,DAVIES RD,PADSTOW,Sydney
PED ,2402,28-Apr-65,151.207091226,-33.8674231381,GEORGE ST,MARTIN PL (@),SYDNEY,Sydney
VEH ,2403,24-Feb-92,151.034288274,-33.9243988184,MACAULEY AV,RESTWELL ST,BANKSTOWN,Sydney
VEH ,2404,02-Aug-84,150.802697798,-33.7766651045,GREAT WESTERN HWY,HEWITT ST,COLYTON,Sydney
VEH ,2405,31-May-90,151.17256241,-33.8915377661,SALISBURY RD,KINGSTON RD,CAMPERDOWN,Sydney
PED ,2407,14-Jun-84,151.128171176,-33.9455236305,FOREST RD,FREDERICK ST (N-),BEXLEY,Sydney
VEH ,2408,24-Jul-87,150.604897099,-33.7378013371,GREAT WESTERN HWY,WILSON WAY,BLAXLAND,Sydney
VEH ,2410,04-Mar-99,150.861284758,-34.0103758825,CUMBERLAND RD,SACKVILLE ST,INGLEBURN,Sydney
PED ,2411,30-Sep-92,151.682087336,-32.9577734653,HILLSBOROUGH RD,WARATAH AV,HILLSBOROUGH,Hunter
VEH ,2412,01-Sep-87,150.93880528,-33.7710559537,PROSPECT HWY,LUCAS RD,SEVEN HILLS,Sydney
VEH ,2415,08-Jan-85,150.803101444,-34.5679888982,PRINCES HWY,TONGARRA RD,ALBION PARK RAIL,Southern
VEH ,2416,11-Aug-95,151.043813048,-33.7291395892,BOUNDARY RD,FRANCIS GREENWAY DR,CHERRYBROOK,Sydney
VEH ,2417,13-Aug-85,150.903682021,-33.8004161075,GREAT WESTERN HWY,FLUSHCOMBE RD,PROSPECT,Sydney
VEH ,2418,20-Sep-84,150.864682781,-33.8834459592,ELIZABETH DR,COWPASTURE RD,BONNYRIGG,Sydney
VEH ,2419,25-Feb-00,151.074776638,-33.7351089258,YARRARA RA RD,STEVENS ST,PENNANT HILLS,Sydney
VEH ,2420,13-Aug-90,151.187869143,-33.9202784347,GARDENERS RD,BOURKE RD,MASCOT,Sydney
VEH ,2423,25-Oct-83,151.054694572,-33.9391704016,BELMORE RD,WIGGS RD,RIVERWOOD,Sydney
VEH ,2424,27-Aug-84,150.944337771,-33.7738746402,POWERS RD,STATION RD,SEVEN HILLS,Sydney
VEH ,2425,08-Feb-85,150.962916421,-33.8696157902,FAIRFIELD ST,THE HORSLEY ON/OFF RAMPS,FAIRFIELD,Sydney
VEH ,2426,16-Sep-07,150.963888009,-33.8691590907,FAIRFIELD ST,PINE RD,FAIRFIELD EAST,Sydney
VEH ,2427,13-Dec-84,150.947028676,-33.8478494047,CUMBERLAND HWY,LONG ST,SMITHFIELD,Sydney
VEH ,2428,03-Sep-86,150.914673194,-33.7735242268,MAIN ST,BLACKTOWN RD,BLACKTOWN,Sydney
VEH ,2429,30-Jul-85,151.593560639,-32.7599490365,NEW ENGLAND HWY,MITCHELL DR,EAST MAITLAND,Hunter
VEH ,2430,15-Aug-85,150.897429777,-33.8940520494,CABRAMATTA RD,HUMPHRIES RD,BONNYRIGG,Sydney
VEH ,2431,06-Oct-93,150.711962514,-33.7756767775,PARKER ST,THE NORTHERN RD,KINGSWOOD,Sydney
VEH ,2432,20-Jul-88,150.916994552,-33.7433281529,SUNNYHOLT RD,MADAGASCAR DR,KINGS PARK,Sydney
VEH ,2433,18-Apr-84,150.91434699,-33.7579074268,SUNNYHOLT RD,BESSEMER ST,BLACKTOWN,Sydney
