node_id,longitude,latitude,geometry
11749957878,145.1394517,-37.6773362,POINT (145.1394517 -37.6773362)
11749957879,145.1395556,-37.6774021,POINT (145.1395556 -37.6774021)
11749957880,145.1396342,-37.6773161,POINT (145.1396342 -37.6773161)
11750274233,145.1013053,-37.7629889,POINT (145.1013053 -37.7629889)
11750274238,145.1013431,-37.7629725,POINT (145.1013431 -37.7629725)
11750274322,145.1033612,-37.7649545,POINT (145.1033612 -37.7649545)
11750274324,145.1036816,-37.7647918,POINT (145.1036816 -37.7647918)
11750274327,145.1036164,-37.7650047,POINT (145.1036164 -37.7650047)
11750274329,145.103625,-37.7649662,POINT (145.103625 -37.7649662)
11750274337,145.1036366,-37.764911,POINT (145.1036366 -37.764911)
11750274343,145.1036765,-37.7649275,POINT (145.1036765 -37.7649275)
11750274344,145.1036807,-37.7649031,POINT (145.1036807 -37.7649031)
11750274493,145.1045912,-37.7650194,POINT (145.1045912 -37.7650194)
11750274549,145.1046013,-37.7613629,POINT (145.1046013 -37.7613629)
11750274550,145.1043355,-37.7613149,POINT (145.1043355 -37.7613149)
11750274554,145.1054129,-37.761452,POINT (145.1054129 -37.761452)
11750274559,145.1074145,-37.7625819,POINT (145.1074145 -37.7625819)
11750274604,145.1043065,-37.7599986,POINT (145.1043065 -37.7599986)
11750274614,145.1045577,-37.7600126,POINT (145.1045577 -37.7600126)
11750274641,145.1051397,-37.7581264,POINT (145.1051397 -37.7581264)
11750274642,145.1054694,-37.7578091,POINT (145.1054694 -37.7578091)
11750274643,145.1053884,-37.7582837,POINT (145.1053884 -37.7582837)
11750274644,145.1054299,-37.7581594,POINT (145.1054299 -37.7581594)
11750274650,145.1057041,-37.7579895,POINT (145.1057041 -37.7579895)
11750274652,145.105466,-37.7579492,POINT (145.105466 -37.7579492)
11750274655,145.1054627,-37.7579685,POINT (145.1054627 -37.7579685)
11750274656,145.1053881,-37.7581645,POINT (145.1053881 -37.7581645)
11752108225,145.1006001,-37.7615285,POINT (145.1006001 -37.7615285)
11752108226,145.1008945,-37.761292,POINT (145.1008945 -37.761292)
