,Suburb,Postcode,Address,Price pw,Date available,Number of bedrooms,Number of bathrooms,Number of carspaces,Type of property,suburb_formatted,address_formatted,latitude,longitude
238,Reservoir,3073,"195 Purinuan Road, Reservoir, Vic 3073",695,25/8/2025,4,1,2,House,reservoir,"195 Purinuan Road, Reservoir, Vic",-37.7073159,145.0125092
239,Richmond,3121,"17 Campbell Street, Richmond, Vic 3121",1000,11/8/2025,3,2,1,House,richmond,"17 Campbell Street, Richmond, Vic",-37.8229923,145.0133025
240,Richmond,3121,"145 Coppin Street, Richmond, Vic 3121",775,20/8/2025,2,1,0,House,richmond,"145 Coppin Street, Richmond, Vic",-37.8233133,145.0032252
241,Richmond,3121,"208/9 Griffiths Street, Richmond, Vic 3121",800,13/8/2025,2,2,1,Apartment,richmond,"9 Griffiths Street, Richmond, Vic",-37.8168541,145.0035512
243,Richmond,3121,"519/14 David Street, Richmond, Vic 3121",575,15/8/2025,1,1,1,Apartment,richmond,"14 David Street, Richmond, Vic",-37.8154472,145.0111626
244,Sunbury,3429,"Unit 1/100-104 Anderson Road, Sunbury, Vic 3429",530,26/8/2025,4,2,2,House,sunbury,"100-104 Anderson Road, Sunbury, Vic",-37.5827116,144.7187953
245,Sunbury,3429,"11 Palmatum Street, Sunbury, Vic 3429",640,13/8/2025,4,2,2,House,sunbury,"11 Palmatum Street, Sunbury, Vic",-37.6161862,144.7731608
246,Sunbury,3429,"11 Wills Street, Sunbury, Vic 3429",530,8/8/2025,3,2,3,House,sunbury,"11 Wills Street, Sunbury, Vic",-37.5796571,144.7116599
247,Sunbury,3429,"1/20 Vaughan Street, Sunbury, Vic 3429",430,6/8/2025,3,2,2,House,sunbury,"20 Vaughan Street, Sunbury, Vic",-37.5825252,144.7368779
248,Sunbury,3429,"254 Gap Road, Sunbury, Vic 3429",500,6/8/2025,3,1,4,House,sunbury,"254 Gap Road, Sunbury, Vic",-37.5770835,144.6993997
249,Sunbury,3429,"16 Dalkeith Court, Sunbury, Vic 3429",630,6/8/2025,4,2,2,House,sunbury,"16 Dalkeith Court, Sunbury, Vic",-37.5675787,144.707385
250,Deer Park,3023,"15 Loxwood Court, Deer Park, Vic 3023",550,6/8/2025,3,2,2,House,deerpark,"15 Loxwood Court, Deer Park, Vic",-37.7803786,144.7553607
251,Deer Park,3023,"36 Welwyn Parade, Deer Park, Vic 3023",475,7/8/2025,3,1,2,House,deerpark,"36 Welwyn Parade, Deer Park, Vic",-37.7632949,144.7714251
252,Deer Park,3023,"12A Quinn Street, Deer Park, Vic 3023",520,7/8/2025,3,2,2,House,deerpark,"12A Quinn Street, Deer Park, Vic",-37.7715417,144.7586895
253,Deer Park,3023,"77 Billingham Road, Deer Park, Vic 3023",500,6/8/2025,3,1,2,House,deerpark,"77 Billingham Road, Deer Park, Vic",-37.759311,144.7669749
254,Deer Park,3023,"19 Aycliffe Drive, Deer Park, Vic 3023",470,7/8/2025,3,1,1,House,deerpark,"19 Aycliffe Drive, Deer Park, Vic",-37.7528582,144.7647377
255,Williamstown,3016,"10 Tedesco Circuit, Williamstown, Vic 3016",850,7/8/2025,4,4,2,Townhouse,williamstown,"10 Tedesco Circuit, Williamstown, Vic",-37.8554647,144.8725752
256,Williamstown,3016,"23 Kororoit Creek Road, Williamstown, Vic 3016",999,7/8/2025,4,3,2,Townhouse,williamstown,"23 Kororoit Creek Road, Williamstown, Vic",-37.8578658,144.8876827
257,Williamstown,3016,"5/70 Kororoit Creek Road, Williamstown, Vic 3016",600,7/8/2025,3,2,2,Townhouse,williamstown,"70 Kororoit Creek Road, Williamstown, Vic",-37.8571206,144.8839608
258,Williamstown,3016,"1 Syme Street, Williamstown, Vic 3016",950,7/8/2025,1,1,1,House,williamstown,"1 Syme Street, Williamstown, Vic",-37.8628329,144.9048103
259,Williamstown,3016,"G01/190 Ferguson Street, Williamstown, Vic 3016",600,7/8/2025,2,2,1,Townhouse,williamstown,"190 Ferguson Street, Williamstown, Vic",-37.8578273,144.8905654
260,Yarraville,3013,"169 Stephen Street, Yarraville, Vic 3013",715,11/8/2025,3,1,2,House,yarraville,"169 Stephen Street, Yarraville, Vic",-37.8196935,144.8939666
261,Yarraville,3013,"9/131 Somerville Road, Yarraville, Vic 3013",420,7/8/2025,2,1,1,Apartment,yarraville,"131 Somerville Road, Yarraville, Vic",-37.8132691,144.8843165
262,Yarraville,3013,"2/12 Charlotte Street, Yarraville, Vic 3013",720,4/9/2025,3,1,2,Unit,yarraville,"12 Charlotte Street, Yarraville, Vic",-37.8120288,144.872158
263,Yarraville,3013,"604/125 Francis Street, Yarraville, Vic 3013",700,19/8/2025,3,2,2,Apartment,yarraville,"125 Francis Street, Yarraville, Vic",-37.8211765,144.8867744
264,Yarraville,3013,"501/125 Francis, Yarraville, Vic 3013",620,7/8/2025,2,2,1,Apartment,yarraville,"125 Francis, Yarraville, Vic",-37.8211765,144.8867744
266,Melton,3337,"85 Centenary Avenue, Melton, Vic 3337",430,7/8/2025,3,2,1,House,melton,"85 Centenary Avenue, Melton, Vic",-37.6761062,144.5959203
270,Truganina,3029,"8 Sama Promenade, Truganina, Vic 3029",570,8/8/2025,4,2,2,House,truganina,"8 Sama Promenade, Truganina, Vic",-37.7554742,144.67418
271,Truganina,3029,"13 Aylesbury Avenue, Truganina, Vic 3029",540,7/8/2025,4,2,2,House,truganina,"13 Aylesbury Avenue, Truganina, Vic",-37.833851,144.7078903
272,Truganina,3029,"2/25-27 Starflower Way, Truganina, Vic 3029",540,22/8/2025,4,2,1,Townhouse,truganina,"25-27 Starflower Way, Truganina, Vic",-37.8404678,144.7207227
273,Truganina,3029,"2/39 Horseshoe Circuit, Truganina, Vic 3029",540,7/8/2025,3,2,1,House,truganina,"39 Horseshoe Circuit, Truganina, Vic",-37.8409733,144.7221427
274,Truganina,3029,"2 Clayfield Boulevard, Truganina, Vic 3029",510,18/8/2025,3,2,1,Townhouse,truganina,"2 Clayfield Boulevard, Truganina, Vic",-37.8622589,144.7249117
275,Essendon,3040,"29 Peterleigh Grove, Essendon, Vic 3040",600,7/8/2025,3,1,2,House,essendon,"29 Peterleigh Grove, Essendon, Vic",-37.748545,144.9218971
276,Essendon,3040,"7/91 Lincoln Road, Essendon, Vic 3040",450,25/8/2025,1,1,1,Unit,essendon,"91 Lincoln Road, Essendon, Vic",-37.7487428,144.9091268
277,Essendon,3040,"2/91 Tennyson Street, Essendon, Vic 3040",550,29/8/2025,2,1,1,Unit,essendon,"91 Tennyson Street, Essendon, Vic",-37.7570612,144.9298892
278,Essendon,3040,"49A Waverley St, Essendon, Vic 3040",800,28/8/2025,3,2,1,Townhouse,essendon,"49A Waverley St, Essendon, Vic",-37.756967,144.9071078
279,Essendon,3040,"22 Levien St, Essendon, Vic 3040",940,25/8/2025,4,3,3,House,essendon,"22 Levien St, Essendon, Vic",-37.758763,144.9120776
