Geo Point,Geo Shape,prop_id,name,addresspt1,xorg,ext_id,asset_clas,label,asset_type,easting,northing,str_id,addresspt_,asset_subt,xsource,profile,xdate,xdrawing,mcc_id,roadseg_id
"-37.81992700020604, 144.94328099946455","{""coordinates"": [144.94328099946455, -37.81992700020604], ""type"": ""Point""}",0,,0.0,ESG,8887,,20.723,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.813721000041234, 144.94199600002162","{""coordinates"": [144.94199600002162, -37.813721000041234], ""type"": ""Point""}",0,,0.0,ESG,10165,,25.122,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.801980999567874, 144.97139200012717","{""coordinates"": [144.97139200012717, -37.801980999567874], ""type"": ""Point""}",0,,0.0,ESG,11266,,0.782,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80109000004725, 144.9702759997199","{""coordinates"": [144.9702759997199, -37.80109000004725], ""type"": ""Point""}",0,,0.0,ESG,14729,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80109000004725, 144.9702759997199","{""coordinates"": [144.9702759997199, -37.80109000004725], ""type"": ""Point""}",0,,0.0,ESG,15117,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80138599976011, 144.97400999981326","{""coordinates"": [144.97400999981326, -37.80138599976011], ""type"": ""Point""}",0,,0.0,ESG,12821,,2.737,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80109000004725, 144.9702759997199","{""coordinates"": [144.9702759997199, -37.80109000004725], ""type"": ""Point""}",0,,0.0,ESG,14993,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80293899988474, 144.97291000039496","{""coordinates"": [144.97291000039496, -37.80293899988474], ""type"": ""Point""}",0,,0.0,ESG,13712,,0.293,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80708299969973, 144.9712299996635","{""coordinates"": [144.9712299996635, -37.80708299969973], ""type"": ""Point""}",0,,0.0,ESG,16269,,0.782,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.801897000164935, 144.97296900042542","{""coordinates"": [144.97296900042542, -37.801897000164935], ""type"": ""Point""}",0,,0.0,ESG,12489,,0.489,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80208799988717, 144.97257200052496","{""coordinates"": [144.97257200052496, -37.80208799988717], ""type"": ""Point""}",0,,0.0,ESG,12380,,0.098,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80131199996377, 144.97232299962732","{""coordinates"": [144.97232299962732, -37.80131199996377], ""type"": ""Point""}",0,,0.0,ESG,12910,,1.955,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.8018109996909, 144.97316899977244","{""coordinates"": [144.97316899977244, -37.8018109996909], ""type"": ""Point""}",0,,0.0,ESG,12554,,0.587,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.801791000184636, 144.97020800062012","{""coordinates"": [144.97020800062012, -37.801791000184636], ""type"": ""Point""}",0,,0.0,ESG,15957,,0.88,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80184099977124, 144.9701879996266","{""coordinates"": [144.9701879996266, -37.80184099977124], ""type"": ""Point""}",0,,0.0,ESG,15974,,0.684,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80194099976514, 144.97014700033463","{""coordinates"": [144.97014700033463, -37.80194099976514], ""type"": ""Point""}",0,,0.0,ESG,16006,,1.76,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80109000004725, 144.9702759997199","{""coordinates"": [144.9702759997199, -37.80109000004725], ""type"": ""Point""}",0,,0.0,ESG,15429,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80109000004725, 144.9702759997199","{""coordinates"": [144.9702759997199, -37.80109000004725], ""type"": ""Point""}",0,,0.0,ESG,15454,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80109000004725, 144.9702759997199","{""coordinates"": [144.9702759997199, -37.80109000004725], ""type"": ""Point""}",0,,0.0,ESG,15388,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80197800011119, 144.97270600041176","{""coordinates"": [144.97270600041176, -37.80197800011119], ""type"": ""Point""}",0,,0.0,ESG,13154,,0.391,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80277299958031, 144.97256499946118","{""coordinates"": [144.97256499946118, -37.80277299958031], ""type"": ""Point""}",0,,0.0,ESG,13810,,0.587,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80263999974166, 144.97310099964142","{""coordinates"": [144.97310099964142, -37.80263999974166], ""type"": ""Point""}",0,,0.0,ESG,13406,,0.196,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.801097999707935, 144.97029099972568","{""coordinates"": [144.97029099972568, -37.801097999707935], ""type"": ""Point""}",0,,0.0,ESG,14600,,1.662,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80268599987181, 144.97312500043873","{""coordinates"": [144.97312500043873, -37.80268599987181], ""type"": ""Point""}",0,,0.0,ESG,13425,,0.391,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80169400032686, 144.97097499955686","{""coordinates"": [144.97097499955686, -37.80169400032686], ""type"": ""Point""}",0,,0.0,ESG,14349,,0.587,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80109000004725, 144.9702759997199","{""coordinates"": [144.9702759997199, -37.80109000004725], ""type"": ""Point""}",0,,0.0,ESG,15198,,1.564,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80244099980568, 144.97203099989875","{""coordinates"": [144.97203099989875, -37.80244099980568], ""type"": ""Point""}",0,,0.0,ESG,14005,,3.421,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80152299960083, 144.9738339997433","{""coordinates"": [144.9738339997433, -37.80152299960083], ""type"": ""Point""}",0,,0.0,ESG,12743,,0.293,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80143000010388, 144.97030600009805","{""coordinates"": [144.97030600009805, -37.80143000010388], ""type"": ""Point""}",0,,0.0,ESG,15839,,0.88,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80148300020631, 144.97030599951378","{""coordinates"": [144.97030599951378, -37.80148300020631], ""type"": ""Point""}",0,,0.0,ESG,15854,,0.782,,0.0,0.0,0,0,,,,20140916,,0,0
