road_name,location,suburb,speed_limit,direction,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,motorcycle,bike,average_speed,85th_percentile_speed,maximum_speed,road_segment,datetime,total_vehicle_count
Rankins Road,North of Macaulay Road,Kensington,50,S,77.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.1,33.0,47.0,23071,2014-05-12 12:00:00,81.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,28.0,36.0,41.0,22323,2016-10-15 17:00:00,15.0
Rankins Road,North of Macaulay Road,Kensington,50,S,54.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.2,32.5,47.0,23071,2014-05-12 15:00:00,57.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,38.0,41.0,22323,2016-10-15 20:00:00,9.0
Rankins Road,North of Macaulay Road,Kensington,50,S,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.7,33.3,47.0,23071,2014-06-12 01:00:00,9.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,34.0,37.0,22323,2016-10-15 21:00:00,15.0
Rankins Road,North of Macaulay Road,Kensington,50,S,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.6,31.0,47.0,23071,2014-06-12 04:00:00,5.0
Rankins Road,North of Macaulay Road,Kensington,50,S,26.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,28.0,31.0,23071,2016-04-27 11:00:00,29.0
Rankins Road,North of Macaulay Road,Kensington,50,S,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.3,30.4,47.0,23071,2014-06-12 06:00:00,12.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,32.0,34.0,22323,2016-10-15 23:00:00,8.0
Rankins Road,North of Macaulay Road,Kensington,50,S,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.5,34.0,47.0,23071,2014-06-12 10:00:00,64.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,18.0,20.0,22323,2016-10-16 01:00:00,3.0
Rankins Road,North of Macaulay Road,Kensington,50,S,58.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.1,33.0,47.0,23071,2014-06-12 12:00:00,60.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,33.0,36.0,22323,2016-10-16 02:00:00,2.0
Rankins Road,North of Macaulay Road,Kensington,50,S,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.1,33.0,47.0,23071,2014-06-12 15:00:00,74.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,37.0,39.0,22323,2016-10-16 04:00:00,2.0
Rankins Road,North of Macaulay Road,Kensington,50,S,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.2,35.0,47.0,23071,2014-06-12 16:00:00,59.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,36.0,37.0,22323,2016-10-16 05:00:00,2.0
Rankins Road,North of Macaulay Road,Kensington,50,S,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.6,35.0,47.0,23071,2014-06-12 17:00:00,49.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,31.0,33.0,22323,2016-10-16 08:00:00,3.0
Rankins Road,North of Macaulay Road,Kensington,50,S,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.2,35.0,47.0,23071,2014-06-12 21:00:00,33.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,26.0,32.0,38.0,22323,2016-10-16 14:00:00,27.0
Rankins Road,North of Macaulay Road,Kensington,50,S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.3,31.0,47.0,23071,2014-07-12 02:00:00,1.0
Morrah Street,Between Fitzgibbon Street and Jageurs Lane,Parkville,40,W,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,34.0,38.0,22323,2016-10-16 17:00:00,14.0
Rankins Road,North of Macaulay Road,Kensington,50,S,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.8,33.3,47.0,23071,2014-07-12 04:00:00,6.0
